source_file,parse_status,n_rows_raw,n_rows_valid,note
data/mercury/messenger/data-tnf/2014/140241615sc236dss25_tnf.dat,pass,27769,27764,tnf_decode_ok_dop=27739_rng=25
data/mercury/messenger/data-tnf/2014/140250540sc236dss45_tnf.dat,pass,8701,8701,tnf_decode_ok_dop=8701_rng=0
data/mercury/messenger/data-tnf/2014/140251550sc236dss26_tnf.dat,pass,28982,28977,tnf_decode_ok_dop=28952_rng=25
data/mercury/messenger/data-tnf/2014/140260555sc236dss34_tnf.dat,pass,7402,7402,tnf_decode_ok_dop=7402_rng=0
data/mercury/messenger/data-tnf/2014/140261615sc236dss25_tnf.dat,pass,19754,19747,tnf_decode_ok_dop=19732_rng=15
data/mercury/messenger/data-tnf/2015/150011630sc236dss25_tnf.dat,pass,2986,2986,tnf_decode_ok_dop=2986_rng=0
data/mercury/messenger/data-tnf/2015/150020325sc236dss34_tnf.dat,pass,16542,16537,tnf_decode_ok_dop=16515_rng=22
data/mercury/messenger/data-tnf/2015/150021710sc236dss25_tnf.dat,pass,2699,2699,tnf_decode_ok_dop=2699_rng=0
data/mercury/messenger/data-tnf/2015/150022020sc236dss35_tnf.dat,pass,20380,20375,tnf_decode_ok_dop=20356_rng=19
data/mercury/messenger/data-tnf/2015/150030340sc236dss45_tnf.dat,pass,17350,17345,tnf_decode_ok_dop=17323_rng=22
data/mercury/messenger/data-tnf/2015/150030935sc236dss65_tnf.dat,pass,4111,4111,tnf_decode_ok_dop=4111_rng=0
data/mercury/messenger/data-tnf/2015/150031735sc236dss25_tnf.dat,pass,4248,4238,tnf_decode_ok_dop=4238_rng=0
data/mercury/messenger/data-tnf/2015/150040200sc236dss43_tnf.dat,pass,20873,20868,tnf_decode_ok_dop=20850_rng=18
data/mercury/messenger/data-tnf/2015/150042025sc236dss34_tnf.dat,pass,14123,14118,tnf_decode_ok_dop=14101_rng=17
data/mercury/messenger/data-tnf/2015/150050315sc236dss34_tnf.dat,pass,32874,32864,tnf_decode_ok_dop=32829_rng=35
data/mercury/messenger/data-tnf/2015/150060515sc236dss34_tnf.dat,pass,11397,11392,tnf_decode_ok_dop=11379_rng=13
data/mercury/messenger/data-tnf/2015/150062035sc236dss35_tnf.dat,pass,15600,15595,tnf_decode_ok_dop=15581_rng=14
data/mercury/messenger/data-tnf/2015/150072035sc236dss35_tnf.dat,pass,16112,16107,tnf_decode_ok_dop=16095_rng=12
data/mercury/messenger/data-tnf/2015/150081255sc236dss65_tnf.dat,pass,2209,2209,tnf_decode_ok_dop=2209_rng=0
data/mercury/messenger/data-tnf/2015/150090525sc236dss34_tnf.dat,pass,3174,3174,tnf_decode_ok_dop=3174_rng=0
data/mercury/messenger/data-tnf/2015/150091615sc236dss25_tnf.dat,pass,15890,15885,tnf_decode_ok_dop=15864_rng=21
