product,year,filename,url,rel_path,status,bytes,note
data-odf,2015,mess_rs_15043_044_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15043_044_odf.dat,data-odf/2015/mess_rs_15043_044_odf.dat,skip,72576,exists
data-odf,2015,mess_rs_15043_044_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15043_044_odf.xml,data-odf/2015/mess_rs_15043_044_odf.xml,skip,106209,exists
data-odf,2015,mess_rs_15045_048_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15045_048_odf.dat,data-odf/2015/mess_rs_15045_048_odf.dat,skip,451584,exists
data-odf,2015,mess_rs_15045_048_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15045_048_odf.xml,data-odf/2015/mess_rs_15045_048_odf.xml,skip,151041,exists
data-odf,2015,mess_rs_15048_049_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15048_049_odf.dat,data-odf/2015/mess_rs_15048_049_odf.dat,skip,338688,exists
data-odf,2015,mess_rs_15048_049_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15048_049_odf.xml,data-odf/2015/mess_rs_15048_049_odf.xml,skip,121165,exists
data-odf,2015,mess_rs_15050_050_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15050_050_odf.dat,data-odf/2015/mess_rs_15050_050_odf.dat,skip,72576,exists
data-odf,2015,mess_rs_15050_050_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15050_050_odf.xml,data-odf/2015/mess_rs_15050_050_odf.xml,skip,91273,exists
data-odf,2015,mess_rs_15050_051_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15050_051_odf.dat,data-odf/2015/mess_rs_15050_051_odf.dat,skip,193536,exists
data-odf,2015,mess_rs_15050_051_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15050_051_odf.xml,data-odf/2015/mess_rs_15050_051_odf.xml,skip,121159,exists
data-odf,2015,mess_rs_15051_054_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15051_054_odf.dat,data-odf/2015/mess_rs_15051_054_odf.dat,skip,540288,exists
data-odf,2015,mess_rs_15051_054_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15051_054_odf.xml,data-odf/2015/mess_rs_15051_054_odf.xml,skip,151042,exists
data-odf,2015,mess_rs_15055_055_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15055_055_odf.dat,data-odf/2015/mess_rs_15055_055_odf.dat,skip,193536,exists
data-odf,2015,mess_rs_15055_055_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15055_055_odf.xml,data-odf/2015/mess_rs_15055_055_odf.xml,skip,121157,exists
data-odf,2015,mess_rs_15055_056_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15055_056_odf.dat,data-odf/2015/mess_rs_15055_056_odf.dat,skip,241920,exists
data-odf,2015,mess_rs_15055_056_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15055_056_odf.xml,data-odf/2015/mess_rs_15055_056_odf.xml,skip,106219,exists
data-odf,2015,mess_rs_15057_058_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15057_058_odf.dat,data-odf/2015/mess_rs_15057_058_odf.dat,skip,387072,exists
data-odf,2015,mess_rs_15057_058_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15057_058_odf.xml,data-odf/2015/mess_rs_15057_058_odf.xml,skip,106219,exists
data-odf,2015,mess_rs_15058_061_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15058_061_odf.dat,data-odf/2015/mess_rs_15058_061_odf.dat,skip,564480,exists
data-odf,2015,mess_rs_15058_061_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15058_061_odf.xml,data-odf/2015/mess_rs_15058_061_odf.xml,skip,151039,exists
data-odf,2015,mess_rs_15061_062_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15061_062_odf.dat,data-odf/2015/mess_rs_15061_062_odf.dat,skip,225792,exists
data-odf,2015,mess_rs_15061_062_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15061_062_odf.xml,data-odf/2015/mess_rs_15061_062_odf.xml,skip,106226,exists
