station_id,observable_value,dtype_id,epoch_utc,t_days,beta_template,station_base,fit_value,residual
34,630365.532463428,37.0,2013-01-09 03:00:00+00:00,736.4166666666666,-0.679416783633044,14,537113.3940296647,93252.13843376329
34,502805.33852716803,37.0,2013-01-09 04:00:00+00:00,736.4583333333334,-0.6815663103114984,14,537098.2206108486,-34292.8820836806
34,484180.90752008,37.0,2013-01-09 05:00:00+00:00,736.5,-0.6837097020946638,14,537083.0887583826,-52902.18123830261
55,339448.13951353554,37.0,2013-01-10 12:00:00+00:00,737.7916666666666,-0.7470106344142254,14,521973.6294452628,-182525.48993172724
55,480254.437721393,37.0,2013-01-10 13:00:00+00:00,737.8333333333334,-0.7489479903317068,14,521959.8935675456,-41705.45584615256
26,616284.5242512565,37.0,2013-01-10 19:00:00+00:00,738.0833333333334,-0.7604301641591403,14,498360.0219858692,117924.50226538727
26,326956.228373974,37.0,2013-01-10 20:00:00+00:00,738.125,-0.762320041324363,14,498346.6077955391,-171390.3794215651
26,770906.821245509,37.0,2013-01-10 21:00:00+00:00,738.1666666666666,-0.7642030683749899,14,498333.24001745356,272573.5812280554
65,622811.731942649,37.0,2013-01-11 14:00:00+00:00,738.875,-0.7951505375470549,14,527315.0180558286,95496.71388682036
25,769178.388807913,37.0,2013-01-14 20:00:00+00:00,742.125,-0.9096148312271395,14,532511.0463939131,236667.34241399996
25,55065.49851764,37.0,2013-01-14 21:00:00+00:00,742.1666666666666,-0.9107720373148225,14,532502.5963408708,-477437.09782323084
34,697607.0641843351,37.0,2013-01-16 00:00:00+00:00,743.2916666666666,-0.9388984123286255,14,535254.7317995493,162352.33238478575
34,641074.439233709,37.0,2013-01-16 04:00:00+00:00,743.4583333333334,-0.9425477680007871,14,535227.5678763487,105846.87135736027
34,278999.848676361,37.0,2013-01-16 05:00:00+00:00,743.5,-0.9434390110461809,14,535220.9198284571,-256221.07115209603
15,563656.992819244,37.0,2013-01-16 18:00:00+00:00,744.0416666666666,-0.9542530631945468,14,509667.8098178449,53989.18300139916
15,609143.832302337,37.0,2013-01-16 19:00:00+00:00,744.0833333333334,-0.9550252626112002,14,509661.9683377766,99481.86396456044
15,374379.507174035,37.0,2013-01-16 20:00:00+00:00,744.125,-0.9557889051624436,14,509656.184833867,-135276.677659832
15,525613.0411631186,37.0,2013-01-16 21:00:00+00:00,744.1666666666666,-0.9565439840848491,14,509650.459351941,15962.581811177544
26,416718.2274764895,37.0,2013-01-17 20:00:00+00:00,745.125,-0.9715328195051917,14,496826.7084074849,-80108.48093099543
26,579364.5994374185,37.0,2013-01-17 21:00:00+00:00,745.1666666666666,-0.9720805403492907,14,496822.387858823,82542.21157859551
26,710133.9197948009,37.0,2013-01-17 22:00:00+00:00,745.2083333333334,-0.9726195532728694,14,496818.1263097781,213315.79348502285
26,918672.608046054,37.0,2013-01-17 23:00:00+00:00,745.25,-0.9731498535019979,14,496813.9237926954,421858.68425335863
26,870355.392420152,37.0,2013-01-18 19:00:00+00:00,746.0833333333334,-0.9819195250425156,14,496742.31533609255,373613.0770840594
26,515190.991528367,37.0,2013-01-18 20:00:00+00:00,746.125,-0.9822658929182566,14,496739.3590336919,18451.632494675112
