T_K,alpha_1e-8_per_K,alpha_per_K,sigma_fit_1e-8_per_K,sigma_fit_per_K
291.0,253.53944570687383,2.5353944570687384e-06,0.5,5e-09
292.0,254.4410668634019,2.544410668634019e-06,0.5,5e-09
293.0,255.3366770903448,2.5533667709034482e-06,0.5,5e-09
294.0,256.22632431813025,2.5622632431813025e-06,0.5,5e-09
295.0,257.110056169326,2.57110056169326e-06,0.5,5e-09
296.0,257.9879199553827,2.579879199553827e-06,0.5,5e-09
297.0,258.8599626736669,2.5885996267366694e-06,0.5,5e-09
298.0,259.7262310047707,2.597262310047707e-06,0.5,5e-09
299.0,260.5867713100858,2.605867713100858e-06,0.5,5e-09
300.0,261.4416296296297,2.614416296296297e-06,0.5,5e-09
301.0,262.29085168011136,2.6229085168011135e-06,0.5,5e-09
302.0,263.1344828532268,2.6313448285322684e-06,0.5,5e-09
303.0,263.97256821417204,2.6397256821417206e-06,0.5,5e-09
304.0,264.80515250036456,2.6480515250036455e-06,0.5,5e-09
305.0,265.63228012036257,2.6563228012036258e-06,0.5,5e-09
306.0,266.45399515297316,2.6645399515297317e-06,0.5,5e-09
307.0,267.27034134653985,2.6727034134653987e-06,0.5,5e-09
308.0,268.0813621184011,2.680813621184011e-06,0.5,5e-09
309.0,268.88710055451145,2.6888710055451144e-06,0.5,5e-09
310.0,269.68759940921757,2.6968759940921757e-06,0.5,5e-09
311.0,270.48290110518104,2.7048290110518103e-06,0.5,5e-09
312.0,271.2730477334412,2.712730477334412e-06,0.5,5e-09
313.0,272.05808105361103,2.7205808105361103e-06,0.5,5e-09
314.0,272.8380424941982,2.728380424941982e-06,0.5,5e-09
315.0,273.6129731530472,2.736129731530472e-06,0.5,5e-09
316.0,274.3829137978943,2.7438291379789427e-06,0.5,5e-09
317.0,275.14790486703,2.7514790486703e-06,0.5,5e-09
318.0,275.9079864700639,2.759079864700639e-06,0.5,5e-09
319.0,276.6631983887873,2.766631983887873e-06,0.5,5e-09
320.0,277.41358007812505,2.7741358007812508e-06,0.5,5e-09
321.0,278.1591706671763,2.7815917066717627e-06,0.5,5e-09
322.0,278.900008960336,2.78900008960336e-06,0.5,5e-09
323.0,279.6361334384941,2.796361334384941e-06,0.5,5e-09
324.0,280.3675822603074,2.803675822603074e-06,0.5,5e-09
325.0,281.09439326354124,2.8109439326354125e-06,0.5,5e-09
326.0,281.81660396647504,2.8181660396647503e-06,0.5,5e-09
327.0,282.53425156937,2.8253425156937e-06,0.5,5e-09
328.0,283.2473729559931,2.832473729559931e-06,0.5,5e-09
329.0,283.9560046951965,2.839560046951965e-06,0.5,5e-09
330.0,284.6601830425467,2.846601830425467e-06,0.5,5e-09
331.0,285.3599439420014,2.853599439420014e-06,0.5,5e-09
332.0,286.055323027631,2.86055323027631e-06,0.5,5e-09
333.0,286.7463556253817,2.867463556253817e-06,0.5,5e-09
334.0,287.4330767548771,2.874330767548771e-06,0.5,5e-09
335.0,288.1155211312562,2.881155211312562e-06,0.5,5e-09
336.0,288.7937231670446,2.887937231670446e-06,0.5,5e-09
337.0,289.4677169740572,2.8946771697405724e-06,0.5,5e-09
338.0,290.1375363653296,2.901375363653296e-06,0.5,5e-09
339.0,290.80321485707555,2.9080321485707555e-06,0.5,5e-09
340.0,291.4647856706697,2.914647856706697e-06,0.5,5e-09
341.0,292.12228173465223,2.921222817346522e-06,0.5,5e-09
342.0,292.77573568675405,2.9277573568675405e-06,0.5,5e-09
343.0,293.4251798759402,2.934251798759402e-06,0.5,5e-09
344.0,294.0706463644711,2.940706463644711e-06,0.5,5e-09
345.0,294.71216692997757,2.947121669299776e-06,0.5,5e-09
346.0,295.34977306755087,2.9534977306755086e-06,0.5,5e-09
347.0,295.98349599184326,2.9598349599184326e-06,0.5,5e-09
348.0,296.61336663918013,2.9661336663918012e-06,0.5,5e-09
349.0,297.23941566968097,2.9723941566968096e-06,0.5,5e-09
350.0,297.86167346938777,2.9786167346938776e-06,0.5,5e-09
351.0,298.4801701524004,2.9848017015240037e-06,0.5,5e-09
