phase,T_K,Cp_J_per_molK
liquid,1977.3077911646587,27.196039999917478
liquid,1984.6154859437752,27.196039999917563
liquid,1991.9231807228916,27.196039999917648
liquid,1999.230875502008,27.196039999917733
liquid,2006.5385702811245,27.196039999917822
liquid,2013.846265060241,27.196039999917907
liquid,2021.1539598393574,27.196039999918
liquid,2028.4616546184739,27.19603999991809
liquid,2035.7693493975903,27.19603999991818
liquid,2043.0770441767067,27.196039999918273
liquid,2050.384738955823,27.196039999918366
liquid,2057.6924337349396,27.196039999918465
liquid,2065.000128514056,27.196039999918565
liquid,2072.3078232931725,27.196039999918657
liquid,2079.615518072289,27.196039999918757
liquid,2086.923212851406,27.196039999918856
liquid,2094.230907630522,27.196039999918955
liquid,2101.5386024096388,27.19603999991906
liquid,2108.846297188755,27.196039999919158
liquid,2116.1539919678717,27.196039999919265
liquid,2123.461686746988,27.196039999919364
liquid,2130.7693815261046,27.196039999919474
liquid,2138.077076305221,27.19603999991958
liquid,2145.3847710843374,27.196039999919687
liquid,2152.692465863454,27.19603999991979
liquid,2160.0001606425703,27.196039999919904
liquid,2167.307855421687,27.19603999992001
liquid,2174.615550200803,27.196039999920117
liquid,2181.9232449799197,27.19603999992023
liquid,2189.230939759036,27.196039999920345
liquid,2196.5386345381526,27.19603999992045
liquid,2203.846329317269,27.19603999992057
liquid,2211.1540240963855,27.196039999920682
liquid,2218.461718875502,27.1960399999208
liquid,2225.7694136546183,27.196039999920913
liquid,2233.077108433735,27.19603999992103
liquid,2240.3848032128517,27.196039999921148
liquid,2247.6924979919677,27.196039999921265
liquid,2255.0001927710846,27.196039999921382
liquid,2262.3078875502006,27.196039999921503
liquid,2269.6155823293175,27.196039999921616
liquid,2276.923277108434,27.196039999921744
liquid,2284.2309718875504,27.196039999921858
liquid,2291.538666666667,27.196039999921986
liquid,2298.8463614457833,27.1960399999221
liquid,2306.1540562248997,27.196039999922228
liquid,2313.461751004016,27.196039999922352
liquid,2320.7694457831326,27.196039999922473
liquid,2328.077140562249,27.196039999922597
liquid,2335.3848353413655,27.19603999992272
liquid,2342.692530120482,27.19603999992285
liquid,2350.0002248995984,27.196039999922974
liquid,2357.307919678715,27.196039999923098
liquid,2364.6156144578313,27.196039999923226
liquid,2371.9233092369477,27.19603999992335
liquid,2379.231004016064,27.196039999923478
liquid,2386.5386987951806,27.196039999923606
liquid,2393.846393574297,27.196039999923734
liquid,2401.1540883534135,27.196039999923862
liquid,2408.4617831325304,27.19603999992399
liquid,2415.7694779116464,27.19603999992412
liquid,2423.0771726907633,27.196039999924245
liquid,2430.3848674698793,27.196039999924377
liquid,2437.692562248996,27.19603999992451
liquid,2445.0002570281126,27.196039999924636
liquid,2452.307951807229,27.196039999924764
liquid,2459.6156465863455,27.196039999924896
liquid,2466.923341365462,27.196039999925024
liquid,2474.2310361445784,27.19603999992516
liquid,2481.538730923695,27.196039999925286
liquid,2488.8464257028113,27.196039999925418
liquid,2496.1541204819277,27.196039999925546
liquid,2503.461815261044,27.19603999992568
liquid,2510.7695100401606,27.19603999992581
liquid,2518.077204819277,27.19603999992594
liquid,2525.3848995983935,27.19603999992607
liquid,2532.69259437751,27.196039999926207
liquid,2540.0002891566264,27.196039999926338
liquid,2547.307983935743,27.196039999926473
liquid,2554.6156787148593,27.1960399999266
liquid,2561.923373493976,27.196039999926732
liquid,2569.231068273092,27.196039999926867
liquid,2576.538763052209,27.19603999992699
liquid,2583.846457831325,27.19603999992713
liquid,2591.154152610442,27.196039999927255
liquid,2598.461847389558,27.19603999992739
liquid,2605.769542168675,27.19603999992752
liquid,2613.0772369477913,27.196039999927653
liquid,2620.384931726908,27.19603999992778
liquid,2627.692626506024,27.196039999927915
liquid,2635.0003212851407,27.196039999928043
liquid,2642.308016064257,27.196039999928175
liquid,2649.6157108433736,27.196039999928303
liquid,2656.92340562249,27.196039999928434
liquid,2664.2311004016065,27.196039999928562
liquid,2671.538795180723,27.196039999928693
liquid,2678.8464899598393,27.19603999992882
liquid,2686.154184738956,27.19603999992895
liquid,2693.4618795180722,27.196039999929077
liquid,2700.7695742971887,27.19603999992921
liquid,2708.077269076305,27.196039999929337
liquid,2715.384963855422,27.196039999929464
liquid,2722.692658634538,27.19603999992959
liquid,2730.000353413655,27.196039999929717
liquid,2737.308048192771,27.196039999929845
liquid,2744.615742971888,27.196039999929972
liquid,2751.923437751004,27.196039999930097
liquid,2759.2311325301207,27.19603999993022
liquid,2766.5388273092367,27.196039999930345
liquid,2773.8465220883536,27.19603999993047
liquid,2781.1542168674696,27.196039999930598
liquid,2788.4619116465865,27.19603999993072
liquid,2795.769606425703,27.19603999993084
liquid,2803.0773012048194,27.196039999930964
liquid,2810.384995983936,27.196039999931084
liquid,2817.6926907630523,27.196039999931205
liquid,2825.0003855421687,27.19603999993133
liquid,2832.308080321285,27.196039999931443
liquid,2839.6157751004016,27.196039999931564
liquid,2846.923469879518,27.19603999993168
liquid,2854.2311646586345,27.196039999931802
liquid,2861.538859437751,27.19603999993192
liquid,2868.846554216868,27.196039999932037
liquid,2876.154248995984,27.19603999993215
liquid,2883.4619437751007,27.196039999932268
liquid,2890.7696385542167,27.196039999932378
liquid,2898.0773333333336,27.1960399999325
liquid,2905.3850281124496,27.19603999993261
liquid,2912.6927228915665,27.196039999932722
liquid,2920.0004176706825,27.196039999932832
liquid,2927.3081124497994,27.196039999932943
liquid,2934.6158072289154,27.196039999933053
liquid,2941.9235020080323,27.19603999993316
liquid,2949.2311967871487,27.19603999993327
liquid,2956.538891566265,27.19603999993338
liquid,2963.8465863453816,27.19603999993348
liquid,2971.154281124498,27.196039999933586
liquid,2978.4619759036145,27.1960399999337
liquid,2985.769670682731,27.196039999933795
liquid,2993.0773654618474,27.1960399999339
liquid,3000.385060240964,27.196039999934005
liquid,3007.6927550200803,27.1960399999341
liquid,3015.0004497991968,27.1960399999342
liquid,3022.308144578313,27.196039999934303
liquid,3029.6158393574296,27.1960399999344
liquid,3036.9235341365466,27.1960399999345
liquid,3044.2312289156625,27.19603999993459
liquid,3051.5389236947794,27.196039999934683
liquid,3058.8466184738954,27.196039999934776
liquid,3066.1543132530123,27.19603999993487
liquid,3073.4620080321283,27.19603999993496
liquid,3080.769702811245,27.196039999935053
liquid,3088.077397590361,27.196039999935138
liquid,3095.385092369478,27.19603999993523
liquid,3102.692787148594,27.196039999935312
liquid,3110.000481927711,27.1960399999354
liquid,3117.3081767068275,27.196039999935483
liquid,3124.615871485944,27.196039999935564
liquid,3131.9235662650603,27.196039999935646
liquid,3139.231261044177,27.196039999935728
liquid,3146.5389558232932,27.196039999935806
liquid,3153.8466506024097,27.196039999935884
liquid,3161.154345381526,27.19603999993596
liquid,3168.4620401606426,27.196039999936037
liquid,3175.769734939759,27.196039999936104
liquid,3183.0774297188755,27.196039999936183
liquid,3190.3851244979924,27.196039999936247
liquid,3197.6928192771084,27.19603999993632
liquid,3205.0005140562253,27.19603999993639
liquid,3212.3082088353412,27.196039999936456
liquid,3219.615903614458,27.19603999993652
liquid,3226.923598393574,27.196039999936584
liquid,3234.231293172691,27.196039999936644
liquid,3241.538987951807,27.196039999936705
liquid,3248.846682730924,27.196039999936765
liquid,3256.15437751004,27.196039999936822
liquid,3263.462072289157,27.196039999936882
liquid,3270.769767068273,27.196039999936932
liquid,3278.0774618473897,27.19603999993699
liquid,3285.385156626506,27.196039999937035
liquid,3292.6928514056226,27.196039999937092
liquid,3300.000546184739,27.196039999937135
liquid,3307.3082409638555,27.19603999993718
liquid,3314.615935742972,27.196039999937224
liquid,3321.9236305220884,27.196039999937266
liquid,3329.231325301205,27.19603999993731
liquid,3336.5390200803213,27.196039999937348
liquid,3343.8467148594377,27.196039999937387
liquid,3351.154409638554,27.196039999937422
liquid,3358.462104417671,27.196039999937458
liquid,3365.769799196787,27.19603999993749
liquid,3373.077493975904,27.196039999937522
liquid,3380.38518875502,27.19603999993755
liquid,3387.692883534137,27.196039999937575
liquid,3395.000578313253,27.1960399999376
liquid,3402.3082730923697,27.19603999993763
liquid,3409.6159678714857,27.19603999993765
liquid,3416.9236626506026,27.196039999937668
liquid,3424.2313574297186,27.196039999937685
liquid,3431.5390522088355,27.196039999937703
liquid,3438.846746987952,27.196039999937714
liquid,3446.1544417670684,27.196039999937724
liquid,3453.462136546185,27.19603999993774
liquid,3460.7698313253013,27.196039999937742
liquid,3468.0775261044178,27.19603999993775
liquid,3475.385220883534,27.196039999937756
liquid,3482.6929156626506,27.196039999937753
liquid,3490.000610441767,27.196039999937756
liquid,3497.3083052208835,27.19603999993775
liquid,3504.616,27.19603999993775
