t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.039648533,4.02137551e-22,3.43305558e-22,1,1.171369184
-0.039404392,4.11046194e-22,3.55004816e-22,1,1.157860896
-0.039160252,3.98289933e-22,3.62757766e-22,1,1.097950121
-0.038916111,3.65743496e-22,3.69372855e-22,1,0.990174265
-0.03867197,3.22869255e-22,3.73234343e-22,1,0.865057735
-0.03842783,2.8536163e-22,3.79841058e-22,1,0.751265888
-0.038183689,2.68682032e-22,3.89327895e-22,1,0.690117599
-0.037939548,2.76453415e-22,4.05597623e-22,1,0.681595255
-0.037695408,2.98080748e-22,4.25279006e-22,1,0.700906332
-0.037451267,3.17482368e-22,4.47040522e-22,1,0.710187002
-0.037207127,3.22067307e-22,4.64591404e-22,1,0.693227005
-0.036962986,3.05735278e-22,4.7476307e-22,1,0.643974432
-0.036718845,2.71968016e-22,4.73458679e-22,1,0.574428199
-0.036474705,2.30805935e-22,4.5892228e-22,1,0.502930332
-0.036230564,1.98820375e-22,4.31512724e-22,1,0.460752057
-0.035986423,1.89036668e-22,3.913416e-22,0,
-0.035742283,2.02560128e-22,3.43363886e-22,0,
-0.035498142,2.25259062e-22,2.90130543e-22,0,
-0.035254002,2.43625487e-22,2.42082425e-22,0,
-0.035009861,2.5269599e-22,2.07155704e-22,0,
-0.03476572,2.60285023e-22,1.992734e-22,0,
-0.03452158,2.80685634e-22,2.17424937e-22,0,
-0.034277439,3.22534774e-22,2.53003906e-22,1,1.274821324
-0.034033298,3.80184992e-22,2.92907246e-22,1,1.297970595
-0.033789158,4.41992078e-22,3.31136317e-22,1,1.334773794
-0.033545017,4.954737e-22,3.61727366e-22,1,1.369743478
-0.033300877,5.31187309e-22,3.84726348e-22,1,1.380688667
-0.033056736,5.4147734e-22,3.96140755e-22,1,1.366881172
-0.032812595,5.27328705e-22,3.99158996e-22,1,1.321099387
-0.032568455,4.94283482e-22,3.90220264e-22,1,1.266678151
-0.032324314,4.57020486e-22,3.7526313e-22,1,1.217866744
-0.032080173,4.28125344e-22,3.51689875e-22,1,1.217337702
-0.031836033,4.2024212e-22,3.28040804e-22,1,1.281066607
-0.031591892,4.31944947e-22,3.02794815e-22,1,1.426526891
-0.031347752,4.54606985e-22,2.85509521e-22,1,1.592265584
-0.031103611,4.70410534e-22,2.73328834e-22,1,1.721042479
-0.03085947,4.6977561e-22,2.72836061e-22,1,1.721823749
-0.03061533,4.46980518e-22,2.76694291e-22,1,1.615430937
-0.030371189,4.0923655e-22,2.88370773e-22,1,1.419133244
-0.030127048,3.64977073e-22,2.9947457e-22,1,1.218724758
-0.029882908,3.30718028e-22,3.14896065e-22,1,1.050245032
-0.029638767,3.17375628e-22,3.28064929e-22,1,0.967417117
-0.029394627,3.29573389e-22,3.45435419e-22,1,0.954081056
-0.029150486,3.52086003e-22,3.60811851e-22,1,0.975816073
-0.028906345,3.70723149e-22,3.80105212e-22,1,0.975317196
-0.028662205,3.73539568e-22,3.96560339e-22,1,0.941948883
-0.028418064,3.62763121e-22,4.15055513e-22,1,0.874011088
-0.028173923,3.42357342e-22,4.29181563e-22,1,0.797698158
-0.027929783,3.23749387e-22,4.43037002e-22,1,0.730750221
-0.027685642,3.13923632e-22,4.51901842e-22,1,0.694672166
-0.027441502,3.19241197e-22,4.59139429e-22,1,0.69530338
-0.027197361,3.32334939e-22,4.62475908e-22,1,0.718599463
-0.02695322,3.43758957e-22,4.63578099e-22,1,0.741534076
-0.02670908,3.41861624e-22,4.62367648e-22,1,0.739371853
-0.026464939,3.25569764e-22,4.57750168e-22,1,0.711238983
-0.026220798,2.97337052e-22,4.51671657e-22,1,0.658303544
-0.025976658,2.67337994e-22,4.39620797e-22,1,0.608110435
-0.025732517,2.4696031e-22,4.2539902e-22,1,0.580538032
-0.025488377,2.4840019e-22,4.01390479e-22,1,0.618849233
-0.025244236,2.69388429e-22,3.74113632e-22,1,0.720071137
-0.025000095,2.97596136e-22,3.3494271e-22,1,0.888498622
-0.024755955,3.17273825e-22,2.94204898e-22,1,1.078411092
-0.024511814,3.22014199e-22,2.44892246e-22,1,1.314921984
-0.024267673,3.10870155e-22,2.02713946e-22,0,
-0.024023533,2.88424145e-22,1.67261714e-22,0,
-0.023779392,2.63243702e-22,1.62695563e-22,0,
-0.023535252,2.45704624e-22,1.82308227e-22,0,
-0.023291111,2.4605443e-22,2.26689518e-22,0,
-0.02304697,2.61510204e-22,2.72055172e-22,0,
-0.02280283,2.81679183e-22,3.22780845e-22,1,0.872663875
-0.022558689,2.94263678e-22,3.61973839e-22,1,0.812941838
-0.022314548,2.96583086e-22,4.00254011e-22,1,0.740987169
-0.022070408,2.86276228e-22,4.22720375e-22,1,0.677223633
-0.021826267,2.70445597e-22,4.41502428e-22,1,0.61255744
-0.021582127,2.50658759e-22,4.4413031e-22,1,0.564381113
-0.021337986,2.39422668e-22,4.41410193e-22,1,0.542404032
-0.021093845,2.3580003e-22,4.25971322e-22,1,0.553558461
-0.020849705,2.42983826e-22,4.05199267e-22,1,0.599665019
-0.020605564,2.45877339e-22,3.78704273e-22,1,0.64925948
-0.020361423,2.44479949e-22,3.4840837e-22,1,0.701705155
-0.020117283,2.27528487e-22,3.20741752e-22,0,
-0.019873142,2.02539187e-22,2.91046293e-22,0,
-0.019629002,1.64605675e-22,2.71469112e-22,0,
-0.019384861,1.22797898e-22,2.50942438e-22,0,
-0.01914072,8.40664175e-23,2.46104116e-22,0,
-0.01889658,5.75344797e-23,2.39238647e-22,0,
-0.018652439,6.18701132e-23,2.50386507e-22,0,
-0.018408298,7.3422997e-23,2.52659445e-22,0,
-0.018164158,7.95337461e-23,2.72720557e-22,0,
-0.017920017,8.17825194e-23,2.71498747e-22,0,
-0.017675877,6.9800788e-23,2.91565567e-22,0,
-0.017431736,7.03270016e-23,2.75768376e-22,0,
-0.017187595,7.17485696e-23,2.92891287e-22,0,
-0.016943455,1.04208434e-22,2.58103415e-22,0,
-0.016699314,1.2328138e-22,2.78045532e-22,0,
-0.016455173,2.08307989e-22,2.59600887e-22,0,
