t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.06855464,1.83989164e-10,5.56130886e-09,0,
-0.068310499,1.54774088e-10,5.52792576e-09,0,
-0.068066359,1.21943085e-10,5.50708646e-09,0,
-0.067822218,8.66836059e-11,5.48227929e-09,0,
-0.067578077,5.18771443e-11,5.48206305e-09,0,
-0.067333937,2.26865629e-11,5.47025947e-09,0,
-0.067089796,3.01779735e-11,5.48789764e-09,0,
-0.066845655,5.7882012e-11,5.4863977e-09,0,
-0.066601515,8.34002092e-11,5.51165911e-09,0,
-0.066357374,1.05035787e-10,5.51301287e-09,0,
-0.066113234,1.20277843e-10,5.53241971e-09,0,
-0.065869093,1.29892733e-10,5.52832378e-09,0,
-0.065624952,1.32602656e-10,5.53015466e-09,0,
-0.065380812,1.2931666e-10,5.51495159e-09,0,
-0.065136671,1.2015168e-10,5.49330229e-09,0,
-0.06489253,1.05890241e-10,5.46621474e-09,0,
-0.06464839,8.84347894e-11,5.4232518e-09,0,
-0.064404249,6.90782327e-11,5.38925065e-09,0,
-0.064160109,5.34222295e-11,5.33525863e-09,0,
-0.063915968,4.79291263e-11,5.30437296e-09,0,
-0.063671827,5.75207868e-11,5.25525884e-09,0,
-0.063427687,7.58689341e-11,5.23977115e-09,0,
-0.063183546,9.53764753e-11,5.21197525e-09,0,
-0.062939405,1.1402962e-10,5.22141375e-09,0,
-0.062695265,1.28766421e-10,5.22540753e-09,0,
-0.062451124,1.39950041e-10,5.26111413e-09,0,
-0.062206984,1.46535402e-10,5.29647253e-09,0,
-0.061962843,1.49226368e-10,5.3492172e-09,0,
-0.061718702,1.49198151e-10,5.40434711e-09,0,
-0.061474562,1.47361423e-10,5.45714901e-09,0,
-0.061230421,1.47044932e-10,5.51385101e-09,0,
-0.06098628,1.49173777e-10,5.54845754e-09,0,
-0.06074214,1.56754109e-10,5.58849294e-09,0,
-0.060497999,1.69059333e-10,5.59194232e-09,0,
-0.060253859,1.85419844e-10,5.60263113e-09,0,
-0.060009718,2.03958697e-10,5.57132726e-09,0,
-0.059765577,2.21678316e-10,5.54880412e-09,1,0.039950647
-0.059521437,2.37600226e-10,5.48939178e-09,1,0.043283525
-0.059277296,2.48489139e-10,5.43933702e-09,1,0.045683718
-0.059033155,2.5436798e-10,5.36678821e-09,1,0.047396687
-0.058789015,2.52802491e-10,5.30283431e-09,1,0.047673089
-0.058544874,2.44305129e-10,5.23654206e-09,1,0.046653904
-0.058300734,2.27849462e-10,5.17668717e-09,1,0.044014532
-0.058056593,2.04085191e-10,5.13544992e-09,0,
-0.057812452,1.73664542e-10,5.09713247e-09,0,
-0.057568312,1.37319784e-10,5.09406015e-09,0,
-0.057324171,9.75251882e-11,5.08916671e-09,0,
-0.05708003,5.66268035e-11,5.12787823e-09,0,
-0.05683589,3.05759877e-11,5.15944728e-09,0,
-0.056591749,5.29578245e-11,5.23299556e-09,0,
-0.056347609,9.09906641e-11,5.29491261e-09,0,
-0.056103468,1.27807928e-10,5.38799136e-09,0,
-0.055859327,1.58989936e-10,5.46751904e-09,0,
-0.055615187,1.82950828e-10,5.56107331e-09,0,
