t_s,env_l1,env_v1,selected,ratio_l1_v1_selected
-0.015966892,2.17915136e-22,2.32815328e-21,0,
-0.015722752,2.22297493e-22,2.40403271e-21,0,
-0.015478611,2.42105247e-22,2.37030051e-21,0,
-0.01523447,2.70917379e-22,2.11979356e-21,0,
-0.01499033,3.03401861e-22,1.7204097e-21,0,
-0.014746189,3.3434787e-22,1.22665808e-21,0,
-0.014502048,3.61280361e-22,5.96028825e-22,0,
-0.014257908,3.81531275e-22,2.60976564e-22,0,
-0.014013767,3.93831813e-22,7.40374427e-22,0,
-0.013769627,3.97476191e-22,1.14362175e-21,0,
-0.013525486,3.91346884e-22,1.60913461e-21,0,
-0.013281345,3.77072377e-22,1.75846955e-21,0,
-0.013037205,3.52132463e-22,1.80168599e-21,0,
-0.012793064,3.21884578e-22,1.72548114e-21,0,
-0.012548923,2.74513664e-22,7.19790628e-22,0,
