t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.088769436,5.21515008e-23,2.28374948e-22,0,
-0.088525295,3.62116244e-23,3.01390063e-22,0,
-0.088281155,4.25908496e-23,3.45208751e-22,0,
-0.088037014,6.22408423e-23,3.52590165e-22,0,
-0.087792873,8.64053214e-23,3.27508479e-22,0,
-0.087548733,1.10700864e-22,2.75786251e-22,0,
-0.087304592,1.33275891e-22,2.11800785e-22,0,
-0.087060452,1.55088403e-22,1.61386903e-22,0,
-0.086816311,1.74721796e-22,1.56761601e-22,0,
-0.08657217,1.93343939e-22,1.9030004e-22,0,
-0.08632803,2.0736655e-22,2.24403895e-22,0,
-0.086083889,2.18872641e-22,2.36784531e-22,0,
-0.085839748,2.25771521e-22,2.2078718e-22,0,
-0.085595608,2.31284796e-22,1.8065842e-22,0,
-0.085351467,2.32153932e-22,1.30455754e-22,0,
-0.085107327,2.30367518e-22,1.13920413e-22,0,
-0.084863186,2.23266454e-22,1.61537718e-22,0,
-0.084619045,2.1305527e-22,2.31751536e-22,0,
-0.084374905,1.97131722e-22,2.9246232e-22,0,
-0.084130764,1.76244005e-22,3.29199202e-22,0,
-0.083886623,1.50042478e-22,3.35242107e-22,0,
-0.083642483,1.21045553e-22,3.12426216e-22,0,
-0.083398342,9.31714362e-23,2.63848137e-22,0,
-0.083154202,7.12539656e-23,2.04992431e-22,0,
-0.082910061,6.95001326e-23,1.5730095e-22,0,
-0.08266592,9.16860031e-23,1.57775846e-22,0,
-0.08242178,1.30218433e-22,1.97149273e-22,0,
-0.082177639,1.77469777e-22,2.41756621e-22,0,
-0.081933498,2.30022345e-22,2.67335168e-22,0,
-0.081689358,2.86265611e-22,2.69547752e-22,0,
-0.081445217,3.40818538e-22,2.44645283e-22,1,1.393113061
-0.081201077,3.92202324e-22,2.00557774e-22,0,
-0.080956936,4.34819377e-22,1.44098983e-22,0,
-0.080712795,4.68127862e-22,9.36612533e-23,0,
-0.080468655,4.86289626e-22,7.9804556e-23,0,
-0.080224514,4.88958322e-22,1.01602445e-22,0,
-0.079980373,4.73788816e-22,1.26433849e-22,0,
-0.079736233,4.44782346e-22,1.39576122e-22,0,
-0.079492092,4.05295321e-22,1.44217602e-22,0,
-0.079247952,3.61600946e-22,1.54299445e-22,0,
-0.079003811,3.20694018e-22,1.82446892e-22,0,
-0.07875967,2.91732283e-22,2.30172904e-22,0,
-0.07851553,2.82071206e-22,2.83843404e-22,0,
-0.078271389,2.90852342e-22,3.3180623e-22,1,0.876572878
-0.078027248,3.10424781e-22,3.61366339e-22,1,0.859030705
-0.077783108,3.32412583e-22,3.69415775e-22,1,0.899833212
-0.077538967,3.51454147e-22,3.5036781e-22,1,1.003100561
-0.077294827,3.62897733e-22,3.08360203e-22,1,1.176863061
-0.077050686,3.65245272e-22,2.4426017e-22,1,1.495312446
-0.076806545,3.57548676e-22,1.67878987e-22,0,
-0.076562405,3.44111269e-22,8.87520651e-23,0,
-0.076318264,3.26422269e-22,4.40685132e-23,0,
-0.076074123,3.0853399e-22,8.48981637e-23,0,
-0.075829983,2.89377983e-22,1.35411055e-22,0,
-0.075585842,2.72168213e-22,1.70521344e-22,0,
-0.075341702,2.54565194e-22,1.93069097e-22,0,
-0.075097561,2.37184137e-22,2.04551365e-22,0,
-0.07485342,2.15363608e-22,2.16124613e-22,0,
-0.07460928,1.91428911e-22,2.30610485e-22,0,
-0.074365139,1.6531062e-22,2.50296521e-22,0,
-0.074120998,1.42348851e-22,2.64973511e-22,0,
-0.073876858,1.22377276e-22,2.693027e-22,0,
-0.073632717,1.1042714e-22,2.55484047e-22,0,
-0.073388577,1.07256937e-22,2.23145661e-22,0,
-0.073144436,1.15983443e-22,1.7229674e-22,0,
-0.072900295,1.32424892e-22,1.09851069e-22,0,
-0.072656155,1.57973575e-22,6.42267733e-23,0,
-0.072412014,1.89782556e-22,1.00817285e-22,0,
-0.072167873,2.27802877e-22,1.69044144e-22,0,
-0.071923733,2.66327972e-22,2.32440509e-22,0,
-0.071679592,3.05028004e-22,2.78006038e-22,1,1.097199204
-0.071435452,3.39440991e-22,3.03113844e-22,1,1.119846544
-0.071191311,3.69261659e-22,3.04591821e-22,1,1.212316396
-0.07094717,3.88912744e-22,2.83176542e-22,1,1.373393224
-0.07070303,3.97669477e-22,2.43145208e-22,1,1.635522577
-0.070458889,3.92974371e-22,1.88796473e-22,0,
-0.070214748,3.76238738e-22,1.29946522e-22,0,
-0.069970608,3.47359499e-22,7.05555741e-23,0,
-0.069726467,3.06454891e-22,2.06532796e-23,0,
-0.069482327,2.55315455e-22,2.64436886e-23,0,
-0.069238186,1.95174962e-22,5.3951181e-23,0,
-0.068994045,1.33214431e-22,6.91571769e-23,0,
-0.068749905,8.1976216e-23,7.43888589e-23,0,
-0.068505764,8.67266754e-23,7.91934894e-23,0,
-0.068261623,1.44473062e-22,9.23935981e-23,0,
-0.068017483,2.12301302e-22,1.16335248e-22,0,
-0.067773342,2.78468092e-22,1.46015845e-22,0,
-0.067529202,3.35864745e-22,1.77000176e-22,0,
-0.067285061,3.83351935e-22,2.05239097e-22,0,
-0.06704092,4.182676e-22,2.26451958e-22,1,1.84704784
-0.06679678,4.39091976e-22,2.40105962e-22,1,1.82874249
-0.066552639,4.45762482e-22,2.43894486e-22,1,1.827685774
-0.066308498,4.37892082e-22,2.41865558e-22,1,1.810477213
-0.066064358,4.19368162e-22,2.32258476e-22,1,1.805609721
-0.065820217,3.90124665e-22,2.19019675e-22,1,1.781231135
-0.065576077,3.53816331e-22,2.00223503e-22,0,
-0.065331936,3.0938983e-22,1.79571518e-22,0,
-0.065087795,2.61328541e-22,1.58192895e-22,0,
-0.064843655,2.11215532e-22,1.38361277e-22,0,
-0.064599514,1.65750762e-22,1.23990053e-22,0,
-0.064355373,1.32170077e-22,1.15362309e-22,0,
-0.064111233,1.26965529e-22,1.17592403e-22,0,
-0.063867092,1.53337722e-22,1.28567352e-22,0,
-0.063622952,1.98580262e-22,1.47372122e-22,0,
-0.063378811,2.46312824e-22,1.72452999e-22,0,
-0.06313467,2.91067525e-22,1.99361725e-22,0,
-0.06289053,3.27424602e-22,2.28537678e-22,0,
-0.062646389,3.53848807e-22,2.54454513e-22,1,1.390617139
-0.062402248,3.6718204e-22,2.77312577e-22,1,1.324072798
-0.062158108,3.65638615e-22,2.93794432e-22,1,1.244538952
-0.061913967,3.5028044e-22,3.02245893e-22,1,1.158925393
-0.061669827,3.21813078e-22,3.01423067e-22,1,1.067645819
-0.061425686,2.86132151e-22,2.87203201e-22,1,0.996270759
-0.061181545,2.465893e-22,2.61414888e-22,0,
-0.060937405,2.13788385e-22,2.21691653e-22,0,
-0.060693264,1.97794154e-22,1.73249489e-22,0,
-0.060449123,2.06255828e-22,1.15996535e-22,0,
-0.060204983,2.36522929e-22,5.60181387e-23,0,
-0.059960842,2.76392403e-22,2.71787759e-23,0,
-0.059716702,3.193001e-22,8.36993406e-23,0,
-0.059472561,3.57300273e-22,1.42298426e-22,0,
-0.05922842,3.87582299e-22,1.96744466e-22,0,
-0.05898428,4.07506475e-22,2.43669027e-22,1,1.672376997
-0.058740139,4.15733571e-22,2.87554941e-22,1,1.44575353
-0.058495998,4.1232477e-22,3.25855555e-22,1,1.265360567
-0.058251858,3.94320194e-22,3.61338029e-22,1,1.091277867
-0.058007717,3.62913659e-22,3.89795062e-22,1,0.931037088
-0.057763577,3.16586461e-22,4.11678856e-22,1,0.769013168
-0.057519436,2.60408053e-22,4.21712912e-22,1,0.617500782
-0.057275295,1.96000715e-22,4.16623746e-22,1,0.470450176
-0.057031155,1.32931997e-22,3.92640285e-22,0,
-0.056787014,9.07295729e-23,3.47973681e-22,0,
-0.056542873,1.0982719e-22,2.86707058e-22,0,
-0.056298733,1.6429743e-22,2.11666517e-22,0,
-0.056054592,2.2219538e-22,1.36933739e-22,0,
-0.055810452,2.70453013e-22,9.17320449e-23,0,
-0.055566311,3.08106679e-22,1.2160979e-22,0,
-0.05532217,3.31048426e-22,1.83468735e-22,0,
-0.05507803,3.40852775e-22,2.37543594e-22,1,1.434906196
-0.054833889,3.35683451e-22,2.77690448e-22,1,1.208840467
-0.054589748,3.20444343e-22,3.00934204e-22,1,1.064831912
-0.054345608,2.96669891e-22,3.11600914e-22,1,0.952082865
-0.054101467,2.69484563e-22,3.14233847e-22,1,0.857592414
-0.053857327,2.41085384e-22,3.1510097e-22,0,
-0.053613186,2.19305011e-22,3.19196651e-22,0,
-0.053369045,2.10910858e-22,3.23804462e-22,0,
-0.053124905,2.21783226e-22,3.23716882e-22,0,
-0.052880764,2.47809386e-22,3.08914874e-22,0,
-0.052636623,2.85230872e-22,2.77117519e-22,0,
-0.052392483,3.26612086e-22,2.23714334e-22,0,
-0.052148342,3.67264828e-22,1.53908336e-22,0,
-0.051904202,3.99799403e-22,7.16586311e-23,0,
-0.051660061,4.21350733e-22,5.04410942e-23,0,
-0.05141592,4.29942946e-22,1.3222119e-22,0,
-0.05117178,4.2598296e-22,2.11482394e-22,1,2.014271499
-0.050927639,4.10863979e-22,2.72213943e-22,1,1.509342151
-0.050683498,3.87050285e-22,3.10155891e-22,1,1.24792176
-0.050439358,3.61619099e-22,3.23355269e-22,1,1.118333714
-0.050195217,3.40897694e-22,3.18226529e-22,1,1.071242222
-0.049951077,3.32153681e-22,3.02065239e-22,1,1.099609085
-0.049706936,3.36020696e-22,2.93281315e-22,1,1.145728281
-0.049462795,3.5362687e-22,3.01160466e-22,1,1.174214114
-0.049218655,3.80670788e-22,3.27331191e-22,1,1.162952994
-0.048974514,4.1413271e-22,3.5507987e-22,1,1.166308611
-0.048730373,4.46566895e-22,3.74875189e-22,1,1.191241534
-0.048486233,4.76281458e-22,3.76070072e-22,1,1.266469982
-0.048242092,4.98935977e-22,3.62092517e-22,1,1.377924023
-0.047997952,5.15600449e-22,3.36244192e-22,1,1.533410721
-0.047753811,5.2179342e-22,3.18037809e-22,1,1.640664742
-0.04750967,5.19519466e-22,3.21476415e-22,1,1.616042241
-0.04726553,5.07157401e-22,3.54020312e-22,1,1.432565827
-0.047021389,4.89980967e-22,3.96793546e-22,1,1.234851151
-0.046777248,4.67665435e-22,4.35062165e-22,1,1.074939337
-0.046533108,4.44114712e-22,4.52414427e-22,1,0.981654618
-0.046288967,4.19002092e-22,4.46973225e-22,1,0.93742101
-0.046044827,3.95952168e-22,4.16723181e-22,1,0.950156329
-0.045800686,3.74096519e-22,3.74982705e-22,1,0.997636729
-0.045556545,3.52894579e-22,3.39959518e-22,1,1.038048826
-0.045312405,3.29690899e-22,3.38277413e-22,1,0.974616945
-0.045068264,3.03956025e-22,3.71875565e-22,1,0.817359498
-0.044824123,2.76249799e-22,4.23829245e-22,1,0.651795039
-0.044579983,2.46072588e-22,4.68214663e-22,1,0.525555066
-0.044335842,2.14859035e-22,4.91214645e-22,1,0.437403561
-0.044091702,1.83619111e-22,4.82426e-22,1,0.380616117
-0.043847561,1.59068652e-22,4.40256701e-22,0,
-0.04360342,1.44821493e-22,3.69690271e-22,0,
-0.04335928,1.44511608e-22,2.81446158e-22,0,
-0.043115139,1.54167184e-22,1.97339426e-22,0,
-0.042870998,1.70736576e-22,1.47053225e-22,0,
-0.042626858,1.87004656e-22,1.55887509e-22,0,
-0.042382717,1.99623639e-22,1.90907639e-22,0,
-0.042138577,2.03089806e-22,2.16354245e-22,0,
-0.041894436,1.99236566e-22,2.22181819e-22,0,
-0.041650295,1.85632262e-22,2.16540156e-22,0,
-0.041406155,1.66164553e-22,2.22097393e-22,0,
-0.041162014,1.38545167e-22,2.58857485e-22,0,
-0.040917873,1.0837587e-22,3.21868996e-22,0,
-0.040673733,7.70963324e-23,3.91537485e-22,0,
-0.040429592,5.42523897e-23,4.50159384e-22,0,
-0.040185452,4.53040125e-23,4.86625066e-22,0,
-0.039941311,5.47111057e-23,4.91008312e-22,0,
-0.03969717,6.93450522e-23,4.64292922e-22,0,
-0.03945303,8.55669211e-23,4.06188572e-22,0,
-0.039208889,9.7544977e-23,3.30823911e-22,0,
-0.038964748,1.09635767e-22,2.47822554e-22,0,
-0.038720608,1.20460476e-22,1.82066145e-22,0,
-0.038476467,1.34241972e-22,1.53973044e-22,0,
-0.038232327,1.45669467e-22,1.69837468e-22,0,
-0.037988186,1.56389265e-22,1.9326897e-22,0,
-0.037744045,1.62340599e-22,2.05709972e-22,0,
-0.037499905,1.66935119e-22,1.95768358e-22,0,
-0.037255764,1.67498554e-22,1.69109247e-22,0,
-0.037011623,1.68042606e-22,1.32736514e-22,0,
-0.036767483,1.69734497e-22,9.77749749e-23,0,
-0.036523342,1.78630919e-22,8.2028963e-23,0,
-0.036279202,1.93481529e-22,8.43173892e-23,0,
-0.036035061,2.12889696e-22,9.07377791e-23,0,
-0.03579092,2.32039519e-22,9.20115835e-23,0,
-0.03554678,2.49507847e-22,8.52892934e-23,0,
-0.035302639,2.63388987e-22,8.66144503e-23,0,
-0.035058498,2.72152584e-22,1.07831283e-22,0,
-0.034814358,2.77308718e-22,1.4115394e-22,0,
-0.034570217,2.80324694e-22,1.79251739e-22,0,
-0.034326077,2.87426181e-22,2.09974844e-22,0,
-0.034081936,2.98325185e-22,2.28190696e-22,0,
-0.033837795,3.15795472e-22,2.34310095e-22,0,
-0.033593655,3.34979992e-22,2.24928929e-22,0,
-0.033349514,3.57506887e-22,2.09123739e-22,0,
-0.033105373,3.76038089e-22,1.86472971e-22,0,
-0.032861233,3.91150581e-22,1.61977656e-22,0,
-0.032617092,3.95931011e-22,1.36845204e-22,0,
-0.032372952,3.95033634e-22,1.1102468e-22,0,
-0.032128811,3.85419714e-22,1.03855676e-22,0,
-0.03188467,3.72442195e-22,1.31722786e-22,0,
-0.03164053,3.52827877e-22,1.93996139e-22,0,
-0.031396389,3.31103417e-22,2.6511833e-22,1,1.248889192
-0.031152248,3.06167503e-22,3.36535535e-22,1,0.909762776
-0.030908108,2.81501523e-22,3.90549974e-22,1,0.720782337
-0.030663967,2.55384408e-22,4.24551474e-22,1,0.601539327
-0.030419827,2.30410469e-22,4.26552709e-22,1,0.54016881
-0.030175686,2.0970608e-22,3.97292117e-22,1,0.527838512
-0.029931545,2.00164056e-22,3.39236357e-22,0,
-0.029687405,2.03974275e-22,2.68791865e-22,0,
-0.029443264,2.21395354e-22,2.23479984e-22,0,
-0.029199123,2.46847945e-22,2.42791786e-22,0,
-0.028954983,2.7620744e-22,3.11596882e-22,1,0.886425558
-0.028710842,3.01655549e-22,3.87110446e-22,1,0.779249312
-0.028466702,3.19275456e-22,4.4256492e-22,1,0.721420613
-0.028222561,3.27345148e-22,4.63242166e-22,1,0.706639361
-0.02797842,3.26698352e-22,4.4925245e-22,1,0.727204387
-0.02773428,3.21429613e-22,4.06594482e-22,1,0.790541013
-0.027490139,3.14086027e-22,3.67488508e-22,1,0.854682583
-0.027245998,3.14025122e-22,3.61560752e-22,1,0.868526576
-0.027001858,3.25860806e-22,4.09655802e-22,1,0.79545024
-0.026757717,3.54810293e-22,4.82437379e-22,1,0.735453571
-0.026513577,3.93594031e-22,5.53880073e-22,1,0.710612368
-0.026269436,4.39460437e-22,5.91403689e-22,1,0.74308031
-0.026025295,4.83132168e-22,5.88107762e-22,1,0.821502792
-0.025781155,5.24846023e-22,5.30320517e-22,1,0.989677009
-0.025537014,5.54741057e-22,4.37316528e-22,1,1.268511528
-0.025292873,5.76094937e-22,3.29478e-22,1,1.748508054
-0.025048733,5.8076307e-22,2.83150033e-22,1,2.051078943
-0.024804592,5.76270528e-22,3.44760626e-22,1,1.671509114
-0.024560452,5.54318986e-22,4.72779855e-22,1,1.172467439
-0.024316311,5.22182773e-22,5.92269475e-22,1,0.881664166
-0.02407217,4.73276415e-22,6.81358648e-22,1,0.694606896
-0.02382803,4.18705101e-22,7.13083555e-22,1,0.58717537
-0.023583889,3.58246764e-22,6.95445715e-22,1,0.515132607
-0.023339748,3.07107278e-22,6.2784038e-22,1,0.489148656
-0.023095608,2.72286049e-22,5.37892853e-22,1,0.506208713
-0.022851467,2.73523108e-22,4.50040008e-22,1,0.607775094
-0.022607327,3.03367119e-22,4.08182938e-22,1,0.74321362
-0.022363186,3.53829743e-22,4.25668738e-22,1,0.831232627
-0.022119045,4.00683783e-22,4.80556776e-22,1,0.833790725
-0.021874905,4.41656794e-22,5.25021676e-22,1,0.841216305
-0.021630764,4.64464468e-22,5.37007717e-22,1,0.864912091
-0.021386623,4.71401633e-22,5.06266863e-22,1,0.931132705
-0.021142483,4.57848331e-22,4.35593687e-22,1,1.051090374
-0.020898342,4.26860194e-22,3.45322582e-22,1,1.236120129
-0.020654202,3.84106993e-22,2.5638669e-22,1,1.498154966
-0.020410061,3.3164887e-22,2.27099063e-22,0,
-0.02016592,2.81233629e-22,2.68001101e-22,0,
-0.01992178,2.33060577e-22,3.33966661e-22,0,
-0.019677639,2.06745904e-22,3.7589763e-22,0,
-0.019433498,2.03230394e-22,3.85402246e-22,0,
-0.019189358,2.27249442e-22,3.45325392e-22,0,
-0.018945217,2.60487898e-22,2.79523666e-22,0,
-0.018701077,3.01318327e-22,1.75053202e-22,0,
-0.018456936,3.35914902e-22,8.11362503e-23,0,
-0.018212795,3.71540916e-22,9.55691992e-23,0,
-0.017968655,3.90257084e-22,2.02526017e-22,0,
-0.017724514,4.09607352e-22,2.90288912e-22,1,1.411033408
-0.017480373,4.0688215e-22,3.66403993e-22,1,1.110474114
-0.017236233,4.09181474e-22,3.97727642e-22,1,1.028798179
-0.016992092,3.87162611e-22,4.23322302e-22,1,0.914581182
-0.016747952,3.72212866e-22,4.08689786e-22,1,0.910746679
-0.016503811,3.34877294e-22,3.8841194e-22,1,0.862170443
-0.01625967,3.05394664e-22,3.51981161e-22,1,0.867644914
-0.01601553,2.61246654e-22,2.92758664e-22,0,
-0.015771389,2.17770195e-22,2.56960465e-22,0,
-0.015527248,1.71276055e-22,1.95957948e-22,0,
-0.015283108,1.09786928e-22,2.35826338e-22,0,
-0.015038967,6.72274616e-23,2.53354467e-22,0,
-0.014794827,1.42115558e-22,4.52315425e-22,0,
