candidate_id,gain,sat_mev,blend,sign_blend,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,delta_holdout_p95_abs_z_logft_vs_pre,logft_constraint_pass,delta_n_qbeta_gt3_holdout_vs_pre,delta_top_priority_q_gt3_vs_pre,qfail_constraint_pass,top_priority_constraint_pass,all_constraints_pass,holdout_max_abs_z_qbeta,train_p95_abs_z_qbeta,overfit_gap_qbeta,overfit_guard_pass,hard_fail_count,watch_fail_count,n_qbeta_gt3_holdout,n_logft_gt3_holdout,top_priority_class_after,top_priority_q_gt3_after,n_target_rows,n_changed_rows,mapping_delta_abs_median_mev,mapping_delta_abs_p95_mev,is_pareto_front,norm_holdout_p95_abs_z_qbeta,norm_holdout_p95_abs_z_logft,norm_overfit_gap_qbeta,norm_n_qbeta_gt3_holdout,score_weighted,rank_weighted,rank_constrained
lcand_0021,0.6,12.0,0.6,0.1,6824.712367703978,11.118500858876715,1.4548199885917317,False,-4,0,True,True,False,304422.27379357547,3927.3627894545307,2897.3495782494474,False,3,3,1240,197,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.5895600283450939,2.550393078905459,False,0.6991871227853317,0.1984570117130973,0.5889887163072157,0.2857142857142857,0.5062547663144858,23,
lcand_0022,0.6,12.0,0.8,0.0,6555.795188685237,13.021252477545575,3.357571607260592,False,-3,0,True,True,False,299013.1349874256,3885.743211437669,2670.051977247568,False,3,3,1241,162,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.6938594479618849,2.9067188562785153,False,0.2650340903669312,0.42039660549716956,0.2540946366629781,0.42857142857142855,0.3176318210754369,16,
lcand_0023,0.6,12.0,0.8,0.1,6824.673319385412,10.568250888234337,0.9045700179493537,False,-3,0,True,True,False,303707.34954954963,3927.771696325473,2896.9016230599386,False,3,3,1241,205,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.7710748230231299,3.3627139331973015,False,0.6991240812720362,0.13427509024428144,0.5883287113610519,0.42857142857142855,0.49398267734648255,22,
lcand_0024,0.8,3.0,0.4,0.0,6739.32504977625,11.786662333571236,2.122981463286253,False,-2,0,True,True,False,297976.08629341226,3884.7280530965163,2854.596996679734,False,3,3,1242,57,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.2667369126441048,2.137110067247472,False,0.5613336649152652,0.27639229492132367,0.5259982298520329,0.5714285714285714,0.4692889122301016,20,
lcand_0025,0.8,3.0,0.4,0.1,6822.398508443983,15.802841408966241,6.139160538681258,False,-3,0,True,True,False,302433.99980587047,3933.8801306933856,2888.518377750597,False,3,3,1241,187,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.33808669319606865,2.532652349748173,False,0.695451515346707,0.7448450050973551,0.5759770666013673,0.42857142857142855,0.6730306681840696,46,
lcand_0026,0.8,3.0,0.6,0.0,6985.503452243783,15.33904757345195,5.675366703166967,False,-3,0,True,True,False,296060.78119530104,3852.298134929414,3133.2053173143686,False,3,3,1241,131,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.4001053689661571,3.2056651008712085,False,0.9587761055105096,0.6907474474110765,0.9364921229195239,0.42857142857142855,0.8474004777155285,70,
lcand_0027,0.8,3.0,0.6,0.1,6967.691851577904,10.806540116593869,1.1428592463088858,False,-3,0,True,True,False,300062.3620801302,3938.9752244811443,3028.71662709676,False,3,3,1241,204,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.4866912878512266,3.7305991149357554,False,0.9300201871659334,0.1620694770819249,0.7825413394998232,0.42857142857142855,0.6450667666777836,38,
lcand_0028,0.8,3.0,0.8,0.0,6988.660030087086,11.079139673935536,1.4154588036505533,False,-4,0,True,True,False,293572.81528154924,3812.3509704776934,3176.3090596093925,False,3,3,1240,198,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.5334738252882094,4.2742201344949455,False,0.9638722390031167,0.19386586838624714,1.0,0.2857142857142857,0.7061879823529909,54,
lcand_0029,0.8,3.0,0.8,0.1,7010.065270341261,12.19243810404263,2.5287572337576467,False,-5,0,True,True,False,296981.61939426436,3945.59227661276,3064.4729937285006,False,3,3,1239,228,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.6294136599073878,4.7467120666300415,False,0.998429904675144,0.3237225448510771,0.835223793875836,0.14285714285714285,0.7205978364771622,56,
lcand_0030,0.8,5.0,0.4,0.0,6420.897481471372,10.13681786001744,0.4731369897324562,False,-1,0,True,True,False,298378.47431297397,3896.2610938612693,2524.6363876101027,False,3,3,1243,52,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.20949492261851255,1.6257738718680859,False,0.047248641081419025,0.08395214210537655,0.03984327702297688,0.7142857142857143,0.09013047223713262,1,
