session,group_type,group_label,n_removed,beta_all,beta_all_sigma,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
20MAY04XA,time_quartile,Q2,2512,8.0497082639269522e+00,2.7976357126395818e-01,8.9808629862644533e+00,3.1549258950302295e-01,-9.3115472233750118e-01,4.2166720270574370e-01,2.2082692615467612e+00
20MAY04XA,time_quartile,Q1,2511,8.0497082639269522e+00,2.7976357126395818e-01,8.6644156928060774e+00,3.0703416829190316e-01,-6.1470742887912522e-01,4.1537649946171068e-01,1.4798801320626682e+00
20MAY04XA,time_quartile,Q3,2497,8.0497082639269522e+00,2.7976357126395818e-01,8.4413381613947376e+00,4.1343851555223082e-01,-3.9162989746778543e-01,4.9919841941696491e-01,7.8451750293037115e-01
20MAY04XA,time_quartile,Q4,2474,8.0497082639269522e+00,2.7976357126395818e-01,7.9985826817136942e+00,3.2843606579995149e-01,5.1125582213257914e-02,4.3143702335858225e-01,1.1850068363457457e-01
20MAY06XA,baseline,HARTRAO-WETTZELL,45,9.2325738013260708e+00,1.2206749153850662e+00,1.4902620558190836e+01,1.6528756827367863e+00,-5.6700467568647657e+00,2.0547616094410897e+00,2.7594669526685678e+00
20MAY06XA,baseline,NYALES20-WETTZELL,124,9.2325738013260708e+00,1.2206749153850662e+00,5.6919214170736891e+00,9.6552112550050295e-01,3.5406523842523816e+00,1.5563670173959923e+00,2.2749469403279705e+00
20MAY06XA,baseline,ONSALA60-WETTZELL,145,9.2325738013260708e+00,1.2206749153850662e+00,8.4651981005973305e+00,1.2619046311501996e+00,7.6737570072874028e-01,1.7556909030830741e+00,4.3707904357264321e-01
20MAY06XA,baseline,NYALES20-ONSALA60,116,9.2325738013260708e+00,1.2206749153850662e+00,8.8429551676798646e+00,1.3081194525039102e+00,3.8961863364620619e-01,1.7891963981266754e+00,2.1776180303858467e-01
20MAY06XA,baseline,HARTRAO-HOBART26,43,9.2325738013260708e+00,1.2206749153850662e+00,9.5087540037729230e+00,1.2695131624814591e+00,-2.7618020244685226e-01,1.7611674874253198e+00,1.5681654608023948e-01
20MAY06XA,baseline,HARTRAO-NYALES20,16,9.2325738013260708e+00,1.2206749153850662e+00,9.4481674761372201e+00,1.2603033457379382e+00,-2.1559367481114933e-01,1.7545403307785716e+00,1.2287758282277862e-01
20MAY06XA,baseline,FORTLEZA-WETTZELL,62,9.2325738013260708e+00,1.2206749153850662e+00,9.3368541585055596e+00,1.3047684792615306e+00,-1.0428035717948880e-01,1.7867478931076948e+00,5.8363218214358005e-02
20MAY06XA,baseline,FORTLEZA-NYALES20,25,9.2325738013260708e+00,1.2206749153850662e+00,9.1643536439239561e+00,1.2384762467410309e+00,6.8220157402114623e-02,1.7389280211647891e+00,3.9231156535403114e-02
20MAY06XA,baseline,HARTRAO-ONSALA60,16,9.2325738013260708e+00,1.2206749153850662e+00,9.1722648772834852e+00,1.2367617015971666e+00,6.0308924042585588e-02,1.7377073273678332e+00,3.4706030810112108e-02
20MAY06XA,baseline,FORTLEZA-ONSALA60,73,9.2325738013260708e+00,1.2206749153850662e+00,9.1963902179667372e+00,1.2890589039360445e+00,3.6183583359333582e-02,1.7753084540065522e+00,2.0381575538421921e-02
20MAY06XA,baseline,FORTLEZA-HARTRAO,36,9.2325738013260708e+00,1.2206749153850662e+00,9.2128269561104066e+00,1.2491591993052120e+00,1.9746845215664166e-02,1.7465525913235986e+00,1.1306184144560638e-02
20MAY06XA,baseline,FORTLEZA-HOBART26,10,9.2325738013260708e+00,1.2206749153850662e+00,9.2250027349026080e+00,1.2274252215319505e+00,7.5710664234627245e-03,1.7310747885354627e+00,4.3736217947394733e-03
20MAY06XA,source,3C418,29,9.2325738013260708e+00,1.2206749153850662e+00,7.2664534010287936e+00,1.1864855007474588e+00,1.9661204002972772e+00,1.7022911303693875e+00,1.1549848114820642e+00
20MAY06XA,source,1741-038,23,9.2325738013260708e+00,1.2206749153850662e+00,7.5571377713092325e+00,9.8664567959543603e-01,1.6754360300168383e+00,1.5695594751759738e+00,1.0674562235553349e+00
20MAY06XA,source,0059+581,53,9.2325738013260708e+00,1.2206749153850662e+00,9.7097238870656160e+00,1.3594449596856588e+00,-4.7715008573954520e-01,1.8270571549530357e+00,2.6115772265034060e-01
20MAY06XA,source,2318+049,29,9.2325738013260708e+00,1.2206749153850662e+00,8.8621241618887616e+00,1.2406728888936231e+00,3.7044963943730913e-01,1.7404931675493551e+00,2.1284176596849771e-01
20MAY06XA,source,OJ287,45,9.2325738013260708e+00,1.2206749153850662e+00,9.4044079352844197e+00,1.2150345083988459e+00,-1.7183413395834890e-01,1.7223112685140174e+00,9.9769499915427384e-02
20MAY06XA,source,0716+714,26,9.2325738013260708e+00,1.2206749153850662e+00,9.0836163493392732e+00,1.2422871975806968e+00,1.4895745198679755e-01,1.7416442605547322e+00,8.5526910035780224e-02
20MAY06XA,source,1149-084,27,9.2325738013260708e+00,1.2206749153850662e+00,9.1288635751693192e+00,1.2312618047278174e+00,1.0371022615675152e-01,1.7337972432876749e+00,5.9816813389374918e-02
20MAY06XA,source,1215+303,42,9.2325738013260708e+00,1.2206749153850662e+00,9.1513714474867527e+00,1.2543182705617222e+00,8.1202353839318064e-02,1.7502461463792138e+00,4.6394819384292768e-02
20MAY06XA,source,1330+476,48,9.2325738013260708e+00,1.2206749153850662e+00,9.2240733686197327e+00,1.2620679243248647e+00,8.5004327063380458e-03,1.7558082738898375e+00,4.8413217050777939e-03
20MAY06XA,source,1125+366,25,9.2325738013260708e+00,1.2206749153850662e+00,9.2246598521022865e+00,1.2432494978886530e+00,7.9139492237843001e-03,1.7423307846246439e+00,4.5421623113255320e-03
