session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
18MAY01XA,0805+410,57,3.8915678326779855e+01,2.5442290831592182e+01,4.2613757806308193e+01,2.4442290831592182e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.4040109914571584e+01
20MAY04XA,0808+019,111,1.0106397771203248e+01,1.9884489564050916e+01,1.3867268431039598e+01,1.8884489564050916e+01,8.0497082639269522e+00,2.7976357126395818e-01,1.1834781300123964e+01
20MAY04XA,0814+425,462,1.0106397771203248e+01,2.9616837061537424e+01,0.0000000000000000e+00,2.8616837061537424e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.1567128797610472e+01
22MAY09XA,0814+425,240,1.1981812554125794e+01,1.6319988017361847e+01,5.0473589945941422e+00,1.5319988017361847e+01,5.4609783256794806e+00,3.8943244120781795e-01,1.0859009691682367e+01
20MAY04XA,0826-373,30,1.0106397771203248e+01,-4.1478256751170175e+00,1.0948624873529331e+01,-5.1478256751170175e+00,8.0497082639269522e+00,2.7976357126395818e-01,-1.2197533939043970e+01
18MAY01XA,0834-201,35,3.8915678326779855e+01,1.4922696329295030e+02,2.8035236495179998e+01,1.4822696329295030e+02,1.4021809170205990e+00,5.5657027442395014e-02,1.4782478237592971e+02
20MAY04XA,0854-108,42,1.0106397771203248e+01,-1.3421120698963347e+00,1.0048479144246515e+02,-2.3421120698963347e+00,8.0497082639269522e+00,2.7976357126395818e-01,-9.3918203338232864e+00
18MAY01XA,0955+476,91,3.8915678326779855e+01,3.0321612300821347e+01,5.3334547598146846e+00,2.9321612300821347e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.8919431383800749e+01
20MAY04XA,0955+476,524,1.0106397771203248e+01,2.9035959094953288e+01,3.0391814617011907e+00,2.8035959094953288e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.0986250831026336e+01
20MAY06XA,0955+476,48,1.1452581368343477e+01,2.2524339952431344e+01,6.3599550817500932e+00,2.1524339952431344e+01,9.2325738013260708e+00,1.2206749153850662e+00,1.3291766151105273e+01
20MAY04XA,1014+615,118,1.0106397771203248e+01,2.0465019482361097e+01,3.8518472690877421e+00,1.9465019482361097e+01,8.0497082639269522e+00,2.7976357126395818e-01,1.2415311218434145e+01
20MAY04XA,1015+359,105,1.0106397771203248e+01,6.4913318531376589e+01,1.4294867996837418e+01,6.3913318531376589e+01,8.0497082639269522e+00,2.7976357126395818e-01,5.6863610267449637e+01
17MAY01XA,1030+415,80,2.9980768003362140e+01,5.9290934759006880e+01,6.6718788032740548e+00,5.8290934759006880e+01,1.1866902903646863e+00,6.9614570068410556e-02,5.8104244468642193e+01
18MAY01XA,1030+415,145,3.8915678326779855e+01,-2.0190400631650038e+00,4.6596803986043902e+00,-3.0190400631650038e+00,1.4021809170205990e+00,5.5657027442395014e-02,-3.4212209801856028e+00
