galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
NGC6015,17.0,21.89,163.0,7.0,45.56,82.02,0.0,3.9334977131679914e-11,3.3784642935185203e-12,8.052875807674971e-12
NGC6015,17.0,22.63,159.0,8.5,45.34,80.48,0.0,3.62042161804874e-11,3.8708910381653195e-12,7.58172051709168e-12
NGC6015,17.0,23.48,155.0,9.1,45.12,78.82,0.0,3.316001807023036e-11,3.893627928246403e-12,7.0972936697241645e-12
NGC6015,17.0,24.34,154.0,8.0,44.68,77.25,0.0,3.1576960406106233e-11,3.2807231590759723e-12,6.630793735669886e-12
NGC6015,17.0,25.19,149.0,5.4,44.57,75.79,0.0,2.856234259823515e-11,2.0702906044358364e-12,6.250686118441083e-12
NGC6015,17.0,25.93,153.0,3.1,46.56,74.58,0.0,2.9257000534748605e-11,1.1855777994473293e-12,6.1852538659929534e-12
NGC6015,17.0,26.78,156.0,3.0,42.58,73.28,0.0,2.945018849436821e-11,1.1326995574757005e-12,5.443293732510626e-12
NGC6015,17.0,27.64,151.0,9.4,40.7,72.03,0.0,2.6734084145666053e-11,3.3284819995928594e-12,4.983871181268948e-12
NGC6015,17.0,28.37,158.0,7.7,39.26,71.03,0.0,2.8517030025269347e-11,2.7795079898047338e-12,4.642388402254669e-12
NGC6015,17.0,29.23,152.0,3.4,38.26,69.88,0.0,2.5615793603599938e-11,1.1459697138452603e-12,4.330021285020629e-12
NGC6195,127.8,1.33,175.0,13.6,0.0,53.18,236.8,7.462320732273209e-10,1.1598578509590359e-10,9.908993158752134e-10
NGC6195,127.8,2.34,237.0,3.65,0.0,84.9,258.48,7.77911674823934e-10,2.3960992515673917e-11,6.976309556488324e-10
NGC6195,127.8,3.33,247.0,3.81,0.0,110.89,258.69,5.937438548639977e-10,1.831711811361807e-11,5.157282472530881e-10
NGC6195,127.8,4.34,242.0,3.56,0.0,133.39,255.32,4.373110560069581e-10,1.2866341813097279e-11,4.071752265918632e-10
NGC6195,127.8,5.35,240.0,4.2,0.11,152.34,247.96,3.489138076112064e-10,1.2211983266392225e-11,3.3099964604729623e-10
NGC6195,127.8,6.34,233.0,4.59,0.0,168.35,242.98,2.775057836666327e-10,1.0933489674075915e-11,2.836875830936952e-10
NGC6195,127.8,7.34,233.0,4.63,0.0,182.51,235.83,2.396984561916147e-10,9.526213323323398e-12,2.4542502039786275e-10
NGC6195,127.8,8.32,247.0,6.41,1.96,192.78,226.67,2.3764026883378756e-10,1.2334203426919663e-11,2.1248686701160218e-10
NGC6195,127.8,9.34,248.0,7.64,15.34,198.8,216.7,2.134056631884221e-10,1.3148542473867298e-11,1.834380265102565e-10
NGC6195,127.8,10.38,242.0,9.05,25.14,207.14,206.98,1.8284489239597282e-10,1.3675589059368216e-11,1.6258225920268457e-10
NGC6195,127.8,11.36,252.0,12.5,33.65,211.69,198.54,1.8116412675781249e-10,1.797263162279886e-11,1.4586742637888996e-10
NGC6195,127.8,12.34,245.0,8.72,41.56,213.57,190.81,1.576400136538882e-10,1.1221395257648204e-11,1.3136245501710473e-10
NGC6195,127.8,13.32,247.0,4.44,48.79,217.57,183.83,1.4843596371599943e-10,5.3364832299517206e-12,1.2093129660697987e-10
NGC6195,127.8,14.3,238.0,9.29,54.63,223.69,177.48,1.2837112032957106e-10,1.0021577376989203e-11,1.134328280358943e-10
