key,label,A,Z,N,in_domain,magic_any,A_bin,radii_used,R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,sigma_set_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,C3_inf_eq19,C_surf_eq19_MeV_fm,x_eq19_fm5,C3_eff_eq19,E3_vol_eq19_MeV,E3_surf_equiv_eq19_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19,pass_3sigma_eq19
Z6_N8,C-14,14,6,8,0,1,2<=A<16,published,3.23071360796,0.0991160631016,7.5203198,4e-07,0,13.365861635,5.84554183504,1551.70342727,195.655721197,5.25124404033,2579.13936716,15.2439251046,10.0935244727,13.365861635,5.84554183504,0.354468057221,0.354468057221,16.4910256819,0
Z7_N7,N-14,14,7,7,0,0,2<=A<16,published,3.30262199876,0.0927818052171,7.4756148,2e-07,0,12.5749525719,5.09933777187,1551.70342727,195.655721197,5.8622487662,2698.68593745,13.3577821292,9.8737569357,12.5749525719,5.09933777187,0.307850628517,0.307850628517,16.5643247065,0
Z7_N8,N-15,15,7,8,0,1,2<=A<16,published,3.36407333452,0.0940602840858,7.6994603,2e-07,0,12.9874854861,5.28802518608,1551.70342727,195.655721197,5.5997768768,2647.33181064,13.7284432107,9.69339358082,12.9874854861,5.28802518608,0.320349575847,0.320349575847,16.5070460046,0
Z8_N8,O-16,16,8,8,1,1,16<=A<40,published,3.48452311658,0.0902820315933,7.9762072,2e-07,0,12.5346865973,4.55847939728,1551.70342727,195.655721197,5.86817089375,2699.84463559,12.6476944763,9.35832128966,12.5346865973,4.55847939728,0.283009092488,0.283009092488,16.1071835439,0
Z8_N9,O-17,17,8,9,1,1,16<=A<40,published,3.47690624934,0.0965564678256,7.7507291,2e-07,0,13.6660738055,5.91534470547,1551.70342727,195.655721197,5.14153774612,2557.67470305,14.4667661028,9.37882258759,13.6660738055,5.91534470547,0.33058121755,0.33058121755,17.8937713077,0
Z10_N7,Ne-17,17,10,7,1,0,16<=A<40,published,3.92630141694,0.0670516395665,6.6404991,2.08e-05,0,7.81564900656,1.17514990656,1551.70342727,195.655721197,9.44161547763,3399.00951281,6.976338148,8.30534475156,7.81564900656,1.17514990656,0.187366845529,0.187366845529,6.27192021751,0
Z8_N10,O-18,18,8,10,1,1,16<=A<40,published,3.57941120856,0.0937020547996,7.7670981,2e-07,0,13.3501290963,5.58303099628,1551.70342727,195.655721197,5.30321124101,2589.30704729,13.6240725834,9.11023768048,13.3501290963,5.58303099628,0.303989282482,0.303989282482,18.3658810294,0
Z10_N8,Ne-18,18,10,8,1,1,16<=A<40,published,3.83606090497,0.0761250190491,7.3412577,2.02e-05,0,10.0111820066,2.66992430657,1551.70342727,195.655721197,7.49736107607,3018.60501568,8.99215010666,8.50072187956,10.0111820066,2.66992430657,0.220079258285,0.220079258285,12.1316489676,0
Z9_N10,F-19,19,9,10,1,0,16<=A<40,published,3.74078551466,0.0866515964193,7.7790192,2e-07,0,12.4142204457,4.6352012457,1551.70342727,195.655721197,5.93379864691,2712.68508097,11.6509638833,8.71722977392,12.4142204457,4.6352012457,0.252602548196,0.252602548196,18.349780233,0
Z10_N9,Ne-19,19,10,9,1,0,16<=A<40,published,3.88356950069,0.0774411415912,7.5673431,8.4e-06,0,10.6109366221,3.04359352212,1551.70342727,195.655721197,7.15606332376,2951.82815781,9.30576781242,8.39673060066,10.6109366221,3.04359352212,0.207307830552,0.207307830552,14.6815174034,0
Z10_N10,Ne-20,20,10,10,1,0,16<=A<40,published,3.88008381568,0.0817368816751,8.0322412,2e-07,0,11.6261610866,3.59391988656,1551.70342727,195.655721197,6.42941578978,2809.65541049,10.3668030878,8.40427382895,11.6261610866,3.59391988656,0.224365756112,0.224365756112,16.0181301676,0
Z11_N9,Na-20,20,11,9,1,0,16<=A<40,published,3.83657730275,0.0845492047029,7.2985028,5.54e-05,0,11.7367815288,4.43827872883,1551.70342727,195.655721197,6.07695111516,2740.69368038,11.0924574903,8.49957769463,11.7367815288,4.43827872883,0.641466705518,0.641466705518,6.91895415717,0
Z10_N11,Ne-21,21,10,11,1,0,16<=A<40,published,3.83360801552,0.0889831082997,7.9717136,1.8e-06,0,13.0031187804,5.03140518042,1551.70342727,195.655721197,5.49067705861,2625.98580703,12.2863777483,8.50616096747,13.0031187804,5.03140518042,0.267768165909,0.267768165909,18.7901543985,0
Z11_N10,Na-21,21,11,10,1,0,16<=A<40,published,3.89054087071,0.0851335492009,7.7655581,2e-06,0,12.1620667836,4.39650868362,1551.70342727,195.655721197,5.91067783847,2708.16136251,11.2463138252,8.38168469369,12.1620667836,4.39650868362,0.468224052935,0.468224052935,9.38975402068,0
Z12_N9,Mg-21,21,12,9,1,0,16<=A<40,preliminary,3.9537995987,0.081112301892,7.1050317,3.59e-05,0,10.9898069671,3.8847752671,1551.70342727,195.655721197,6.40708733236,2805.28672005,10.2089757513,8.24758211745,10.9898069671,3.8847752671,0.237317398263,0.237317398263,16.3695341999,0
Z10_N12,Ne-22,22,10,12,1,0,16<=A<40,published,3.81166110989,0.0948399307597,8.0804656,8e-07,0,13.9990553503,5.91858975028,1551.70342727,195.655721197,4.86129539958,2502.84368462,13.9569709912,8.55513801623,13.9990553503,5.91858975028,0.304690718548,0.304690718548,19.424909884,0
Z11_N11,Na-22,22,11,11,1,0,16<=A<40,published,3.85387662837,0.0917573047496,7.9156624,6e-06,0,13.4592737121,5.54361131207,1551.70342727,195.655721197,5.13652782847,2556.69448399,13.0644164517,8.46142469279,13.4592737121,5.54361131207,0.368703266922,0.368703266922,15.0354276987,0
Z12_N10,Mg-22,22,12,10,1,0,16<=A<40,preliminary,3.96180376428,0.0844607999889,7.6627645,7.2e-06,0,11.9426698431,4.27990534314,1551.70342727,195.655721197,5.89719390592,2705.52315397,11.0692730532,8.23091924951,11.9426698431,4.27990534314,0.248077446231,0.248077446231,17.2522952335,0
Z10_N13,Ne-23,23,10,13,1,0,16<=A<40,published,3.7573102436,0.103516137106,7.9552561,4.5e-06,0,15.2265482902,7.27129219024,1551.70342727,195.655721197,4.13957331634,2361.63462992,16.6274187232,8.67889121527,15.2265482902,7.27129219024,0.369379614536,0.369379614536,19.6851474854,0
Z11_N12,Na-23,23,11,12,1,0,16<=A<40,published,3.86472098174,0.0951228364223,8.1114936,2e-07,0,14.1258234829,6.01432988293,1551.70342727,195.655721197,4.76607663286,2484.21358815,14.0403619269,8.43768205268,14.1258234829,6.01432988293,0.302610494934,0.302610494934,19.8748225313,0
Z12_N11,Mg-23,23,12,11,1,0,16<=A<40,preliminary,3.92785061028,0.0906096267862,7.9011229,1.4e-06,0,13.2303829993,5.32926009925,1551.70342727,195.655721197,5.1682689386,2562.90481379,12.7396472386,8.30206901986,13.2303829993,5.32926009925,0.278626407962,0.278626407962,19.1269023573,0
Z10_N14,Ne-24,24,10,14,1,0,16<=A<40,published,3.74478759745,0.109104097984,7.9933252,2.14e-05,0,15.8871223202,7.89379712016,1551.70342727,195.655721197,3.73886198101,2283.23316462,18.4710185994,8.70791360462,15.8871223202,7.89379712016,0.408523601387,0.408523601387,19.3227443736,0
Z11_N13,Na-24,24,11,13,1,0,16<=A<40,published,3.83877199332,0.101285127581,8.0634882,7e-07,0,15.0865961237,7.02310792368,1551.70342727,195.655721197,4.23218918462,2379.75545442,15.9184243672,8.494718343,15.0865961237,7.02310792368,0.411501683873,0.411501683873,17.0670211056,0
Z12_N12,Mg-24,24,12,12,1,0,16<=A<40,published,3.94657002979,0.0932101467668,8.2607103,6e-07,0,13.8462547405,5.58554444048,1551.70342727,195.655721197,4.86074180305,2502.73537029,13.4814033635,8.26269054397,13.8462547405,5.58554444048,0.290034528483,0.290034528483,19.2582051168,0
Z10_N15,Ne-25,25,10,15,1,0,16<=A<40,published,3.78467932591,0.110094122905,7.8397994,0.0011618,0,15.9488483138,8.10904891379,1551.70342727,195.655721197,3.63321743851,2262.56320546,18.8077564001,8.61612941496,15.9488483138,8.10904891379,0.417893378812,0.417893378812,19.4045881675,0
Z11_N14,Na-25,25,11,14,1,0,16<=A<40,published,3.84316137444,0.10514425223,8.1013979,4.8e-05,0,15.6284190304,7.52702113038,1551.70342727,195.655721197,3.92273576682,2319.20912279,17.1545682774,8.48501628973,15.6284190304,7.52702113038,0.494603443527,0.494603443527,15.218295038,0
Z12_N13,Mg-25,25,12,13,1,0,16<=A<40,published,3.90964758855,0.0998708077422,8.2235028,1.9e-06,0,14.9574135881,6.73391078812,1551.70342727,195.655721197,4.27399502674,2387.93500662,15.4769665577,8.34072282159,14.9574135881,6.73391078812,0.333327012765,0.333327012765,20.2021154309,0
Z10_N16,Ne-26,26,10,16,1,0,16<=A<40,published,3.776287862,0.115262878383,7.751911,0.0007088,0,16.4022706915,8.65035969146,1551.70342727,195.655721197,3.32203906769,2201.6793769,20.6152041923,8.63527571465,16.4022706915,8.65035969146,0.4566903809,0.4566903809,18.9414098769,0
Z11_N15,Na-26,26,11,15,1,0,16<=A<40,published,3.86368818618,0.107616417049,8.0042013,0.0001347,0,15.9301884536,7.92598715356,1551.70342727,195.655721197,3.72468562019,2280.45947852,17.9707323794,8.43993751434,15.9301884536,7.92598715356,0.569647134593,0.569647134593,13.9138541603,0
Z12_N14,Mg-26,26,12,14,1,0,16<=A<40,published,3.91648985913,0.103322217768,8.3338711,1.1e-06,0,15.5134006879,7.17952958791,1551.70342727,195.655721197,3.98624790625,2331.63563623,16.565179966,8.32615123213,15.5134006879,7.17952958791,0.356128781262,0.356128781262,20.1599251891,0
Z11_N16,Na-27,27,11,16,1,0,16<=A<40,published,3.89054087071,0.109457420401,7.9569467,0.000138,0,16.1108102156,8.15386351564,1551.70342727,195.655721197,3.57559523561,2251.2890918,18.5908453029,8.38168469369,16.1108102156,8.15386351564,0.697296097802,0.697296097802,11.6935453122,0
Z12_N15,Mg-27,27,12,15,1,0,16<=A<40,preliminary,3.91481156635,0.10743420304,8.2638525,1.8e-06,0,16.0746467455,7.81079424548,1551.70342727,195.655721197,3.68852519047,2273.38448356,17.9099285149,8.32972068095,16.0746467455,7.81079424548,0.385192509435,0.385192509435,20.2776379451,0
Z13_N14,Al-27,27,13,14,1,0,16<=A<40,published,3.95173400758,0.104450865178,8.3315533,1.8e-06,0,15.6989016647,7.3673483647,1551.70342727,195.655721197,3.86577846062,2308.06509997,16.9290583794,8.25189316985,15.6989016647,7.3673483647,0.365361199362,0.365361199362,20.1645614738,0
Z10_N18,Ne-28,28,10,18,1,0,16<=A<40,published,3.82676574494,0.119281691418,7.3883463,0.0045024,0,16.5350275065,9.14668120648,1551.70342727,195.655721197,3.06104204061,2150.61381534,22.0778255274,8.52137001313,16.5350275065,9.14668120648,0.492937151312,0.492937151312,18.5554713864,0
