q_b,eta_baryon,eta10,tnuc_mev,li7h_pred,li7h_obs,li7h_sigma,z,z_abs,status,be7_prod,destruction_scale,lambda_be7,lambda_li7,survival_factor
0.35,5.4875e-10,5.4875,0.058,5.626488025528406e-10,1.6e-10,3e-11,13.421626751761355,13.421626751761355,reject,7.480276642085624e-10,0.26358020962934464,0.2108641677034757,0.11861109433320509,0.7521764628159058
0.35,5.4875e-10,5.4875,0.06,5.455565844575706e-10,1.6e-10,3e-11,12.85188614858569,12.85188614858569,reject,7.336760968567647e-10,0.27585701319871025,0.2206856105589682,0.12413565593941962,0.7435932379354583
0.35,5.4875e-10,5.4875,0.062,5.29320032727539e-10,1.6e-10,3e-11,12.310667757584634,12.310667757584634,reject,7.200571649845095e-10,0.2882749496921461,0.2306199597537169,0.12972372736146576,0.7351083475975496
0.35,5.4875e-10,5.4875,0.064,5.138747620167693e-10,1.6e-10,3e-11,11.795825400558979,11.795825400558979,reject,7.071115913996414e-10,0.30083100967946136,0.2406648077435691,0.1353739543557576,0.7267237141447742
0.35,5.4875e-10,5.4875,0.066,4.99163084127175e-10,1.6e-10,3e-11,11.305436137572501,11.305436137572501,reject,6.947865571592682e-10,0.31352234049784494,0.25081787239827597,0.14108505322403023,0.718440906755699
0.35,5.4875e-10,5.4875,0.068,4.851331196143268e-10,1.6e-10,3e-11,10.837770653810896,10.837770653810896,reject,6.830348275625815e-10,0.32634623355434217,0.26107698684347375,0.14685580509945398,0.710261175620474
0.35,5.4875e-10,5.4875,0.07,4.717380507495539e-10,1.6e-10,3e-11,10.391268358318465,10.391268358318465,reject,6.718140181580006e-10,0.3393001130021918,0.2714400904017535,0.15268505085098633,0.7021854828855449
0.35,5.4875e-10,5.4875,0.072,4.589354899275245e-10,1.6e-10,3e-11,9.964516330917483,9.964516330917483,reject,6.610859750474252e-10,0.35238152560713837,0.2819052204857107,0.15857168652321227,0.694214530711533
0.35,5.4875e-10,5.4875,0.074,4.4668694293878764e-10,1.6e-10,3e-11,9.55623143129292,9.55623143129292,reject,6.508162490649743e-10,0.3655881316488981,0.2924705053191185,0.16451465924200415,0.6863487867436336
0.35,5.4875e-10,5.4875,0.076,4.3495735064829034e-10,1.6e-10,3e-11,9.165245021609678,9.165245021609678,reject,6.40973647500822e-10,0.37891769672676334,0.3031341573814107,0.1705129635270435,0.6785885072564275
0.35,5.4875e-10,5.4875,0.078,4.237146958318309e-10,1.6e-10,3e-11,8.790489861061031,8.790489861061031,reject,6.315298502291377e-10,0.3923680843579464,0.31389446748635713,0.17656563796107588,0.670933758203345
0.35,5.4875e-10,5.4875,0.08,4.129296644418149e-10,1.6e-10,3e-11,8.430988814727165,8.430988814727165,reject,6.224590796004914e-10,0.40593724927350344,0.3247497994188028,0.18267176217307654,0.6633844343741322
0.35,5.4875e-10,5.4875,0.08199999999999999,4.025753525637373e-10,1.6e-10,3e-11,8.08584508545791,8.08584508545791,reject,6.137378154346053e-10,0.419623231330211,0.33569858506416883,0.18883045409859495,0.6559402768406281
