T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein1_J_per_molK,Cv_einstein2_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein1_1e-8_per_K,alpha_einstein2_1e-8_per_K,residual_1e-8_per_K,z
312.0,271.2730477334412,271.366184727108,0.5,20.61099915791373,20.16867898226385,14.421566084103421,-663.8802477604977,767.5489132811183,167.69751920648753,0.09313699366681297,0.18627398733362593
313.0,272.05808105361103,272.1677951658616,0.5,20.63510394875754,20.195479971779747,14.469559083707274,-664.6566630325084,768.5688645826325,168.2555936157374,0.109714112250551,0.219428224501102
314.0,272.8380424941982,272.96423767679795,0.5,20.659018588566845,20.22206719813469,14.517280535994871,-665.4269535400216,769.5806808108466,168.81051040597296,0.1261951825997343,0.2523903651994686
315.0,273.6129731530472,273.7555486532291,0.5,20.68274494437156,20.248442787263553,14.564731784655159,-666.1911794200678,770.5844428713569,169.36228520193995,0.14257550018190432,0.28515100036380864
316.0,274.3829137978943,274.541764294471,0.5,20.706284862346205,20.27460884102439,14.611914177722642,-666.9494001379251,771.5802307534809,169.91093367891526,0.15885049657674077,0.31770099315348155
317.0,275.14790486703,275.32292060426624,0.5,20.729640168049393,20.30056743747846,14.658829067188568,-667.7016744948334,772.5681235409137,170.45647155818585,0.17501573723625255,0.3500314744725051
318.0,275.9079864700639,276.0990533893021,0.5,20.752812666661313,20.326320631167658,14.705477808623442,-668.4480606356432,773.5481994222862,170.9989146026591,0.1910669192382345,0.382133838476469
319.0,276.6631983887873,276.8701982578292,0.5,20.775804143219055,20.351870453389317,14.751861760810623,-669.1886160563964,774.5205357016234,171.53827861260228,0.20699986904192658,0.41399973808385315
320.0,277.41358007812505,277.6363906183989,0.5,20.798616362849,20.377218912468383,14.79798228539075,-669.9233976118107,775.4852088087018,172.07457942150782,0.2228105402737851,0.4456210805475702
321.0,278.1591706671763,278.39766567866303,0.5,20.82125107099802,20.40236799402696,14.84384074651678,-670.6524615227269,776.442294309308,172.60783289208192,0.23849501148674168,0.47699002297348336
322.0,278.900008960336,279.1540584442969,0.5,20.84370999366139,20.427319661251175,14.889438510519273,-671.3758633834497,777.3918669153938,173.13805491235266,0.2540494839608823,0.5080989679217646
323.0,279.6361334384941,279.90560371799046,0.5,20.86599483760916,20.452075855155467,14.93477694558178,-672.0936581690397,778.3340004951353,173.66526139189494,0.26947027949633334,0.5389405589926667
324.0,280.3675822603074,280.65233609853414,0.5,20.888107290609952,20.47663849484413,14.979857421426042,-672.8059002425213,779.268768082885,174.1894682581703,0.28475383822673106,0.5695076764534621
325.0,281.09439326354124,281.39428997998675,0.5,20.910049021652544,20.50100947777031,15.024681309006768,-673.51264336202,780.1962418890294,174.71069145297741,0.29989671644552307,0.5997934328910461
326.0,281.81660396647504,282.1314995509277,0.5,20.931821681165125,20.525190679992274,15.069249980215805,-674.2139406878251,781.1164933097406,175.22894692901227,0.31489558445268345,0.6297911689053669
327.0,282.53425156937,282.86399879377973,0.5,20.953426901232426,20.549183956427026,15.113564807595356,-674.9098447893831,782.0295929366295,175.74425064653335,0.3297472244097291,0.6594944488194582
328.0,283.2473729559931,283.5918214842125,0.5,20.974866295810557,20.57299114110137,15.157627164060154,-675.6004076522174,782.9356105662989,176.25661857013102,0.34444852821942673,0.6888970564388535
329.0,283.9560046951965,284.31500119061354,0.5,20.996141460939636,20.5966140474002,15.201438422628291,-676.2856806847776,783.8346152097937,176.7660666655975,0.358996495417062,0.717992990834124
330.0,284.6601830425467,285.0335712736401,0.5,21.017253974953984,20.620054468312297,15.244999956160534,-676.9657147252094,784.7266751019539,177.27261089689563,0.3733882310934301,0.7467764621868602
331.0,285.3599439420014,285.7475648858257,0.5,21.03820539869036,20.64331417667336,15.288313137107858,-677.6405600480621,785.6118577106647,177.77626722322307,0.38762094382430595,0.7752418876486119
332.0,286.055323027631,286.45701497126095,0.5,21.058997275693795,20.666394925406525,15.331379337267077,-678.3102663709187,786.4902297460088,178.27705159617074,0.40169194362994176,0.8033838872598835
333.0,286.7463556253817,287.1619542653351,0.5,21.079631132421273,20.68929844776021,15.374199927544282,-678.9748828609559,787.3618571693189,178.774979956972,0.4155986399534115,0.831197279906823
334.0,287.4330767548771,287.86241529453906,0.5,21.1001084784432,20.712026457543416,15.416776277725953,-679.634458141434,788.2268052021319,179.27006823384113,0.42933853966195157,0.8586770793239031
335.0,288.1155211312562,288.5584303763256,0.5,21.120430806642656,20.73458064935836,15.459109756257545,-680.2890402981144,789.0851383350414,179.7623323393986,0.44290924506939316,0.8858184901387863
336.0,288.7937231670446,289.2500316190282,0.5,21.140599593412563,20.75696269883063,15.501201730029313,-680.9386768856106,789.9369203364582,180.25178816818064,0.45630845198362424,0.9126169039672485
337.0,289.4677169740572,289.9372509218355,0.5,21.16061629885049,20.779174262836676,15.543053564169277,-681.5834149336628,790.7822142612665,180.73845159423183,0.4695339477782767,0.9390678955565533
338.0,290.1375363653296,290.62011997481574,0.5,21.18048236695149,20.801216979728842,15.58466662184303,-682.2233009533494,791.621082459388,181.2223384687771,0.4825836094861397,0.9651672189722794
339.0,290.80321485707555,291.29867025899796,0.5,21.200199225798617,20.823092469557796,15.62604226406035,-682.8583809432228,792.4535865842477,181.70346461797305,0.49545540192243165,0.9909108038448633
340.0,291.4647856706697,291.9729330464923,0.5,21.219768287751513,20.844802334292446,15.667181849488346,-683.4887003953849,793.279787601142,182.1818458407352,0.5081473758225976,1.0162947516451952
341.0,292.12228173465223,292.64293940066875,0.5,21.239190949632675,20.866348158037418,15.708086734270955,-684.1143043014858,794.0997457955157,182.65749790663892,0.5206576660165302,1.0413153320330604
342.0,292.77573568675405,293.30872017637176,0.5,21.258468592911797,20.88773150724794,15.748758271854772,-684.7352371586621,794.9135207811396,183.13043655389427,0.5329844896176977,1.0659689792353955
343.0,293.4251798759402,293.97030602018975,0.5,21.277602583887756,20.90895393094234,15.789197812820852,-685.3515429753983,795.7211715081979,183.6006774873901,0.5451261442495419,1.0902522884990837
344.0,294.0706463644711,294.62772737075534,0.5,21.29659427386878,20.930016960912017,15.829406704722485,-685.96326527733,796.5227562712778,184.06823637680768,0.5570810062842423,1.1141620125684846
345.0,294.71216692997757,295.28101445909095,0.5,21.31544499935058,20.95092211192906,15.869386291928697,-686.5704471129819,797.318332717272,184.53312885480085,0.5688475291133714,1.1376950582267429
346.0,295.34977306755087,295.9301973090002,0.5,21.33415608219201,20.97167088195135,15.909137915473408,-687.1731310594255,798.1079578531837,184.99537051524206,0.580424241449382,1.160848482898764
347.0,295.98349599184326,296.57530573748284,0.5,21.352728829789317,20.992264752325344,15.94866291290999,-687.7713592278916,798.8916880538434,185.45497691153096,0.5918097456395879,1.1836194912791758
348.0,296.61336663918013,297.2163693551992,0.5,21.37116453524783,21.01270518798641,15.987962618171206,-688.3651732693005,799.6695790695336,185.9119635549661,0.6030027160191083,1.2060054320382165
349.0,297.23941566968097,297.8534175669619,0.5,21.389464477551957,21.03299363765683,16.027038361434318,-688.954614379738,800.441686033524,186.3663459131759,0.614001897280965,1.22800379456193
350.0,297.86167346938777,298.48647957226285,0.5,21.407629921733125,21.053131534041498,16.065891468991197,-689.5397233058642,801.2080634695184,186.81813940860866,0.6248061028751052,1.2496122057502104
351.0,298.4801701524004,299.1155843658344,0.5,21.42566211903563,21.073120294021173,16.104523263123422,-690.1205403502554,801.96876529901,187.26735941707992,0.6354142134340633,1.2708284268681267
352.0,299.0949355630165,299.74076073823244,0.5,21.4435623070809,21.092961318843578,16.142935061982094,-690.6971053766963,802.7238448485537,187.71402126637506,0.6458251752159038,1.2916503504318075
353.0,299.7059992778772,300.36203727646404,0.5,21.461331710029274,21.112655994312075,16.181128179472353,-691.2694578153888,803.4733548569465,188.1581402349064,0.6560379985868449,1.3120759971736897
354.0,300.31339060811337,300.9794423646299,0.5,21.478971538740357,21.13220569097221,16.21910392514238,-691.837636668119,804.2173474823265,188.5997315504224,0.666051756516548,1.332103513033096
355.0,300.9171386014959,301.59300418460174,0.5,21.496482990931153,21.151611764295886,16.25686360407688,-692.4016805133496,804.9558743091821,189.03881038876915,0.6758655831058892,1.3517311662117784
356.0,301.5172720445864,302.2027507167193,0.5,21.51386725133255,21.170875554863382,16.294408516794764,-692.9616275112602,805.6889863552789,189.47539187270058,0.6854786721329428,1.3709573442658856
357.0,302.1138194648871,302.80870974051504,0.5,21.53112549184387,21.18999838854317,16.331739959151097,-693.5175154087261,806.4167340785028,189.90949107073828,0.6948902756278905,1.389780551255781
358.0,302.7068091329911,303.4109088354697,0.5,21.54825887168535,21.208981576669554,16.36885922224307,-694.0693815442293,807.1391673836208,190.3411229960781,0.7040997024785937,1.4081994049571873
359.0,303.2962690647301,304.0093753817759,0.5,21.565268537549155,21.227826416218097,16.405767592319876,-694.6172628527223,807.856335628956,190.77030260554216,0.7131063170458211,1.4262126340916421
360.0,303.8822270233196,304.60413656113855,0.5,21.58215562374828,21.246534189978966,16.442466350696574,-695.1611958704249,808.5682876329862,191.1970447985772,0.7219095378189233,1.4438190756378466
361.0,304.46471052150133,305.1952193575789,0.5,21.598921252363994,21.265106166728113,16.4789567736715,-695.7012167395725,809.275071680857,191.6213644162944,0.7305088360775208,1.4610176721550416
362.0,305.04374682368086,305.78265055828047,0.5,21.615566533390997,21.28354360139644,16.515240132447513,-696.237361213093,809.97673553082,192.04327624055347,0.7389037345995664,1.4778074691991328
363.0,305.6193629480609,306.3664567544314,0.5,21.63209256488137,21.301847735236745,16.55131769305663,-696.7696646592417,810.6733264205869,192.4627949930862,0.7470938063705521,1.4941876127411042
364.0,306.19158566876916,306.9466643420972,0.5,21.64850043308649,21.32001979598878,16.587190716288177,-697.2981620661739,811.36489107361,192.87993533466098,0.755078673328037,1.510157346656074
365.0,306.76044151798,307.5232995231117,0.5,21.664791212597144,21.33806099804215,16.622860457620266,-697.8228880464567,812.051475705282,193.29471186428643,0.7628580051317128,1.5257160102634255
366.0,307.3259567880295,308.0963883059792,0.5,21.68096596648213,21.35597254259726,16.65832816715455,-698.3438768415344,812.7331260290615,193.70713911845212,0.7704315179496901,1.5408630358993802
367.0,307.8881575335232,308.66595650678676,0.5,21.697025746425243,21.373755617824262,16.693595089554083,-698.8611623261403,813.4098872625208,194.11723157040632,0.7777989732635051,1.5555979465270102
368.0,308.44706957343635,309.232029750145,0.5,21.71297159286026,21.391411399019997,16.72866246398431,-699.3747780126446,814.0818041333198,194.52500362946975,0.7849601767086155,1.569920353417231
369.0,309.00271849320575,309.7946334701351,0.5,21.72880453510451,21.408941048763076,16.76353152405703,-699.8847570553565,814.7489208851076,194.93046964038393,0.7919149769293392,1.5838299538586784
370.0,309.55512964681265,310.35379291126196,0.5,21.74452559149091,21.426345717066933,16.798203497777234,-700.3911322547777,815.4112812833465,195.33364388269317,0.7986632644492936,1.5973265288985872
371.0,310.1043281588568,310.9095331294354,0.5,21.760135769498,21.443626541531014,16.83267960749283,-700.8939360617903,816.068928621066,195.73454057015965,0.8052049705785959,1.6104099411571917
372.0,310.6503389266209,311.461878992949,0.5,21.775636065878846,21.460784647490144,16.866961069847022,-701.3932005818089,816.7219057245479,196.13317385020997,0.8115400663280941,1.6230801326561881
373.0,311.1931866221248,312.0108551834751,0.5,21.791027466788034,21.477821148161887,16.90104909573341,-701.8889575788708,817.370254958933,196.52955780341284,0.8176685613502367,1.6353371227004734
374.0,311.7328956941695,312.55648619707284,0.5,21.80631094790723,21.494737144792225,16.934944890253693,-702.381238479681,818.0140182337663,196.92370644298745,0.8235905029033214,1.6471810058066427
375.0,312.26949037037036,313.0987963451986,0.5,21.821487474569224,21.511533726799275,16.968649652677804,-702.8700743776068,818.6532370084657,197.3156337143396,0.8293059748282361,1.6586119496564722
376.0,312.8029946591796,313.6378097557395,0.5,21.83655800188017,21.528211971915322,17.00216457640658,-703.355496036616,819.2879522977275,197.70535349462796,0.83481509655993,1.66963019311986
