T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,B_GPa,gamma_model_dimensionless,residual_1e-8_per_K,z
331.0,285.3599439420014,296.1337734594837,0.5,20.81012,janaf_interp,98.0,0.16816850991880022,10.773829517482287,21.547659034964575
332.0,286.055323027631,296.8154026792882,0.5,20.83464,janaf_interp,98.0,0.16835722291463465,10.76007965165719,21.52015930331438
333.0,286.7463556253817,297.492818116661,0.5,20.85916,janaf_interp,98.0,0.16854310494729483,10.746462491279301,21.492924982558602
334.0,287.4330767548771,298.1660717987856,0.5,20.883680000000002,janaf_interp,98.0,0.16872619542961298,10.732995043908517,21.465990087817033
335.0,288.1155211312562,298.83521527632627,0.5,20.9082,janaf_interp,98.0,0.16890653332019986,10.719694145070097,21.439388290140194
336.0,288.7937231670446,299.5002996226628,0.5,20.93272,janaf_interp,98.0,0.16908415712567326,10.706576455618185,21.41315291123637
337.0,289.4677169740572,300.1613754333271,0.5,20.95724,janaf_interp,98.0,0.16925910490298435,10.693658459269894,21.38731691853979
338.0,290.1375363653296,300.818492825635,0.5,20.98176,janaf_interp,98.0,0.1694314142618377,10.680956460305394,21.361912920610788
339.0,290.80321485707555,301.47170143850514,0.5,21.00628,janaf_interp,98.0,0.1696011223672,10.66848658142962,21.33697316285924
340.0,291.4647856706697,302.12105043246106,0.5,21.0308,janaf_interp,98.0,0.16976826594189354,10.656264761791402,21.312529523582803
341.0,292.12228173465223,302.76658848980696,0.5,21.05532,janaf_interp,98.0,0.16993288126926934,10.644306755154762,21.288613510309524
342.0,292.77573568675405,303.40836381497286,0.5,21.07984,janaf_interp,98.0,0.17009500419595686,10.632628128218826,21.265256256437652
343.0,293.4251798759402,304.0464241350221,0.5,21.10436,janaf_interp,98.0,0.1702546701346851,10.6212442590819,21.2424885181638
344.0,294.0706463644711,304.68081670031677,0.5,21.12888,janaf_interp,98.0,0.1704119140671723,10.610170335845678,21.220340671691357
345.0,294.71216692997757,305.31158828533194,0.5,21.1534,janaf_interp,98.0,0.1705667705470791,10.599421355354364,21.19884271070873
346.0,295.34977306755087,305.93878518961657,0.5,21.17792,janaf_interp,98.0,0.17071927370302273,10.589012122065734,21.178024244131468
347.0,295.98349599184326,306.56245323889357,0.5,21.20244,janaf_interp,98.0,0.17086945724164773,10.578957247050285,21.15791449410057
348.0,296.61336663918013,307.18263778629347,0.5,21.22696,janaf_interp,98.0,0.1710173544507502,10.56927114711333,21.13854229422666
349.0,297.23941566968097,307.7993837137171,0.5,21.25148,janaf_interp,98.0,0.17116299820245173,10.559968044036141,21.119936088072283
350.0,297.86167346938777,308.4127354333218,0.5,21.276,janaf_interp,98.0,0.17130642095642032,10.551061963934064,21.102123927868128
351.0,298.4801701524004,308.91828104928777,0.5,21.29332,janaf_interp,98.0,0.17144765476313464,10.438110896887386,20.87622179377477
352.0,299.0949355630165,309.4203504121314,0.5,21.31064,janaf_interp,98.0,0.17158673126718862,10.325414849114871,20.650829698229742
353.0,299.7059992778772,309.91899042081525,0.5,21.32796,janaf_interp,98.0,0.17172368171063354,10.21299114293805,20.4259822858761
354.0,300.31339060811337,310.41424743647394,0.5,21.34528,janaf_interp,98.0,0.17185853693635464,10.100856828360623,20.201713656721246
355.0,300.9171386014959,310.90616728565084,0.5,21.3626,janaf_interp,98.0,0.1719913273914794,9.989028684154947,19.978057368309894
356.0,301.5172720445864,311.39479526361595,0.5,21.37992,janaf_interp,98.0,0.17212208313081503,9.877523219029543,19.755046438059086
357.0,302.1138194648871,311.8801761377631,0.5,21.39724,janaf_interp,98.0,0.17225083382031192,9.766356672875974,19.532713345751947
358.0,302.7068091329911,312.36235415108,0.5,21.414559999999998,janaf_interp,98.0,0.17237760874055172,9.6555450180889,19.3110900361778
359.0,303.2962690647301,312.8413730256883,0.5,21.43188,janaf_interp,98.0,0.17250243679025598,9.545103960958222,19.090207921916445
360.0,303.8822270233196,313.31727596644873,0.5,21.4492,janaf_interp,98.0,0.17262534648981467,9.435048943129114,18.87009788625823
361.0,304.46471052150133,313.79010566462847,0.5,21.46652,janaf_interp,98.0,0.17274636598483106,9.325395143127142,18.650790286254285
362.0,305.04374682368086,314.2599043016258,0.5,21.48384,janaf_interp,98.0,0.1728655230496813,9.216157477944934,18.43231495588987
363.0,305.6193629480609,314.72671355274855,0.5,21.50116,janaf_interp,98.0,0.1729828450910866,9.10735060468766,18.21470120937532
364.0,306.19158566876916,315.19057459104414,0.5,21.51848,janaf_interp,98.0,0.17309835915169594,8.99898892227498,17.99797784454996
365.0,306.76044151798,315.65152809117524,0.5,21.5358,janaf_interp,98.0,0.17321209191367704,8.891086573195254,17.78217314639051
366.0,307.3259567880295,316.10961423334044,0.5,21.55312,janaf_interp,98.0,0.17332406970231432,8.78365744531094,17.56731489062188
367.0,307.8881575335232,316.5648727072338,0.5,21.57044,janaf_interp,98.0,0.17343431848961122,8.676715173710598,17.353430347421195
368.0,308.44706957343635,317.01734271604346,0.5,21.58776,janaf_interp,98.0,0.17354286389789605,8.570273142607084,17.140546285214167
369.0,309.00271849320575,317.46706298048286,0.5,21.60508,janaf_interp,98.0,0.1736497312034289,8.464344487277094,16.928688974554188
370.0,309.55512964681265,317.9140717428541,0.5,21.6224,janaf_interp,98.0,0.1737549453400082,8.358942096041432,16.717884192082863
