Z,N,A,symbol,parity,is_magic_any,A13,I_asym,radius_rms_obs_fm,sigma_radius_rms_obs_fm,weight,radius_source_merge,n_iaea_measurements,J_from_obs_radius_MeV,J_stored_MeV,J_rel_diff,B_obs_MeV,C_required,radius_pred_a13_fm,radius_pred_a13_i_fm,resid_radius_a13_fm,resid_radius_a13_i_fm,A_band,neutron_skin_proxy_fm,B_pred_from_radius_a13_MeV,B_pred_from_radius_a13_i_MeV,resid_B_from_radius_a13_MeV,resid_B_from_radius_a13_i_MeV
10,14,24,Ne,ee,False,2.8844991406148166,0.16666666666666666,2.9007,0.0078,16436.55489809336,main,1,1.6679921124603223,1.6679921124603223,0.0,191.8398048,57.50620862260325,2.748145791431069,2.603615897010449,0.15255420856893087,0.297084102989551,A_17_40,0.2909672734364578,220.51418954373665,251.62407229607194,28.674384743736653,59.78426749607195
11,13,24,Na,oo,False,2.8844991406148166,0.08333333333333333,2.9735,0.0169,3501.277966457758,main,1,1.5607163705008873,1.5607163705008873,0.0,193.5237168,61.99836192462427,2.748145791431069,2.749099533728678,0.22535420856893085,0.22440046627132215,A_17_40,0.1454836367182289,237.73986949078898,237.53291485305627,44.21615269078899,44.00919805305628
12,12,24,Mg,ee,False,2.8844991406148166,0.0,3.057,0.0016,390625.0,main,1,1.4461412772476987,1.4461412772476987,0.0,198.25704720000004,68.54691527003627,2.748145791431069,2.8945831704469067,0.30885420856893075,0.16241682955309322,A_17_40,0.0,262.8510525827631,229.95223269266646,64.59400538276304,31.69518549266641
10,15,25,Ne,eo,False,2.924017738212866,0.2,2.9315999999999995,0.0088,12913.223140495867,main,1,1.621586433646685,1.6215864336466843,4.107914329778076e-16,195.99498499999999,60.43309839465021,2.785796302794782,2.5850791944838103,0.14580369720521746,0.34652080551618925,A_17_40,0.3491607281237494,223.90601065939552,268.94491579692254,27.911025659395534,72.94993079692256
11,14,25,Na,oe,False,2.924017738212866,0.12,2.9768999999999997,0.0252,1574.7039556563366,main,1,1.5558784345810412,1.5558784345810408,2.854266760048286e-16,202.53494750000002,65.08700904853714,2.785796302794782,2.7247434857333097,0.19110369720521758,0.25215651426668995,A_17_40,0.2094964368742496,241.1488559901477,254.97445910766038,38.61390849014768,52.439511607660364
12,13,25,Mg,eo,False,2.924017738212866,0.04,3.0283999999999995,0.0022,206611.57024793388,main,1,1.4844053494928544,1.4844053494928533,7.479244298091919e-16,205.58757,69.24913402873378,2.785796302794782,2.8644077769828096,0.24260369720521746,0.16399222301718996,A_17_40,0.06983214562474988,256.5696241608583,238.79795202986207,50.982054160858326,33.210382029862075
10,16,26,Ne,ee,False,2.9624960684073702,0.23076923076923078,2.9251,0.01,10000.0,main,1,1.6312396965179998,1.6312396965179998,0.0,201.549686,61.77807174206909,2.822455721304015,2.569975007434727,0.10264427869598514,0.3551249925652731,A_17_40,0.4028777632197108,221.35399260694115,278.74856083564043,19.80430660694114,77.19887483564042
11,15,26,Na,oo,False,2.9624960684073702,0.15384615384615385,2.9928,0.0331,912.7335456960051,main,1,1.5334522652615283,1.5334522652615283,0.0,208.1092338,67.85644343630977,2.822455721304015,2.7042675951746302,0.170344278695985,0.2885324048253697,A_17_40,0.2685851754798072,243.13310945420534,270.8404334426821,35.02387565420534,62.73119964268213
12,14,26,Mg,ee,False,2.9624960684073702,0.07692307692307693,3.0337,0.0018,308641.97530864197,main,1,1.477238816560009,1.477238816560009,0.0,216.68064859999998,73.33974918983517,2.822455721304015,2.838560182914534,0.21124427869598517,0.19513981708546613,A_17_40,0.1342925877399036,262.7800745827872,258.9440576927491,46.09942598278724,42.2634090927491
11,16,27,Na,oe,False,3.0,0.18518518518518517,3.0136,0.0467,458.52839895638937,main,1,1.504602184443025,1.504602184443025,0.0,214.8375609,71.39347633591558,2.8581868020719696,2.6871908431774987,0.1554131979280302,0.32640915682250116,A_17_40,0.3232969704849531,247.59496442106337,289.43629888142937,32.75740352106337,74.59873798142937
12,15,27,Mg,eo,False,3.0,0.1111111111111111,3.0324,0.0022,206611.57024793388,preliminary,1,1.4789934364708373,1.7455227725967393,-0.15269313028176526,223.1240175,63.91323590928235,2.8581868020719696,2.8165096313714795,0.17421319792803036,0.2158903686285205,A_17_40,0.19397818229097186,221.6532403680277,230.25116418605282,-1.4707771319723122,7.127146686052811
13,14,27,Al,oe,False,3.0,0.037037037037037035,3.061,0.0031,104058.2726326743,main,1,1.4408688691331049,1.4408688691331049,0.0,224.95193909999998,78.06121150890773,2.8581868020719696,2.945828419565461,0.20281319792803032,0.11517158043453879,A_17_40,0.06465939409699062,270.7188930718882,249.89805584336406,45.76695397188823,24.946116743364087
10,18,28,Ne,ee,False,3.0365889718756622,0.2857142857142857,2.9642000000000004,0.0134,5569.169079973267,main,1,1.5740265363826287,1.5740265363826293,-4.2320367501934147e-16,206.8736964,65.714805823868,2.893046174244103,2.548403658134373,0.07115382575589724,0.4157963418656272,A_17_40,0.4988010401767847,220.7610568751916,302.40988179217715,13.887360475191599,95.53618539217715
11,17,28,Na,oo,False,3.0365889718756622,0.21428571428571427,3.04,0.0581,296.2427531616508,main,1,1.4687651011744518,1.4687651011744518,0.0,218.3794032,74.34116014377649,2.893046174244103,2.6731039181785694,0.14695382575589688,0.36689608182143063,A_17_40,0.3741007801325886,249.74026594029996,305.2883255253962,31.36086274029995,86.90892232539619
12,16,28,Mg,ee,False,3.0365889718756622,0.14285714285714285,3.0691,0.0034,86505.19031141869,preliminary,1,1.4302510439320626,1.6909723530875846,-0.15418425303019598,231.6286868,68.48979120713119,2.893046174244103,2.7978041782227656,0.176053825755897,0.27129582177723455,A_17_40,0.24940052008839236,230.08328948840716,250.98907495964056,-1.5453973115928363,19.360388159640564
14,14,28,Si,ee,False,3.0365889718756622,0.0,3.1224000000000003,0.0024,173611.11111111115,main,1,1.3623079910065203,1.362307991006521,-4.889744603809678e-16,236.53684600000003,86.81474657769506,2.893046174244103,3.047204698311158,0.22935382575589713,0.07519530168884225,A_17_40,0.0,291.64379269736696,253.348713768353,55.106946697366936,16.811867768352982
