T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_basis_low_J_per_molK,contrib_basis_low_1e-8_per_K,Cv_basis_mid_J_per_molK,contrib_basis_mid_1e-8_per_K,Cv_basis_high_J_per_molK,contrib_basis_high_1e-8_per_K
120.0,-6.233792016037186,-6.332334299615051,0.5,-0.09854228357786594,-0.1970845671557319,4.532904035135411,-146.68469187263761,3.265526446184976,88.25883798176645,1.1368429257641235,52.09351959125611
121.0,-4.580692686016328,-4.677772504792863,0.5,-0.09707981877653381,-0.19415963755306762,4.557907997435124,-147.4938196364507,3.306582194320532,89.36846997606538,1.1663926811880505,53.447577155592455
122.0,-2.907171779221993,-3.0035817715261555,0.5,-0.09640999230416238,-0.19281998460832475,4.582551278419876,-148.2912757594924,3.347523635601499,90.47501254808418,1.1961835104639718,54.8126814398821
123.0,-1.2139589875638004,-1.3105828287780816,0.5,-0.09662384121428129,-0.19324768242856258,4.60684011634301,-149.0772621115271,3.3883450939032205,91.5783122866731,1.2262052560650756,56.1883669960759
124.0,0.4982170110198722,0.40041436845877804,0.5,-0.09780264256109418,-0.19560528512218836,4.630780633289843,-149.85197680312388,3.4290410606731454,92.67822030972842,1.2564478147109146,57.57417086185428
125.0,2.2286286675985836,2.128611110215125,0.5,-0.10001755738345885,-0.2000351147669177,4.654378836750499,-150.61561423655363,3.46960619532269,93.77459227478336,1.2869011485268353,58.969633071985385
126.0,3.976549687500006,3.873220359728441,0.5,-0.1033293277715651,-0.2066586555431302,4.677640621256409,-151.36836515874586,3.5100353253147865,94.86728838137432,1.3175552954923369,60.37429713709999
127.0,5.74125516643895,5.633467140449685,0.5,-0.10778802598926504,-0.21557605197853008,4.700571770069308,-152.11041671594484,3.55032344596508,95.95617336566782,1.3484003791967747,61.787710490726695
128.0,7.522021738219501,7.408588883552887,0.5,-0.11343285466661446,-0.22686570933322892,4.723177956912947,-152.84195250974759,3.59046571997433,97.04111648782234,1.379426617921837,63.2094249054781
129.0,9.318127734732666,9.197835737637282,0.5,-0.12029199709538392,-0.24058399419076784,4.745464747738506,-153.56315265423274,3.630457476709309,98.12199151255298,1.4106243330710784,64.63899687931702
130.0,11.128853359002111,11.000470842289786,0.5,-0.1283825167123254,-0.2567650334246508,4.767437602515823,-154.27419383392467,3.6702942112489367,99.19867668335087,1.441983956967475,66.07598799286362
131.0,12.953480872060279,12.815770567164947,0.5,-0.1377103048953319,-0.2754206097906638,4.789101877043334,-154.975249362363,3.709971583212068,100.2710546908012,1.4734960400404604,67.51996523872675
132.0,14.791294794467797,14.643024718220602,0.5,-0.14827007624719651,-0.29654015249439303,4.810462824770271,-155.6664892410691,3.7494854153827606,101.33901263542792,1.5051512574243155,68.97050132386177
133.0,16.64158212332076,16.481536712715748,0.5,-0.16004541060501332,-0.32009082121002663,4.831525598625592,-156.34808021872993,3.7888316921483645,102.402441985479,1.5369404149899937,70.42717494596668
134.0,18.503632565621775,18.33062372455401,0.5,-0.17300884106776557,-0.34601768213553113,4.852295252848526,-157.02018585043484,3.828006557765233,103.46123853005331,1.5688544548326162,71.88957104493554
135.0,20.376738788923472,20.18961680152092,0.5,-0.18712198740255093,-0.37424397480510185,4.872776744816333,-157.6829665568214,3.8670063144663285,104.51530232795383,1.6008844602368906,73.35728103038852
136.0,22.26019669018624,22.057860955927378,0.5,-0.2023357342588632,-0.4046714685177264,4.892974936865319,-158.3365796830039,3.9058274204243255,105.56453765263562,1.6330216601426337,74.82990298629566
137.0,24.153305683825135,23.934715230136057,0.5,-0.21859045368907878,-0.43718090737815757,4.9128945981016985,-158.98117955717225,3.9444664875834143,106.608852933605,1.665257433132437,76.3070418537033
138.0,26.055369009955758,25.819552738406433,0.5,-0.23581627154932625,-0.4716325430986525,4.93254040619918,-159.61691754876244,3.9829202793722533,107.6481606946065,1.6975833109632608,77.78830959256238
139.0,27.965694063883113,27.71176068645214,0.5,-0.2539333774309753,-0.5078667548619507,4.951916949180735,-160.24394212611406,4.021185708310062,108.68237748892169,1.729990981663486,79.27332532364451
140.0,29.883592747913255,29.610740370063482,0.5,-0.27285237784977256,-0.5457047556995451,4.97102872718215,-160.8623989135391,4.059259833517257,109.71142383208792,1.7624722922165617,80.76171545151465
141.0,31.80838184660322,31.515907154101342,0.5,-0.2924746925018781,-0.5849493850037562,4.989880154195472,-161.47243074773965,4.097139858141411,110.73522413232872,1.7950192508520206,82.25311376951225
