T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv1_J_per_molK,Cv2_J_per_molK,alpha1_1e-8_per_K,alpha2_1e-8_per_K,residual_1e-8_per_K,z
391.0,320.45039066548446,322.62028035023434,0.5,22.05051553539558,22.425464962866318,3522.2917562161465,-3199.6714758659123,2.1698896847499194,4.339779369499839
392.0,320.93754272029514,323.0796279379627,0.5,22.064012074626103,22.43735556479649,3524.4476581401996,-3201.368030202237,2.142085217667515,4.28417043533503
393.0,321.42198090007463,323.5360676258437,0.5,22.07741739826625,22.449164427043836,3526.588989524099,-3203.052921898255,2.1140867257690514,4.228173451538103
394.0,321.90372560004596,323.98962224317717,0.5,22.090732296645037,22.460892274416295,3528.715876612937,-3204.7262543697598,2.0858966431312242,4.1717932862624485
395.0,322.3827970322835,324.4403144177531,0.5,22.103957551923774,22.472539823989955,3530.8284443471184,-3206.3881299293653,2.0575173854695525,4.115034770939105
396.0,322.85921522747117,324.88816657755433,0.5,22.117093938191104,22.484107785203577,3532.926816377542,-3208.0386497999875,2.028951350083196,4.057902700166392
397.0,323.3330000366466,325.33320095259006,0.5,22.130142221557534,22.49559685995154,3535.011115080698,-3209.677914128108,2.000200915943511,4.000401831887022
398.0,323.80417113293043,325.77543957652097,0.5,22.143103160247986,22.507007742676073,3537.0814615734557,-3211.3060219969348,1.9712684435905445,3.942536887181089
399.0,324.2727480132421,326.21490428853167,0.5,22.15597750469416,22.518341120457546,3539.137975727814,-3212.9230714392825,1.9421562752895662,3.8843125505791325
400.0,324.73875000000004,326.6516167348893,0.5,22.16876599762465,22.52959767310443,3541.1807761852992,-3214.52915945041,1.912866734889231,3.825733469778462
401.0,325.20219624280884,327.0855983708157,0.5,22.18146937415496,22.540778073240958,3543.2099803713427,-3216.1243820005266,1.8834021280068682,3.7668042560137365
402.0,325.66310572013083,327.5168704620564,0.5,22.194088361875746,22.5518829863949,3545.225704509373,-3217.708834047317,1.8537647419255678,3.7075294838511357
403.0,326.121497240944,327.94545408663447,0.5,22.20662368094007,22.562913071082974,3547.2280636347605,-3219.282609548126,1.8239568456904875,3.647913691380975
404.0,326.5773894463851,328.3713701365031,0.5,22.219076044149723,22.573868978895916,3549.2171716086023,-3220.845801472099,1.7939806901180426,3.5879613802360852
405.0,327.0308008113789,328.7946393192381,0.5,22.23144615704045,22.584751354582004,3551.1931411313335,-3222.3985018120957,1.7638385078591803,3.5276770157183606
406.0,327.4817496462524,329.21528215964776,0.5,22.243734717965907,22.595560836129792,3553.156083756146,-3223.940801596498,1.7335325133953128,3.4670650267906256
407.0,327.9302540983353,329.6333190014631,0.5,22.25594241818078,22.60629805484929,3555.106109902255,-3225.4727909007916,1.703064903127808,3.406129806255616
408.0,328.37633215354583,330.0487700089412,0.5,22.268069941922793,22.616963635452585,3557.0433288680083,-3226.9945588590667,1.6724378553953518,3.3448757107907037
409.0,328.8200016379625,330.46165516848566,0.5,22.280117966493638,22.627558196133048,3558.967848843809,-3228.506193675323,1.6416535305231619,3.2833070610463237
410.0,329.26128021938166,330.8719942902653,0.5,22.29208716233899,22.63808234864359,3560.8797769248986,-3230.0077826346333,1.6107140708836774,3.2214281417673547
411.0,329.70018540886053,331.27980700981846,0.5,22.30397819312748,22.64853669837381,3562.77921912397,-3231.4994121141513,1.579621600957926,3.159243201915852
412.0,330.1367345622466,331.6851127896115,0.5,22.31579171582863,22.658921844426363,3564.6662803836193,-3232.9811675940077,1.5483782273648747,3.0967564547297495
413.0,330.5709448816926,332.08793092065247,0.5,22.327528380789957,22.669238379691926,3566.541064588659,-3234.4531336680066,1.516986038959854,3.033972077919708
414.0,331.00283341715766,332.4882805240216,0.5,22.339188831812873,22.679486890923485,3568.403674578246,-3235.9153940542246,1.4854471068639497,2.9708942137278993
415.0,331.4324170678942,332.88618055242887,0.5,22.350773706227944,22.68966795880966,3570.254212157901,-3237.368031605472,1.4537634845346468,2.9075269690692935
416.0,331.8597125839213,333.28164979176387,0.5,22.362283634968954,22.69978215804674,3572.0927781113373,-3238.8111283195735,1.4219372078425698,2.8438744156851397
417.0,332.28473656748395,333.6747068626189,0.5,22.37371924264615,22.709830057410034,3573.9194722121642,-3240.2447653495456,1.3899702951349677,2.7799405902699355
418.0,332.70750547449876,334.06537022180197,0.5,22.385081147618667,22.71981221982436,3575.7343932354565,-3241.669023013654,1.3578647473031804,2.715729494606361
419.0,333.1280356159856,334.4536581638497,0.5,22.396369962065826,22.729729202433212,3577.5376389691373,-3243.083980805288,1.3256225478641237,2.6512450957282474
420.0,333.54634315948607,334.8395888224949,0.5,22.407586292057687,22.73958155666753,3579.3293062252574,-3244.4897174027624,1.293245663008781,2.586491326017562
421.0,333.96244413046793,335.2231801721878,0.5,22.418730737624777,22.749369828313064,3581.1094908511254,-3245.886310678937,1.2607360417198994,2.521472083439799
422.0,334.3763544137167,335.60445002950974,0.5,22.429803892826786,22.759094557577352,3582.8782877402828,-3247.273837710773,1.2280956157930802,2.4561912315861605
