T_K,k_RRR50_W_mK,k_RRR100_W_mK,k_RRR150_W_mK,k_RRR300_W_mK,k_RRR500_W_mK
11.877860115029383,918.4974674547412,1798.045029619574,2622.8604480312106,4803.044109320155,7419.3562658208
11.963782957202167,924.6999711180961,1809.0599723723217,2637.1792341497485,4821.179449423417,7435.458628491763
12.050327353656245,930.9247530803638,1820.0756080501155,2651.44686930359,4839.087240232567,7450.934082278089
12.137497800631662,937.1712667680057,1831.0898264111986,2665.6594408275873,4856.7600692450815,7465.771897797187
12.225298826893672,943.4389478991772,1842.1004718683605,2679.8129752890864,4874.19044127302,7479.961480577218
12.313734993968005,949.7272141660619,1853.1053432687304,2693.9034390450147,4891.370780524846,7493.492379862929
12.40281089637786,956.0354649135162,1864.1021936918555,2707.926738853785,4908.293432839962,7506.354297439946
12.49253116188258,962.363080814107,1875.0887302670967,2721.878722542976,4924.9506680794175,7518.537096467062
12.582900451718112,968.7094235394482,1886.062614011177,2735.755179734063,4941.334682677321,7530.0308103075595
12.673923460839164,975.0738354279808,1897.0214596864114,2749.5518426252534,4957.437602356876,7540.825651349491
12.765604918163088,981.4556391493027,1907.962835680666,2763.264386833558,4973.251485014641,7550.912019804746
12.857949586815614,987.8541373649849,1918.884263909756,2776.888432297283,4988.768323777528,7560.280512475815
12.950962264378271,994.2686123860212,1929.7832197432936,2790.419544239937,5003.980050235623,7568.921931481829
13.044647783137654,1000.6983258270698,1940.6571319546492,2803.853234196889,5018.878537855124,7576.827292932882
13.139011010336455,1007.1425182574051,1951.5033826960673,2817.18496110528,5033.455605574325,7583.987835540268
13.234056848426365,1013.6004088489425,1962.3193074999328,2830.410132459056,5047.703021586778,7590.395029155198
13.329790235322728,1020.0711950211901,1973.1021953068057,2843.5241055294314,5061.612507314199,7596.040583223552
13.42621614466112,1026.554052083538,1983.8492885217056,2856.522188652146,5075.175741572786,7600.916455146688
13.523339586055727,1033.0481328747685,1994.5577830990064,2869.3996425824453,5088.384364935628,7605.014858537731
13.621165605359604,1039.5525674002329,2005.2248286576769,2882.151681918814,5101.229984293898,7608.328271362575
13.719699284926838,1046.0664624666672,2015.8475286271112,2894.773476596243,5113.70417761949,7610.849443955981
13.818945743876561,1052.5889013149722,2026.4229404254713,2907.2601534500395,5125.798498931327,7612.571406901821
13.918910138358951,1059.1189432511233,2036.9480756706291,2919.6067978512415,5137.504483467475,7613.487478766513
14.019597661823056,1065.6556232755179,2047.41990042595,2931.808455414083,5148.813653064602,7613.591273676797
14.121013545286655,1072.1979517109955,2057.8353354810724,2943.860133776744,5159.717521746415,7612.876708730859
14.223163057607998,1078.7449138297923,2068.1912566694277,2955.756804456112,5170.207601522364,7611.338011234328
14.326051505759553,1085.295469479763,2078.484495223454,2967.4934047769893,5180.27540839719,7608.969725746991
14.429684235103712,1091.8485527102944,2088.7118381688024,2979.064839876917,5189.912468592042,7605.7667209379015
14.534066629670491,1098.4030713981267,2098.870028758817,2990.4659847871,5199.1103249769885,7601.724196233182
14.639204112437252,1104.9579068736016,2108.9557669503165,3001.691686590113,5207.860543714991,7596.837688248792
14.74510214561046,1111.511913547661,2118.9657099224983,3012.7367666547734,5216.154721116545,7591.103077002207
14.85176623090944,1118.0639185401926,2128.8964726395993,3023.5960229493016,5223.984490703532,7584.5165918911
14.959201909852217,1124.612721310033,2138.744628459171,3034.264232432807,5231.341530481097,7577.074817431667
15.067414764043415,1131.1570932872366,2148.5067097873102,3044.7361535254104,5238.217570415399,7568.774698747933
15.176410415464215,1137.6957775082676,2158.179208781771,3055.00652865839,5244.604400114567,7559.613546806358
15.286194526764483,1144.2274882544455,2167.7585781052558,3065.0700869032257,5250.493876709718,7549.589043384733
15.396772801556903,1150.7509106945931,2177.2412317292797,3074.9215466815726,5255.877932932444,7538.699245770652
15.508150984713348,1157.2647005322967,2186.6235457910398,3084.555618554766,5260.748585384794,7526.942591182267
15.620334862663315,1163.767483658577,2195.901859504173,3093.967008094158,5265.097942996595,7514.317900903572
15.733330263694548,1170.2578558108319,2205.0724761250904,3103.150418832084,5268.918215664876,7500.8243841297435
15.847143058255856,1176.7343822387224,2214.13166397672,3112.1005552933375,5272.201723069455,7486.4616415150695
15.961779159262065,1183.1955973778431,2223.075657530551,3120.812126107364,5274.94090365782,7471.229668419871
16.077244522401234,1189.6400045322011,2231.900658549297,3129.279847200824,5277.128323792287,7455.128857848161
16.193545146444077,1196.0660755662848,2240.6028372914043,3137.498445071129,5278.7566870508135,7438.160003076465
16.31068707355561,1202.4722506079347,2249.1783337788083,3145.462660138935,5279.8188436739,7420.324299963491
16.428676389609052,1208.8569377628012,2257.6232591300477,3153.167250181849,5280.307800146622,7401.62334894242
16.547519224502018,1215.2185128417302,2265.9336969600486,3160.6069938459295,5280.216728907161,7382.059156687253
16.667221752474962,1221.555319102192,2274.105704848137,3167.77669423754,5279.538978170086,7361.634137455276
16.78779019243198,1227.865667004756,2282.135315876154,3174.6711825918374,5278.2680818529925,7340.351114097429
16.909230808263864,1234.1478339863565,2290.0185402382976,3181.2853220198263,5276.397769594281,7318.2133187406525
17.031549909173567,1240.400064251163,2297.7513669239024,3187.6140113312167,5273.921976848903,7295.224393133256
17.15475385000396,1246.6205685809505,2305.329765475547,3193.652188933505,5270.8348550483015,7271.3883886590265
17.278849031568,1252.807524165975,2312.7496878231723,3199.3948368046485,5267.130781809834,7246.7097660135105
17.403841900981263,1258.9590744584432,2320.007070196613,3204.836984539773,5262.8043711804185,7221.193394545391
17.52973895199687,1265.0733290496057,2327.097835117608,3209.9737134695415,5257.850483898382,7194.844551260272
17.65654672534291,1271.1483635726393,2334.0178934729465,3214.800160848489,5252.264237656463,7167.6689194885475
17.78427180906219,1277.1822196326675,2340.763146670512,3219.3115241125683,5246.041017348614,7139.672587219408
17.912920838854554,1283.1729047661847,2347.329488879189,3223.5030652032947,5239.176485282268,7110.862045096805
18.042500498421596,1289.1183924312334,2353.712809354334,3227.3701149571075,5231.666591337219,7081.24418408487
18.17301751981391,1295.016622030794,2359.9089948505043,3230.9080775571897,5223.507583050979,7050.826292801095
18.304478683780857,1300.865498971067,2365.913932121725,3234.112435045896,5214.696015611182,7019.6160545191615
18.43689082012279,1306.6628947569804,2371.723510511888,3236.97875189523,5205.228761733266,6987.621543845388
18.570260808045933,1312.4066471268688,2377.3336246352333,3239.5026796327716,5195.1030214023485,6954.851223070803
18.704595576519775,1318.0945602288673,2382.7401771484488,3241.679961519647,5184.316331457285,6921.313938201862
18.83990210463703,1323.7244048409316,2387.9390816155833,3243.5064372777024,5172.866574993853,6887.018914672807
18.97618742197623,1329.293918637321,2392.926265466235,3244.978047863826,5160.7519905647,6851.975752744719
19.113458608966944,1334.8008065036204,2397.6976730476467,3246.09084028513,5147.971181151877,6816.194422594039
19.25172279725758,1340.2427409028799,2402.2492687719164,3246.8409724539815,5134.52312288839,6779.685259094669
19.390987170085985,1345.617362295712,2406.577040358032,3247.2247180776762,5120.407173504748,6742.458956299513
19.531258962652522,1350.9222796166055,2410.6770021694806,3247.238471578533,5105.623080475584,6704.526561625224
19.672545462496068,1356.1550708093048,2414.5451986474777,3246.8787530398,5090.170988841845,6665.8994697441
19.814854009872555,1361.313283424125,2418.1777078396894,3246.1422131732284,5074.051448684285,6626.589416192541
19.958191998136346,1366.3944352796693,2421.5706450241773,3245.0256383030596,5057.2654222224155,6586.608470694635
20.10256687412434,1371.3960151921326,2424.720166428206,3243.5259553607675,5039.814290514689,6545.9690302145
20.24798613854282,1376.3154837746797,2427.622473041294,3241.6402368857407,5021.699859735274,6504.6838117363595
20.39445734635722,1381.1502743101016,2430.273814521225,3239.3657060250102,5002.924367002045,6462.76584478278
20.54198810718453,1385.897793699525,2432.670493192464,3236.699741527702,4983.490485732484,6420.228463674666
20.69058608568871,1390.555423490093,2434.8088681349286,3233.639882725579,4963.401330502502,6377.085299541366
20.84025900197887,1395.1205209844459,2436.6853593617293,3230.183834494571,4942.660461385181,6333.350272085701
20.99101463201034,1399.5904204352655,2438.2964520840483,3226.32947219036,4921.271887746192,6289.037581111287
21.14286080798869,1403.9624343273565,2439.638701060177,3222.0748465489983,4899.240071473537,6244.161697818939
21.29580541877657,1408.2338547505628,2440.7087350267707,3217.4181885471116,4876.5699296196235,6198.737355878084
21.449856410303617,1412.401954865998,2441.5032612091945,3212.357914213081,4853.266836435198,6152.779542282309
21.605021785979268,1416.4639904686821,2442.019069906722,3206.8926293793893,4829.336624774524,6106.303487992877
21.761309607108544,1420.417201649273,2442.253039150549,3201.021134370528,4804.785586853444,6059.324658379686
21.91872799331085,1424.2588145572563,2442.2021394286,3194.74242861521,4779.620474341945,6011.8587434664305
22.077285122941845,1427.9860432687428,2441.8634384743127,3188.0557151750636,4753.848497774864,5963.921647986739
22.236989233518276,1431.5960917606578,2441.2341061129996,3180.9604051798924,4727.477325264979,5915.529481258603
22.397848622146032,1435.0861559942743,2440.311419161482,3173.4561221602507,4700.515080504995,5866.698546884871
22.559871645951088,1438.4534261098813,2439.0927663747125,3165.5427062667954,4672.970340045569,5817.445332287788
22.723066722513792,1441.695088734538,2437.575653432885,3157.220218366857,4644.852129838492,5767.786498083517
22.88744233030612,1444.8083294053815,2435.7577079629896,3148.4889440074235,4616.1699210360985,5717.738867305536
23.053007009132166,1447.7903351092918,2433.636684586974,3139.3493972336137,4586.933625039139,5667.319414485259
23.219769360571846,1450.638296940815,2431.2104699886618,3129.8023242523145,4557.153587787692,5616.545254595492
23.387738048427696,1453.3494128794796,2428.477087992321,3119.84870692906,4526.840583291296,5565.43363186611
