trajectory_id,collapse_time_s,collapse_state,final_expect_z,final_p0,final_p1,final_coherence_abs,final_pointer,final_pointer_mean,final_env,pointer_majority_sign,final_pointer_ch0,final_pointer_ch1,final_pointer_ch2
168,0.04,1,0.9998948906204216,0.9999474453102108,5.255468978915212e-05,0.007249270845659808,1.8670149972139798,1.8448870402906756,0.2447060558950203,1,1.8670149972139798,1.7445160467131622,1.9231300769448842
169,0.014,-1,-0.9995297072281122,0.00023514638594390735,0.9997648536140561,0.01533268052628708,-2.108992407910049,-2.091469772244162,-0.025946944178063806,-1,-2.108992407910049,-2.0242839959899372,-2.1411329128324996
170,0.126,-1,-0.999806857518344,9.657124082818047e-05,0.9999034287591718,0.009826592228404192,-1.9152827062528142,-2.040297714972363,-0.11685397655678567,-1,-1.9152827062528142,-2.1053191145325587,-2.1002913241317156
171,0.0376,1,0.9998739092982161,0.999936954649108,6.304535089195772e-05,0.00793985995945071,2.0386318507077124,1.9049236893761181,0.14580279267547439,1,2.0386318507077124,1.8330975445951587,1.843041672825483
172,0.068,-1,-0.9971442023811737,0.0014278988094131861,0.9985721011905868,0.03776056030308971,-2.285584573371692,-2.089558988502391,-0.1056063460864623,-1,-2.285584573371692,-2.0402786925177105,-1.9428136996177694
173,0.0396,1,0.9893648450222695,0.9946824225111347,0.005317577488865282,0.07272757976528021,2.1094561367585545,2.066472542500334,0.0394389919066196,1,2.1094561367585545,2.2027037840216486,1.8872577067207994
174,0.016,-1,0.9996265544036835,0.9998132772018418,0.00018672279815822203,0.013663379258253425,2.1627074235257298,2.0535251924059916,0.3677320180336912,1,2.1627074235257298,1.9577129903451962,2.040155163347048
175,0.0844,1,0.9975802371546095,0.9987901185773048,0.001209881422695177,0.034762301558415164,1.9295924857293016,1.8874958879544235,0.0425828563534046,1,1.9295924857293016,1.797843136019877,1.9350520421140918
176,0.0176,1,-0.997609042085058,0.0011954789574710745,0.9988045210425289,0.03455502550329388,-0.3996702640161195,-0.4525313061597806,-0.07604122755557999,-1,-0.3996702640161195,-0.12177639351043011,-0.8361472609527921
177,0.0396,1,0.9996135451117917,0.9998067725558959,0.00019322744410411576,0.013899284415356093,2.1884862859948395,2.0855939756617103,-0.11221473690923266,1,2.1884862859948395,2.1082809000677587,1.960014740922533
178,0.0912,1,0.9995259389726779,0.999762969486339,0.00023703051366097516,0.015393970579306976,1.9035132560041432,1.924617748227506,-0.10570486605621587,1,1.9035132560041432,1.9795691054888593,1.890770883189515
179,0.082,-1,-0.9988647356915966,0.000567632154201636,0.9994323678457984,0.02381826920536337,-1.999450550906689,-2.1054184064619577,-0.3732068542852464,-1,-1.999450550906689,-2.248363047855817,-2.068441620623367
180,0.0244,-1,-0.9998301209002316,8.493954988419983e-05,0.9999150604501158,0.00921587408535603,-2.01717702198152,-2.0152460311654514,0.05933097093510724,-1,-2.01717702198152,-2.110946444294658,-1.9176146272201766
181,0.0244,-1,-0.9983077156785312,0.00084614216073442,0.9991538578392656,0.029076213718059827,-1.9551792142061217,-1.9716429687250718,0.10024418073997582,-1,-1.9551792142061217,-1.9249601500638387,-2.034789541905255
182,0.11760000000000001,-1,-0.9999861790893536,6.9104553233056976e-06,0.9999930895446767,0.0026287654077137303,-2.1690937054894754,-2.064089100004502,-0.2528331145221247,-1,-2.1690937054894754,-1.82857399950064,-2.1945995950233916
183,0.0332,1,0.9998750975187857,0.9999375487593928,6.245124060718717e-05,0.007902362966210408,1.8966749187289456,1.932340105764261,0.25317792056630845,1,1.8966749187289456,2.008543722208932,1.8918016763549053
184,0.0328,1,0.9996494333610605,0.9998247166805302,0.00017528331946985086,0.013238300314910766,2.2620268418989355,1.9861647698900013,0.07622706668722856,1,2.2620268418989355,1.4993555606503985,2.19711190712067
185,0.10200000000000001,-1,-0.9981250102716382,0.0009374948641807102,0.9990625051358193,0.030604182190683303,-2.03302051996404,-2.0914887105586417,0.09694749283921261,-1,-2.03302051996404,-2.185940318455992,-2.055505293255894
186,0.02,-1,-0.9998308703815626,8.456480921881226e-05,0.9999154351907812,0.009195523803014966,-2.283125849478404,-2.186022026321192,0.06375202057430361,-1,-2.283125849478404,-2.17264446993045,-2.1022957595547207
187,0.0328,-1,-0.9998808489840527,5.957550797364153e-05,0.9999404244920264,0.0077182872926832196,-2.019091917905179,-2.0655707742696277,0.08077751338533079,-1,-2.019091917905179,-2.191188977418311,-1.9864314274853936
188,0.038400000000000004,-1,-0.9994027894198534,0.00029860529007330605,0.9997013947099267,0.017277619192299795,-1.9263488707367842,-1.9277212394601442,0.30240199698554604,-1,-1.9263488707367842,-1.9535519250798252,-1.9032629225638233
189,0.042800000000000005,-1,-0.9995737232196499,0.00021313839017500502,0.999786861609825,0.01459770400445402,-2.043616611128043,-2.1360272998036347,-0.03676110007842133,-1,-2.043616611128043,-2.291010514327951,-2.0734547739549103
190,0.06280000000000001,-1,-0.9999120220446548,4.398897767243781e-05,0.9999560110223276,0.006632272811222931,-1.8512271691336408,-1.9936009878075602,-0.33346225479751146,-1,-1.8512271691336408,-2.0820461735128033,-2.047529620776237
191,0.027600000000000003,1,0.9984586036580889,0.9992293018290445,0.0007706981709555699,0.02775075125622468,2.082755722531826,2.0775567294157034,-0.12874138560380036,1,2.082755722531826,2.0591904429600314,2.0907240227552526
192,0.092,1,0.999719235629794,0.999859617814897,0.00014038218510305513,0.011847467153158132,2.1262651321407713,2.0052154489525607,-0.061815585807465656,1,2.1262651321407713,1.9157917969574947,1.9735894177594167
