T_K,B_1e11_dyn_cm2,B_GPa,model
490,9.732800000000001,97.328,linear_Cij_shifted
491,9.732053333333335,97.32053333333334,linear_Cij_shifted
492,9.731306666666669,97.31306666666669,linear_Cij_shifted
493,9.73056,97.3056,linear_Cij_shifted
494,9.729813333333334,97.29813333333334,linear_Cij_shifted
495,9.729066666666668,97.29066666666668,linear_Cij_shifted
496,9.72832,97.2832,linear_Cij_shifted
497,9.727573333333336,97.27573333333336,linear_Cij_shifted
498,9.726826666666668,97.26826666666668,linear_Cij_shifted
499,9.726080000000003,97.26080000000003,linear_Cij_shifted
500,9.725333333333335,97.25333333333336,linear_Cij_shifted
501,9.724586666666669,97.24586666666669,linear_Cij_shifted
502,9.723840000000003,97.23840000000003,linear_Cij_shifted
503,9.723093333333335,97.23093333333335,linear_Cij_shifted
504,9.722346666666668,97.22346666666668,linear_Cij_shifted
505,9.721600000000002,97.21600000000002,linear_Cij_shifted
506,9.720853333333334,97.20853333333335,linear_Cij_shifted
507,9.720106666666668,97.20106666666668,linear_Cij_shifted
508,9.719360000000002,97.19360000000002,linear_Cij_shifted
509,9.718613333333334,97.18613333333334,linear_Cij_shifted
510,9.71786666666667,97.17866666666669,linear_Cij_shifted
511,9.717120000000001,97.17120000000001,linear_Cij_shifted
512,9.716373333333335,97.16373333333335,linear_Cij_shifted
513,9.715626666666669,97.15626666666668,linear_Cij_shifted
514,9.71488,97.14880000000001,linear_Cij_shifted
515,9.714133333333335,97.14133333333335,linear_Cij_shifted
516,9.713386666666668,97.13386666666668,linear_Cij_shifted
517,9.712640000000002,97.12640000000002,linear_Cij_shifted
518,9.711893333333336,97.11893333333336,linear_Cij_shifted
519,9.711146666666668,97.11146666666667,linear_Cij_shifted
520,9.710400000000002,97.10400000000001,linear_Cij_shifted
521,9.709653333333335,97.09653333333335,linear_Cij_shifted
522,9.708906666666667,97.08906666666667,linear_Cij_shifted
523,9.708160000000001,97.08160000000001,linear_Cij_shifted
524,9.707413333333335,97.07413333333335,linear_Cij_shifted
525,9.706666666666667,97.06666666666666,linear_Cij_shifted
526,9.70592,97.0592,linear_Cij_shifted
527,9.705173333333335,97.05173333333335,linear_Cij_shifted
528,9.704426666666667,97.04426666666666,linear_Cij_shifted
529,9.703680000000002,97.03680000000003,linear_Cij_shifted
530,9.702933333333334,97.02933333333334,linear_Cij_shifted
531,9.70218666666667,97.0218666666667,linear_Cij_shifted
532,9.701440000000002,97.01440000000002,linear_Cij_shifted
533,9.700693333333335,97.00693333333335,linear_Cij_shifted
534,9.69994666666667,96.99946666666669,linear_Cij_shifted
535,9.699200000000001,96.99200000000002,linear_Cij_shifted
536,9.698453333333335,96.98453333333335,linear_Cij_shifted
537,9.697706666666669,96.97706666666669,linear_Cij_shifted
538,9.69696,96.96960000000001,linear_Cij_shifted
539,9.696213333333334,96.96213333333334,linear_Cij_shifted
540,9.695466666666668,96.95466666666668,linear_Cij_shifted
541,9.69472,96.94720000000001,linear_Cij_shifted
542,9.693973333333336,96.93973333333335,linear_Cij_shifted
543,9.693226666666668,96.93226666666668,linear_Cij_shifted
544,9.692480000000002,96.92480000000002,linear_Cij_shifted
545,9.691733333333335,96.91733333333335,linear_Cij_shifted
546,9.690986666666667,96.90986666666667,linear_Cij_shifted
547,9.690240000000003,96.90240000000003,linear_Cij_shifted
548,9.689493333333335,96.89493333333334,linear_Cij_shifted
549,9.688746666666669,96.88746666666668,linear_Cij_shifted
550,9.688000000000002,96.88000000000002,linear_Cij_shifted
551,9.687253333333334,96.87253333333334,linear_Cij_shifted
552,9.686506666666668,96.86506666666668,linear_Cij_shifted
553,9.685760000000002,96.85760000000002,linear_Cij_shifted
554,9.685013333333334,96.85013333333333,linear_Cij_shifted
555,9.684266666666668,96.84266666666667,linear_Cij_shifted
556,9.683520000000001,96.83520000000001,linear_Cij_shifted
557,9.682773333333333,96.82773333333333,linear_Cij_shifted
558,9.682026666666669,96.8202666666667,linear_Cij_shifted
559,9.681280000000001,96.81280000000001,linear_Cij_shifted
560,9.680533333333337,96.80533333333337,linear_Cij_shifted
561,9.679786666666669,96.79786666666669,linear_Cij_shifted
562,9.679040000000002,96.79040000000002,linear_Cij_shifted
563,9.678293333333336,96.78293333333336,linear_Cij_shifted
564,9.677546666666668,96.77546666666669,linear_Cij_shifted
565,9.676800000000002,96.76800000000001,linear_Cij_shifted
566,9.676053333333336,96.76053333333336,linear_Cij_shifted
567,9.675306666666668,96.75306666666668,linear_Cij_shifted
568,9.674560000000001,96.74560000000001,linear_Cij_shifted
569,9.673813333333335,96.73813333333335,linear_Cij_shifted
570,9.673066666666667,96.73066666666668,linear_Cij_shifted
571,9.672320000000001,96.7232,linear_Cij_shifted
572,9.671573333333335,96.71573333333335,linear_Cij_shifted
573,9.670826666666668,96.70826666666669,linear_Cij_shifted
574,9.670080000000002,96.70080000000002,linear_Cij_shifted
575,9.669333333333334,96.69333333333334,linear_Cij_shifted
576,9.668586666666668,96.68586666666668,linear_Cij_shifted
577,9.667840000000002,96.67840000000001,linear_Cij_shifted
578,9.667093333333334,96.67093333333334,linear_Cij_shifted
579,9.66634666666667,96.6634666666667,linear_Cij_shifted
580,9.665600000000001,96.656,linear_Cij_shifted
581,9.664853333333335,96.64853333333335,linear_Cij_shifted
582,9.664106666666669,96.64106666666669,linear_Cij_shifted
583,9.66336,96.6336,linear_Cij_shifted
584,9.662613333333335,96.62613333333334,linear_Cij_shifted
585,9.661866666666668,96.61866666666668,linear_Cij_shifted
586,9.66112,96.6112,linear_Cij_shifted
587,9.660373333333334,96.60373333333334,linear_Cij_shifted
588,9.659626666666668,96.59626666666668,linear_Cij_shifted
589,9.65888,96.58879999999999,linear_Cij_shifted
590,9.658133333333335,96.58133333333336,linear_Cij_shifted
591,9.657386666666667,96.57386666666667,linear_Cij_shifted
592,9.656640000000003,96.56640000000003,linear_Cij_shifted
593,9.655893333333335,96.55893333333336,linear_Cij_shifted
594,9.655146666666669,96.55146666666668,linear_Cij_shifted
595,9.654400000000003,96.54400000000003,linear_Cij_shifted
596,9.653653333333335,96.53653333333335,linear_Cij_shifted
597,9.652906666666668,96.52906666666668,linear_Cij_shifted
598,9.652160000000002,96.52160000000002,linear_Cij_shifted
599,9.651413333333334,96.51413333333335,linear_Cij_shifted
600,9.650666666666668,96.50666666666667,linear_Cij_shifted
