T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
403.0,326.121497240944,327.60638471126214,0.5,1.4848874703181656,2.969774940636331,8.07934658126113,3.710145047157506,9.905081536759864,-113.19164848436107,62.8449639972542,377.953069198369
404.0,326.5773894463851,328.0457680804815,0.5,1.4683786340964105,2.936757268192821,8.080485621184971,3.7122026734148452,9.916101334501821,-113.20760643410024,62.879817472366,378.37355704221574
405.0,327.0308008113789,328.48248143704876,0.5,1.4516806256698636,2.903361251339727,8.081616460591276,3.714246494160621,9.92705427631024,-113.22344949458581,62.91443710031923,378.79149383131534
406.0,327.4817496462524,328.9165448413972,0.5,1.4347951951447544,2.869590390289509,8.082739177459375,3.7162766290633695,9.937940863420803,-113.23917875830821,62.94882490814108,379.2068986915643
407.0,327.9302540983353,329.34797818521304,0.5,1.4177240868777374,2.835448173755475,8.083853848850623,3.7182931965415507,9.948761592864692,-113.25479530489704,62.982982901684046,379.61979058842604
408.0,328.37633215354583,329.77680119282576,0.5,1.4004690392799313,2.8009380785598625,8.084960550921238,3.7202963137785097,9.959516957503093,-113.270300201301,63.01691306587949,380.0301883282473
409.0,328.8200016379625,330.2030334225942,0.5,1.3830317846317148,2.7660635692634297,8.086059358934932,3.722286096737271,9.970207446061595,-113.28569450196464,63.0506173649881,380.43811055957076
410.0,329.26128021938166,330.62669426828427,0.5,1.3654140489026056,2.7308280978052113,8.087150347275312,3.7242626601751363,9.98083354316437,-113.3009792490024,63.084097742847206,380.84357577443944
411.0,329.70018540886053,331.0478029604384,0.5,1.3476175515778723,2.6952351031557447,8.088233589458145,3.7262261176580704,9.99139572936818,-113.31615547237014,63.11735612311449,381.246602309694
412.0,330.1367345622466,331.46637856773924,0.5,1.329644005492643,2.659288010985286,8.089309158143363,3.7281765815749104,10.001894481196212,-113.33122419003357,63.15039440950862,381.6472083482642
413.0,330.5709448816926,331.8824399983649,0.5,1.3114951166722821,2.6229902333445643,8.090377125146947,3.7301141631513945,10.012330271171724,-113.3461864081346,63.183214486046914,382.0454119204526
414.0,331.00283341715766,332.2960060013363,0.5,1.2931725841786539,2.5863451683573078,8.091437561452514,3.732038972463997,10.022703567851492,-113.3610431211537,63.21581821727968,382.4412309052103
415.0,331.4324170678942,332.7070951678574,0.5,1.2746780999632044,2.5493561999264087,8.092490537222822,3.7339511184535823,10.033014835859069,-113.3757953120712,63.24820744852147,382.8346830314071
416.0,331.8597125839213,333.1157259326466,0.5,1.256013348725338,2.512026697450676,8.093536121811054,3.7358507089388873,10.043264535917853,-113.39044395252515,63.28038400607951,383.22578587909226
417.0,332.28473656748395,333.52191657526146,0.5,1.2371800077775268,2.4743600155550536,8.094574383771912,3.737737850629812,10.053453124883971,-113.40499000296698,63.31234969747875,383.6145568807497
418.0,332.70750547449876,333.92568522141494,0.5,1.218179746916181,2.436359493832362,8.095605390872526,3.7396126491405655,10.063581055778943,-113.41943441281423,63.34410631168462,384.0010133225445
419.0,333.1280356159856,334.32704984428216,0.5,1.1990142282965415,2.398028456593083,8.096629210103258,3.7414752090025987,10.073648777822157,-113.43377812060183,63.37565561932204,384.3851723455619
420.0,333.54634315948607,334.7260282658008,0.5,1.1796851063147311,2.3593702126294622,8.097645907688237,3.74332563367741,10.083656736463135,-113.44802205412992,63.40699937289234,384.76705094703834
421.0,333.96244413046793,335.12263815796246,0.5,1.1601940274945486,2.320388054989097,8.098655549095804,3.7451640255691387,10.093605373413611,-113.46216713060996,63.438139306986564,385.14666598158584
422.0,334.3763544137167,335.5168970440965,0.5,1.1405426303798105,2.281085260759621,8.099658199048747,3.7469904860370553,10.103495126679396,-113.4762142568082,63.469077138497106,385.5240341624076
