key,label,A,Z,N,in_domain,magic_Z,magic_N,doubly_magic,magic_any,A_bin,radii_used,r_charge_fm,sigma_r_charge_fm,R_sharp_fm,sigma_R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,sigma_set_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,C3_frozen_eq19,C3_est_from_radii_eq19,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19
Z12_N19,Mg-31,31,12,19,1,0,0,0,0,16<=A<40,preliminary,3.1486,0.0076,4.06482512129,0.00981155781039,0.110191345673,7.8691886,9.92e-05,18.755291223,10.886102623,0,18.755291223,10.886102623,2008.63140164,2160.97035526,2.4009404556,2.4009404556,4.5340993766
Z15_N16,P-31,31,15,16,1,0,0,0,0,16<=A<40,published,3.1889,0.0019,4.11685219757,0.0024528894526,0.106066260756,8.4811677,2e-07,18.9077834759,10.4266157759,0,18.9077834759,10.4266157759,2008.63140164,2251.55585828,2.22442666626,2.22442666626,4.68732727133
Z12_N20,Mg-32,32,12,20,1,0,1,0,1,16<=A<40,preliminary,3.1861,0.0131,4.11323741312,0.0169120272784,0.109776666006,7.8038411,0.0001019,18.5779353892,10.7740942892,0,18.5779353892,10.7740942892,2008.63140164,2162.89121445,2.38319657499,2.38319657499,4.52085841438
Z16_N16,S-32,32,16,16,1,0,0,0,0,16<=A<40,published,3.2611,0.0018,4.21006199677,0.00232379000772,0.102375466865,8.4931301,2e-07,18.5774064574,10.0842763574,0,18.5774064574,10.0842763574,2008.63140164,2320.18551699,2.07232129744,2.07232129744,4.86617416415
Z18_N14,Ar-32,32,18,14,1,0,0,0,0,16<=A<40,published,3.3468,0.0062,4.32070022103,0.00800416558216,0.0947106819406,7.7000089,5.53e-05,17.3317257188,9.63171681882,0,17.3317257188,9.63171681882,2008.63140164,2464.35261949,1.77418854665,1.77418854665,5.42880114798
Z18_N15,Ar-33,33,18,15,1,0,0,0,0,16<=A<40,published,3.3438,0.0058,4.31682723768,0.00748776780267,0.0979335112747,7.9289559,1.21e-05,17.7886826917,9.85972679169,0,17.7886826917,9.85972679169,2008.63140164,2400.20923091,1.89676818729,1.89676818729,5.19817174167
Z16_N18,S-34,34,16,18,1,0,0,0,0,16<=A<40,published,3.2847,0.0021,4.24052946576,0.00271108834235,0.106446172937,8.5834986,1.3e-06,18.871160044,10.287661444,0,18.871160044,10.287661444,2008.63140164,2243.12172588,2.2403918507,2.2403918507,4.59190272488
Z18_N16,Ar-34,34,18,16,1,0,0,0,0,16<=A<40,published,3.3654,0.004,4.34471271778,0.00516397779494,0.0989708071491,8.1976724,2.3e-06,18.01682627,9.81915387001,0,18.01682627,9.81915387001,2008.63140164,2382.49758569,1.93692626223,1.93692626223,5.06945156431
Z17_N18,Cl-35,35,17,18,1,0,0,0,0,16<=A<40,published,3.3654,0.0191,4.34471271778,0.0246579939709,0.101881713242,8.520279,1e-06,18.5232807551,10.0030017551,0,18.5232807551,10.0030017551,2008.63140164,2329.32685882,2.05547962272,2.05547962272,4.86650494831
Z18_N17,Ar-35,35,18,17,1,0,0,0,0,16<=A<40,published,3.3636,0.0042,4.34238892777,0.00542217668469,0.102045364008,8.3274621,1.94e-05,18.3406497844,10.0131876844,0,18.3406497844,10.0131876844,2008.63140164,2323.00240957,2.05909674173,2.05909674173,4.86290298142
Z16_N20,S-36,36,16,20,1,0,1,0,1,16<=A<40,published,3.2985,0.0024,4.25834518916,0.00309838667697,0.11129901012,8.57539,5.2e-06,19.0243238533,10.4489338533,0,19.0243238533,10.4489338533,2008.63140164,2155.00559641,2.44931283539,2.44931283539,4.26606748729
Z18_N18,Ar-36,36,18,18,1,0,0,0,0,16<=A<40,published,3.3905,0.0023,4.37711667844,0.00296928723209,0.102482455089,8.5199096,8e-07,18.4461040359,9.92619443587,0,18.4461040359,9.92619443587,2008.63140164,2315.8979579,2.0766682135,2.0766682135,4.77986534938
Z17_N20,Cl-37,37,17,20,1,0,1,0,1,16<=A<40,published,3.384,0.017,4.36872521452,0.0219469056285,0.10593730665,8.5702816,1.4e-06,18.7746113854,10.2043297854,0,18.7746113854,10.2043297854,2008.63140164,2250.59834219,2.22050853837,2.22050853837,4.59549225281
Z18_N19,Ar-37,37,18,19,1,0,0,0,0,16<=A<40,published,3.3908,0.0022,4.37750397677,0.00284018778722,0.105301235522,8.5271406,5.6e-06,18.6585383068,10.1313977068,0,18.6585383068,10.1313977068,2008.63140164,2262.68750146,2.19246037616,2.19246037616,4.62101747286
Z19_N18,K-37,37,19,18,1,0,0,0,0,16<=A<40,preliminary,3.4194,0.0292,4.41442641801,0.0376970379031,0.10268104225,8.339848,2.5e-06,18.3162303475,9.97638234745,0,18.3162303475,9.97638234745,2008.63140164,2309.57530095,2.09101126305,2.09101126305,4.77108015808
Z18_N20,Ar-38,38,18,20,1,0,1,0,1,16<=A<40,published,3.4028,0.0019,4.39299591016,0.0024528894526,0.107007099037,8.6142807,5.1e-06,18.767375902,10.153095202,0,18.767375902,10.153095202,2008.63140164,2231.18038694,2.26405855827,2.26405855827,4.48446669586
Z19_N19,K-38,38,19,19,1,0,0,0,0,16<=A<40,published,3.4264,0.0051,4.42346337915,0.00658407168855,0.104811196478,8.4380593,5.1e-06,18.516086459,10.078027159,0,18.516086459,10.078027159,2008.63140164,2270.28710052,2.17222630031,2.17222630031,4.63949228382
Z18_N21,Ar-39,39,18,21,1,0,0,0,0,16<=A<40,published,3.4093,0.0031,4.40138737407,0.00400208279108,0.1091961227,8.5625988,0.0001282,18.8632561627,10.3006573627,0,18.8632561627,10.3006573627,2008.63140164,2191.49777805,2.35765009553,2.35765009553,4.36903566912
Z19_N20,K-39,39,19,20,1,0,1,0,1,16<=A<40,published,3.4349,0.0019,4.43443683196,0.0024528894526,0.106772787103,8.5570258,3e-07,18.666125066,10.109099266,0,18.666125066,10.109099266,2008.63140164,2234.66241315,2.25415445758,2.25415445758,4.48465243009
Z20_N19,Ca-39,39,20,19,1,1,0,0,1,16<=A<40,published,3.4595,0.0025,4.4661952954,0.00322748612184,0.104511208214,8.3696711,1.53e-05,18.3597407999,9.99006969995,0,18.3597407999,9.99006969995,2008.63140164,2273.61749,2.15969516189,2.15969516189,4.62568508566
Z18_N22,Ar-40,40,18,22,1,0,0,0,0,40<=A<100,published,3.4274,0.0026,4.4247543736,0.00335658556671,0.11023103379,8.5952594,2e-07,18.8829342441,10.2876748441,0,18.8829342441,10.2876748441,2008.63140164,2172.31149105,2.40253780515,2.40253780515,4.28200331418
Z19_N21,K-40,40,19,21,1,0,0,0,0,40<=A<100,published,3.4381,0.0028,4.4385680142,0.00361478445646,0.109205055661,8.5380907,1.4e-06,18.7986562538,10.2605655538,0,18.7986562538,10.2605655538,2008.63140164,2191.300558,2.3580298627,2.3580298627,4.35132977582
Z20_N20,Ca-40,40,20,20,1,1,1,1,1,40<=A<100,published,3.4776,0.0019,4.48956229492,0.0024528894526,0.105525975625,8.5513046,6e-07,18.4880659277,9.93676132772,0,18.4880659277,9.93676132772,2008.63140164,2255.97447753,2.20181988942,2.20181988942,4.51297645892
Z18_N23,Ar-41,41,18,23,1,0,0,0,0,40<=A<100,published,3.4251,0.003,4.42178508637,0.00387298334621,0.113214578932,8.5343733,8.5e-06,18.9375963913,10.4032230913,0,18.9375963913,10.4032230913,2008.63140164,2120.75079631,2.53434670042,2.53434670042,4.10489341874
