Z,symbol,n_sn_points,N_chain_min,N_chain_max,rms_resid_before_MeV,rms_resid_after_MeV,median_abs_resid_before_MeV,median_abs_resid_after_MeV,rms_resid_neutron_edge_before_MeV,rms_resid_neutron_edge_after_MeV,rms_resid_proton_edge_before_MeV,rms_resid_proton_edge_after_MeV
54,Xe,42,54,96,9.143229620281579,9.269203227399823,6.615746966166618,6.722821615218457,3.969423737101692,4.417756700830662,13.039275933590636,13.653831977302746
55,Cs,41,56,97,8.675612872500741,8.709703875511394,8.192820651967267,7.2666070432834715,3.64652174698216,3.574692151917633,12.815630337022085,13.037104276460838
56,Ba,41,57,98,8.904113412621106,8.921196832898975,7.445315153927339,7.056140601347934,4.40520145726679,4.112127564233541,13.06189943466655,13.59401212323166
57,La,41,59,100,8.612594980141017,8.64605174560196,8.056799569464587,7.8221831179005505,4.193506184684838,4.302984067096731,13.225510418500406,13.292354294554455
58,Ce,40,61,101,8.593392159222915,8.648466999830703,8.313663582171742,8.064973400798259,3.8696616977639224,3.5720552089261357,12.896026952165283,13.45875074082506
59,Pr,40,62,102,8.566213488162397,8.634667567175033,7.895987065355534,7.886351861180934,4.4002806072485985,4.222736946644277,12.714313460812543,13.141737900671181
60,Nd,39,64,103,8.655839281800702,8.699475719016434,7.224131888307824,7.570692420895909,4.131229729666982,3.8071209913112325,12.647861508536648,13.07083963579805
61,Pm,39,65,104,8.626479851631908,8.636800099019071,7.909076427082596,8.078595605003215,4.543583042776071,4.533160891115605,12.629276027272471,12.635195639924566
62,Sm,40,66,106,8.631731373084067,8.687975158837661,7.779552276141146,7.668397388612824,4.451668325491398,4.622718527379728,12.668158342327619,12.810775693474698
63,Eu,40,67,107,8.763283577665394,8.772277010900957,7.9828167356516175,7.902658003278148,4.050132101235599,4.042328807284306,12.79400543980622,12.75655446613849
64,Gd,39,69,108,8.683388887787194,8.723221515978707,8.242938777994354,8.198920676198853,4.707060791639902,4.449816505113776,12.495464753164207,12.942210987351
65,Tb,39,70,109,8.805797252678211,8.84987934080517,7.972776052712248,8.247136511873364,4.403396487427201,4.42211344966618,12.358826343148701,12.666794653824825
66,Dy,38,72,110,8.74083485346747,8.772149326077047,7.6813442791393385,7.448517871123215,4.9647713317666815,4.706604823470789,12.319596580937837,12.768329157723338
67,Ho,38,73,111,8.767472312445127,8.788779455203512,7.739498639789751,7.439765413215646,4.586987071559421,4.56604003564477,12.392720418972726,12.591262688507317
68,Er,38,74,112,9.027350117466932,9.074643045905265,7.681810642710218,7.433765834638006,5.101155037078598,4.777195283547779,12.730159248376085,13.260518004479541
69,Tm,38,75,113,8.925116332975684,8.944518423223816,8.191313146088113,7.956587197855512,4.862195709799894,4.841368410170243,12.811276474423057,12.222017245446235
70,Yb,37,78,115,8.583783400529997,8.628740706481878,7.980053534384197,7.643003558289706,4.879349655383403,4.511728463533845,12.645433096080126,13.096106676088382
