Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
84,116,200,Po,102,143,42,14,27,interior,9.774158200000329,1.8463756474861626,1.8220517341648446,-7.9277825525141665,-7.9521064658354845,7.9277825525141665,7.9521064658354845
84,117,201,Po,102,143,42,15,26,interior,7.650801899999806,-2.2492358775171155,-2.2608772573260296,-9.900037777516921,-9.911679157325835,9.900037777516921,9.911679157325835
84,118,202,Po,102,143,42,16,25,interior,9.491728700000067,2.4020040924152255,2.3645762933990255,-7.0897246075848415,-7.127152406601041,7.0897246075848415,7.127152406601041
84,119,203,Po,102,143,42,17,24,interior,7.440558999999894,-2.801420581353817,-2.8241604012979593,-10.24197958135371,-10.264719401297853,10.24197958135371,10.264719401297853
84,120,204,Po,102,143,42,18,23,interior,9.1015596000002,2.864997718711109,2.845628155238728,-6.2365618812890915,-6.2559314447614724,6.2365618812890915,6.2559314447614724
84,121,205,Po,102,143,42,19,22,interior,7.251654799999869,0.23873414557735373,0.16360445047212124,-7.0129206544225156,-7.088050349527748,7.0129206544225156,7.088050349527748
84,122,206,Po,102,143,42,20,21,interior,8.738599800000202,-0.2088575702598945,-0.15763642525084265,-8.947457370260096,-8.896236225251045,8.947457370260096,8.896236225251045
84,123,207,Po,102,143,42,21,20,interior,7.0283499999998185,0.18005628210927682,0.18709565858171118,-6.848293717890542,-6.841254341418107,6.848293717890542,6.841254341418107
84,124,208,Po,102,143,42,22,19,interior,8.394820599999775,-0.16711043425659966,-0.30812625859093856,-8.561931034256375,-8.702946858590714,8.561931034256375,8.702946858590714
84,125,209,Po,102,143,42,23,18,interior,6.968119399999978,0.04890275210809136,-0.3963504960000179,-6.919216647891886,-7.364469895999996,6.919216647891886,7.364469895999996
84,126,210,Po,102,143,42,24,17,interior,7.658368200000268,-0.13069707355069937,1.5564873005380946,-7.789065273550968,-6.101880899462174,7.789065273550968,6.101880899462174
84,127,211,Po,102,143,42,25,16,interior,4.550764199999776,-4.389758222309588,-5.1109041485027475,-8.940522422309364,-9.661668348502523,8.940522422309364,9.661668348502523
84,128,212,Po,102,143,42,26,15,interior,6.008219400000144,-0.19170233840000606,-0.8146592556759913,-6.19992173840015,-6.822878655676135,6.19992173840015,6.822878655676135
84,129,213,Po,102,143,42,27,14,interior,4.3554264000001695,-0.19087682768668657,0.15996756775128063,-4.546303227686856,-4.195458832248889,4.546303227686856,4.195458832248889
84,130,214,Po,102,143,42,28,13,interior,5.887776199999735,-0.19005465937107857,-0.6089303323364987,-6.077830859370813,-6.496706532336233,6.077830859370813,6.496706532336233
84,131,215,Po,102,143,42,29,12,interior,4.1431238000002395,-0.18923584796526427,-0.013000895974158766,-4.332359647965504,-4.156124695974398,4.332359647965504,4.156124695974398
84,132,216,Po,102,143,42,30,11,interior,5.747215999999753,3.2626436535722476,3.1035594391532655,-2.4845723464275054,-2.6436565608464875,2.4845723464275054,2.6436565608464875
84,133,217,Po,102,143,42,31,10,interior,3.970195800000056,-3.638672408604208,-3.5228541098616333,-7.608868208604264,-7.493049909861689,7.608868208604264,7.493049909861689
84,134,218,Po,102,143,42,32,9,interior,5.5981162000000495,3.1150578530291355,3.0960381696513224,-2.483058346970914,-2.502078030348727,2.483058346970914,2.502078030348727
84,135,219,Po,102,143,42,33,8,interior,3.746605999999929,-3.487851958457945,-3.4035812353975814,-7.234457958457874,-7.15018723539751,7.234457958457874,7.15018723539751
84,136,220,Po,102,143,42,34,7,interior,5.489222000000154,-0.18519257402123657,-0.4164433347253862,-5.674414574021391,-5.905665334725541,5.674414574021391,5.905665334725541
84,137,221,Po,102,143,42,35,6,interior,3.561021399999845,-0.18439414703357926,-0.012520908828129507,-3.7454155470334243,-3.5735423088279745,3.7454155470334243,3.5735423088279745
