T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
465.0,350.3065298592541,350.43688807128194,0.5,0.13035821202782172,0.26071642405564344,8.14329366318146,3.8272546437112394,10.543723203597498,-112.69222599621912,60.10403417793541,403.02507988956563
466.0,350.6378665409895,350.7401082261647,0.5,0.10224168517522651,0.20448337035045303,8.144033835309257,3.828629312480823,10.551359079984476,-112.70246898242983,60.12562227342473,403.31695493516986
467.0,350.96760184789105,351.0416293570092,0.5,0.07402750911813336,0.1480550182362667,8.144769315254338,3.8299957050771147,10.558952208898553,-112.71264703514599,60.1470803980998,403.60719599405536
468.0,351.2957464830768,351.3414634747683,0.5,0.04571699169150643,0.09143398338301285,8.145500142228837,3.8313538861608905,10.566502892194528,-112.72276069701067,60.16840956740742,403.89581460437154
469.0,351.62231106084147,351.6396224912178,0.5,0.017311430376306232,0.034622860752612464,8.146226355038932,3.832703919778386,10.57401142923808,-112.73281050504922,60.189610787143515,404.18282220912346
470.0,351.9473061075099,351.936118219845,0.5,-0.011187887664892694,-0.022375775329785387,8.146947992089919,3.8340458693680635,10.581478116928094,-112.74279699073927,60.210685053559416,404.46823015702483
471.0,352.2707420622818,352.23096237673536,0.5,-0.03977968554639716,-0.07955937109279432,8.1476650913911,3.8353797977673594,10.58890324971884,-112.75272068007837,60.2316333534678,404.75204970334596
472.0,352.5926292780664,352.52416658144546,0.5,-0.06846269662094001,-0.13692539324188002,8.148377690560633,3.836705767219293,10.596287119641849,-112.76258209365119,60.252456664346475,405.03429201075016
473.0,352.9129780223104,352.8157423578732,0.5,-0.09723566443724378,-0.19447132887448756,8.14908582683037,3.8380238393790407,10.603630016327745,-112.77238174669654,60.273155954441705,405.31496815012804
474.0,353.2317984778156,353.1057011351171,0.5,-0.12609734269847378,-0.25219468539694756,8.149789537050529,3.839334075320372,10.61093222702776,-112.78212014917173,60.293732182869135,405.5940891014197
475.0,353.54910074354865,353.39405424832773,0.5,-0.15504649522094516,-0.3100929904418903,8.150488857694391,3.8406365355420644,10.61819403663508,-112.79179780581799,60.31418629971465,405.87166575443104
476.0,353.8648948354429,353.68081293955504,0.5,-0.1840818958878749,-0.3681637917757498,8.151183824862834,3.8419312799741947,10.625415727706065,-112.80141521622285,60.33451924613312,406.14770890964473
