T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
170.0,87.85835685941744,86.02706913720937,0.5,-1.8312877222080726,-3.662575444416145,7.107307808112982,2.2791672140049353,3.852306830399551,-99.57338507495234,38.60608781785831,146.9943663943034
171.0,89.72038974190255,87.92041176110261,0.5,-1.799977980799936,-3.599955961599872,7.11990879063046,2.294089018708679,3.89992858454341,-99.74992484477958,38.85884351706889,148.8114930888133
172.0,91.57412603112664,89.80824999707,0.5,-1.7658760340566393,-3.5317520681132786,7.132321394813048,2.308869069342019,3.947399845530468,-99.92382543406387,39.10919808921126,150.62287734192262
173.0,93.41944869805428,91.69036609981508,0.5,-1.7290825982391982,-3.4581651964783964,7.144549182897133,2.3235083725160814,3.994715767941914,-100.09513674973837,39.3571685849508,152.42833426460265
174.0,95.25627942130959,93.56655101611766,0.5,-1.6897284051919301,-3.3794568103838603,7.156595638181458,2.3380079516634016,4.041871697703465,-100.26390759281979,39.60277233988539,154.22768626905204
175.0,97.08457992918034,95.43660417231489,0.5,-1.6479757568654423,-3.2959515137308846,7.168464166949498,2.3523688456140937,4.088863167853734,-100.43018568534086,39.846026950427614,156.02076290722815
176.0,98.90435312991718,97.30033326413302,0.5,-1.6040198657841633,-3.2080397315683267,7.180158100344357,2.366592107236629,4.135685894328082,-100.59401769661777,40.0869502507813,157.8074007099695
177.0,100.71564399005533,99.15755404900781,0.5,-1.5580899410475093,-3.1161798820950186,7.1916806961972926,2.380678802140777,4.182335771763074,-100.75544926886762,40.32556029097106,159.5874430269044
178.0,102.51854014485055,101.0080901410304,0.5,-1.5104500038201492,-3.0209000076402983,7.203035140810751,2.394630007440396,4.2288088693264685,-100.91452504218893,40.561875315885636,161.3607398673337
179.0,104.31317225665215,102.8517728086281,0.5,-1.4613994480240555,-2.922798896048111,7.214224550696905,2.4084468105738295,4.275101426576973,-101.07128867891838,40.795913745296914,163.12714774224958
180.0,106.09971416450212,104.68844077508902,0.5,-1.4112733894131075,-2.822546778826215,7.225251974272727,2.4221303081796752,4.321209849357991,-101.22578288737894,41.02769415481696,164.886529507651
181.0,107.87838287057245,106.5179400220197,0.5,-1.3604428485527476,-2.720885697105495,7.236120393512441,2.4356816050258097,4.367130705728936,-101.37804944503058,41.257235257757124,166.63875420929318
182.0,109.64943835696987,108.34012359581577,0.5,-1.3093147611541007,-2.6186295223082015,7.246832725558483,2.4491018129896465,4.412860721937546,-101.52812922103998,41.484555887854896,168.38369692900085
183.0,111.41318308730922,110.15485141721659,0.5,-1.2583316700926257,-2.5166633401852514,7.257391824291759,2.4623920500875394,4.458396778436244,-101.67606219827965,41.70967498283338,170.12123863266288
184.0,113.16996079560849,111.96199009400469,0.5,-1.2079707016037968,-2.4159414032075937,7.267800481862183,2.475553439551498,4.503735905945339,-101.82188749477096,41.93261156876196,171.8512660200137
185.0,114.92015379677153,113.76141273689576,0.5,-1.1587410598757732,-2.3174821197515465,7.278061430180526,2.4885871089512714,4.548875281565493,-101.96564338458485,42.15338474518565,173.57367137629498
186.0,116.66417760359774,115.55299877866943,0.5,-1.1111788249283039,-2.2223576498566078,7.288177342372343,2.501494189360049,4.593812224941841,-102.10736731821137,42.372013670993084,175.28835242588772
187.0,118.40247119292495,117.3366337965665,0.5,-1.0658373963584513,-2.1316747927169026,7.298150834195002,2.514275814561955,4.6385441944815975,-102.2470959424122,42.588517550992584,176.9952121879861
188.0,120.1354809717221,119.1122093379827,0.5,-1.0232716337393988,-2.0465432674787976,7.307984465418618,2.526933120299754,4.683068783626977,-102.38486511956765,42.80291562316926,178.69415883438108
189.0,121.86363653632174,120.87962274948201,0.5,-0.984013786839735,-1.96802757367947,7.31768074117179,2.5394672435610266,4.7273837171850905,-102.52070994653033,43.015227146593766,180.38510554941857
190.0,123.58731688045648,122.63877700913186,0.5,-0.948539871324626,-1.897079742649252,7.327242113253135,2.5518793219013247,4.771486847715936,-102.65466477299977,43.225471389957406,182.06797039217423
191.0,125.30680692054233,124.38958056217929,0.5,-0.9172263583630396,-1.8344527167260791,7.336670981409212,2.5641704928027376,4.81537615197988,-102.78676321942618,43.43366762070716,183.7426761608983
192.0,127.02224607687698,126.13194716006024,0.5,-0.8902989168167562,-1.7805978336335124,7.3459696945799,2.5763418930664375,4.8590497274454645,-102.91703819445813,43.639835094756165,185.40915025976219
193.0,128.73357300378984,127.86579570274192,0.5,-0.8677773010479244,-1.7355546020958488,7.355140552111904,2.588394658237761,4.902505788858412,-103.04552191194388,43.84399304674535,187.06732456794046
194.0,130.44047302300353,129.59105008438934,0.5,-0.849422938614213,-1.698845877228426,7.364185804941306,2.600329922062496,4.9457426648725304,-103.17224590749875,44.04616068083366,188.71713531105442
195.0,132.1423368325509,131.30763904233854,0.5,-0.8346977902123583,-1.6693955804247167,7.373107656745824,2.612148815973042,4.988758794742903,-103.2972410546484,44.2463571619943,190.35852293499264
196.0,133.83824001134406,133.01549600936687,0.5,-0.8227440019771859,-1.6454880039543718,7.381908265067637,2.623852468603168,5.031552725081967,-103.42053758055958,44.444601607795356,191.9914319821311
197.0,135.5269521622708,134.71455896923078,0.5,-0.8123931930400116,-1.6247863860800231,7.39058974240746,2.6354420053302063,5.074123106678504,-103.54216508136811,44.640913080645184,193.6158109699537
198.0,137.20698192505446,136.40477031545177,0.5,-0.802211609602679,-1.604423219205358,7.399154157290741,2.646918547843427,5.116468691379886,-103.66215253711626,44.8353105804812,195.23161227208683
199.0,138.87665962715084,138.08607671332186,0.5,-0.7905829138289808,-1.5811658276579617,7.407603535306492,2.6582832137375396,5.1585883290375065,-103.78052832630692,45.027813037884385,196.8387920017444
200.0,140.53425357267417,139.75842896509707,0.5,-0.7758246075771016,-1.5516492151542032,7.415939860119623,2.6695371161302,5.200480964515359,-103.89732024008616,45.218439307600335,198.4373098975829
201.0,142.1781098594132,141.42178187834517,0.5,-0.7563279810680443,-1.5126559621360887,7.424165074457446,2.680681363302468,5.242145634761629,-104.01255549606441,45.40720816244907,200.0271292119605
202.0,143.8068003740621,143.07609413741557,0.5,-0.7307062366465535,-1.461412473293107,7.432281081070947,2.691717058361259,5.2835814659430556,-104.12626075178366,45.59413828760744,201.60821660159178
203.0,145.4192604402082,144.72132817798905,0.5,-0.6979322622191495,-1.395864524438299,7.440289743671514,2.7026452989227643,5.3247876706417125,-104.2384621178412,45.77924827524666,203.1805420205836
204.0,147.014897362076,146.35745006467218,0.5,-0.6574472974038134,-1.3148945948076267,7.448192887843865,2.7134671768159597,5.365763545113904,-104.34918517067959,45.962556619510124,204.74407861584163
205.0,148.59365413668067,147.9844293715921,0.5,-0.6092247650885496,-1.2184495301770992,7.455992301935614,2.724183777805266,5.406508466610627,-104.45845496504957,46.144081711815716,206.29880262482598
206.0,150.1560185292327,149.602239065952,0.5,-0.5537794632807171,-1.1075589265614343,7.4636897379242555,2.7347961813315673,5.4470218907591805,-104.56629604615652,46.32384183646888,207.84469327563966
207.0,151.7029755123632,151.21085539449896,0.5,-0.4921201178642302,-0.9842402357284604,7.471286912262065,2.745305460270681,5.487303349005242,-104.67273246149747,46.501855166571524,209.38173268942492
208.0,153.23590932033562,152.8102577728656,0.5,-0.4256515474700157,-0.8513030949400314,7.478785506699549,2.7557126807085646,5.527352446114949,-104.77778777239764,46.67813976021428,210.90990578504898
209.0,154.7564685204667,154.4004286777329,0.5,-0.3560398427338261,-0.7120796854676522,7.48618716908796,2.7660189017324446,5.567168857736174,-104.88148506525368,46.85271355693849,212.4292001860481
210.0,156.26641225659642,155.98135354177103,0.5,-0.28505871482538614,-0.5701174296507723,7.493493514161509,2.7762251752371814,5.6067523280183735,-104.98384696249256,47.02559437445629,213.93960612980732
211.0,157.76745740535785,157.55302065131116,0.5,-0.21443675404667928,-0.42887350809335856,7.500706124299704,2.7863325457461077,5.646102667290286,-105.0848956332517,47.19679990561588,215.441116378947
212.0,159.2611447135789,159.115421046698,0.5,-0.14572366688087385,-0.2914473337617477,7.5078265502704635,2.796342050245779,5.685219749794664,-105.1846528037903,47.36634771560237,216.93372613488594
213.0,160.74873761551171,160.66854842527357,0.5,-0.08018919023815058,-0.16037838047630115,7.5148563119544445,2.806254718033829,5.724103511479225,-105.28313976763688,47.53425523936069,218.41743295354976
214.0,162.2311613993941,162.21239904694963,0.5,-0.01876235244448006,-0.03752470488896012,7.521796899051011,2.816071570579483,5.762753947843107,-105.38037739548011,47.70053977923284,219.89223666319688
215.0,163.7089839478392,163.74697164231014,0.5,0.03798769447094855,0.0759753889418971,7.528649771766568,2.8257936213960173,5.801171111837842,-105.47638614481231,47.86521850279752,221.35813928432492
216.0,165.18243357833472,165.27226732320355,0.5,0.08983374486884572,0.17966748973769145,7.535416361485426,2.8354218759246157,5.8393551118220985,-105.57118606932818,48.02830844090284,222.8151449516289
217.0,166.65144540931266,166.78828949576962,0.5,0.13684408645696766,0.2736881729139353,7.542098071423902,2.844957331429145,5.877306109569237,-105.66479682808881,48.18982648588397,224.26325983797446
218.0,168.11572558622947,168.29504377585315,0.5,0.17931818962367368,0.35863637924734737,7.548696277267977,2.854400976901241,5.9150243183268065,-105.7572376944554,48.34978938995532,225.7024920803532
219.0,169.5748225874366,169.79253790675818,0.5,0.2177153193215818,0.4354306386431636,7.555212327794996,2.863753792975221,5.9525100009271394,-105.84852756479899,48.50821376376942,227.13285170778775
220.0,171.02819630382405,171.28078167928868,0.5,0.2525853754646483,0.5051707509292966,7.561647545479808,2.873016751852409,5.989763467947997,-105.93868496699277,48.665116075134954,228.5543505711465
221.0,172.47527805825632,172.759786854031,0.5,0.2845087957746898,0.5690175915493796,7.568003227085777,2.882190817234313,6.026785075922471,-106.02772806869191,48.820512647884975,229.96700227483794
222.0,173.91551756778549,174.22956708582836,0.5,0.3140495180428668,0.6280990360857336,7.574280644241091,2.891276944264291,6.063575225597169,-106.11567468540782,48.97441966088871,231.3708221103475
223.0,175.3484155119761,175.6901378503997,0.5,0.3417223384236113,0.6834446768472227,7.580481044000661,2.900276079477246,6.100134360237738,-106.20254228838031,49.12685314719954,232.76582699158047
224.0,176.77354248515132,177.14151637305181,0.5,0.3679738879004887,0.7359477758009774,7.586605649394156,2.9091891607569496,6.136462963980778,-106.28834801225544,49.27782899333208,234.1520353919752
225.0,178.19054650594055,178.58372155944522,0.5,0.3931750535046842,0.7863501070093684,7.592655659960375,2.9180171173006046,6.172561560231339,-106.37310866257229,49.42736293866192,235.52946728335561
226.0,179.59915193420113,180.01677392835768,0.5,0.4176219941565342,0.8352439883130685,7.598632252268439,2.926760869590294,6.208430710104882,-106.45684072306469,49.57547057494201,236.89814407648035
227.0,180.99915272464804,181.44069554640677,0.5,0.44154282175872733,0.8830856435174547,7.604536580426078,2.9354213293709246,6.2440710109129585,-106.53956036278231,49.72216734592905,238.25808856326003
228.0,182.3904026109114,182.85550996468032,0.5,0.46510735376893214,0.9302147075378643,7.610369776575451,2.9439993996343743,6.279483094691555,-106.6212834430373,49.86746854711498,239.60932486060264
229.0,183.77280425365674,184.26124215723428,0.5,0.4884379035775208,0.9768758071550416,7.616132951376631,2.952495974609451,6.314667626771269,-106.70202552417764,50.01138932555686,240.95187835585506
230.0,185.14629876309638,185.65791846140854,0.5,0.5116196983121761,1.0232393966243523,7.621827194479372,2.960911939757451,6.349625304388349,-106.78180187219684,50.15394467980172,242.28577565380368
231.0,186.51085643326024,187.04556651992206,0.5,0.5347100866618195,1.069420173323639,7.627453574983198,2.969248171772873,6.384356855335773,-106.86062746517965,50.29514945989854,243.61104452520317
232.0,187.86646906602422,188.42421522469888,0.5,0.557746158674658,1.115492317349316,7.6330131418863125,2.977505538589154,6.418863036653373,-106.93851699959123,50.43501836749546,244.92771385679464
233.0,189.21314393805832,189.7938946623875,0.5,0.5807507243291824,1.1615014486583648,7.638506924523468,2.985684899389075,6.4531446333561915,-107.01548489641189,50.57356595601611,246.23581360278328
234.0,190.55089926504044,191.1546360615266,0.5,0.6037367964861527,1.2074735929723055,7.64393593299325,2.993787104619555,6.487202457200171,-107.09154530712321,50.710806630910064,247.53537473773972
235.0,191.87976092011905,192.50647174132015,0.5,0.626710821201103,1.253421642402206,7.649301158574913,3.0018129960106723,6.521037345484288,-107.16671211954788,50.84675464997515,248.82642921089288
236.0,193.19976013784583,193.8494350619796,0.5,0.6496749241337287,1.2993498482674575,7.6546035741351135,3.009763406598528,6.554650159888353,-107.24099896354817,50.98142412374468,250.10900990178305
237.0,194.51093195280367,195.18356037659203,0.5,0.672628423788362,1.345256847576724,7.659844134524851,3.0176391607519477,6.588041785345503,-107.31441921658691,51.11482901593971,251.3831505772392
238.0,195.81331416185233,196.50888298447836,0.5,0.6955688226260162,1.3911376452520323,7.665023776966698,3.025441074202531,6.621213128948683,-107.38698600915271,51.24698314397812,252.64888584965297
239.0,197.10694664501014,197.82543908600053,0.5,0.718492440990387,1.436984881980774,7.670143421432817,3.033169954078084,6.654165118890222,-107.4587122300559,51.37790017954084,253.90625113651558
240.0,198.39187092339478,199.13326573878035,0.5,0.7413948153855818,1.4827896307711637,7.675203971013796,3.0408265989390775,6.6868987034337035,-107.52961053159598,51.50759364918946,255.15528262118687
241.0,199.66812986896076,200.43240081529413,0.5,0.7642709463333759,1.5285418926667518,7.680206312278714,3.0484117988180195,6.719414849917345,-107.59969333460606,51.636076935033095,256.39601721486713
242.0,200.93576750878654,201.72288296180818,0.5,0.7871154530216506,1.5742309060433013,7.685151315626465,3.0559263352615242,6.75171454378815,-107.66897283337498,51.76336327544102,257.6284925197421
243.0,202.19482888694844,203.00475155861366,0.5,0.8099226716652472,1.6198453433304945,7.690039835628794,3.0633709813749466,6.7837987876659,-107.73746100045324,51.88946576579874,258.8527467932682
244.0,203.44535996095092,204.27804668153524,0.5,0.8326867205843127,1.6653734411686254,7.694872711365115,3.0707465018693276,6.815668600436502,-107.80516959134368,52.01439735930308,260.06881891357585
245.0,204.68740751882626,205.54280906467054,0.5,0.8554015458442566,1.7108030916885133,7.6996507667493095,3.0780536531106435,6.847325016373623,-107.87211014908016,52.13817086779652,261.27674834595416
246.0,205.9210191087768,206.7990800643348,0.5,0.8780609555580016,1.7561219111160031,7.704374810848853,3.0852931831710335,6.8787690842882085,-107.93829400869826,52.26079896263486,262.4765751103982
247.0,207.14624297672322,208.04690162417035,0.5,0.9006586474471225,1.801317294894245,7.709045638196323,3.0924658318820093,6.910001866704855,-108.00373230159974,52.38229417558855,263.6683397501816
248.0,208.36312800916946,209.2863162413972,0.5,0.9231882322277489,1.8463764644554979,7.713664029093577,3.0995723308894223,6.941024439064614,-108.06843595981388,52.50266889977371,264.85208330143735
249.0,209.57172367995594,210.51736693416578,0.5,0.9456432542098553,1.8912865084197106,7.718230749908726,3.106613403710072,6.9718378889533135,-108.13241572015826,52.621935390611064,266.02784726371294
250.0,210.77208000010972,211.74009720998947,0.5,0.9680172098797665,1.936034419759533,7.722746553366131,3.113589765789892,7.002443315354898,-108.19568212830137,52.740105766811524,267.1956735714793
251.0,211.9642474703438,212.95455103521834,0.5,0.9903035648745288,1.9806071297490575,7.727212178829622,3.1205021245635027,7.0328418279289915,-108.25824554273085,52.85719201138488,268.3556045665643
252.0,213.14827703593286,214.16077280553162,0.5,1.012495769598783,2.024991539197566,7.731628352579056,3.127351179515084,7.063034546312087,-108.3201161386277,52.97320597267097,269.50768297148835
253.0,214.32422004379038,215.3588073174198,0.5,1.0345872736294497,2.0691745472588994,7.735995788080398,3.1341376222404436,7.093022599441798,-108.38130391165039,53.088159365390986,270.65195186367924
254.0,215.49212820161281,216.54869974062166,0.5,1.056571539008852,2.113143078017704,7.740315186249579,3.140862136510148,7.122807124903358,-108.44181868163135,53.20206377171687,271.78845465053615
255.0,216.6520535389865,217.73049559150257,0.5,1.0784420525160627,2.1568841050321255,7.744587235710073,3.147525398333704,7.152389268298028,-108.50167009618573,53.31493064235844,272.91723504532985
256.0,217.80404837036156,218.90424070733025,0.5,1.1001923369686968,2.2003846739373936,7.748812613044698,3.1541280760245756,7.181770182632522,-108.56086763423907,53.42677129766467,274.0383370439046
257.0,218.9481652598093,220.06998122144023,0.5,1.1218159616309547,2.2436319232619093,7.752991983041436,3.1606708302660538,7.210951027729181,-108.61942060947126,53.537596928739504,275.151804902172
258.0,220.08445698748176,221.22776353925042,0.5,1.1433065517686622,2.2866131035373245,7.75712599893359,3.1671543141778558,7.239932969655993,-108.6773381736811,53.64741859856989,276.25768311436167
259.0,221.2129765176993,222.37763431510987,0.5,1.1646577974105994,2.3293155948211988,7.761215302634524,3.173579173383348,7.268717180176213,-108.73462932007504,53.7562472431645,277.3560163920204
260.0,222.33377696859355,223.5196404299547,0.5,1.185863461361176,2.371726922722352,7.765260524966839,3.179946046077366,7.297304836216831,-108.79130288647802,53.864093672702445,278.4468496437303
261.0,223.446911583237,224.65382896974631,0.5,1.2069173865093112,2.4138347730186225,7.769262285886443,3.1862555630945457,7.325697119355424,-108.84736755847247,53.97096857269079,279.530227955528
262.0,224.55243370219443,225.78024720467184,0.5,1.2278135024773873,2.4556270049547746,7.773221194701427,3.1925083479780447,7.353895215324925,-108.90283187246506,54.07688250512859,280.6061965720083
263.0,225.65039673743382,226.8989425690821,0.5,1.2485458316482707,2.4970916632965414,7.777137850285943,3.1987050170486895,7.3819003135356835,-108.95770421868282,54.18184590967807,281.67480087808684
264.0,226.74085414753603,228.0099626421481,0.5,1.2691084946120719,2.5382169892241437,7.78101284128924,3.2048461794744063,7.409713606614455,-109.01199284410195,54.28586910484081,282.7360863814092
265.0,227.82385941414725,229.11335512921266,0.5,1.2894957150654272,2.5789914301308543,7.784846746339927,3.2109324373398818,7.4373362899597515,-109.06570585530955,54.38896228913763,283.7900986953846
266.0,228.89946601961975,230.20916784381663,0.5,1.3097018241968845,2.619403648393769,7.788640134245662,3.216964385716457,7.464769561313096,-109.11885122130104,54.49113554229252,284.83688352282513
267.0,229.96772742578705,231.29744869038188,0.5,1.3297212645948586,2.6594425291897172,7.792393564188244,3.2229426127321505,7.492014620345738,-109.1714367762137,54.592398826418744,285.87648664017684
