candidate_id,before_mix,sat_scale_mev,sat_scale_multiplier,branch_pivot_mev,branch_gain,sign_blend,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,holdout_max_abs_z_qbeta,train_p95_abs_z_qbeta,overfit_gap_qbeta,overfit_guard_pass,n_holdout_q_rows,n_holdout_logft_rows,split_rows_holdout,mapping_delta_abs_median_mev,mapping_delta_abs_p95_mev,is_pareto_front,norm_holdout_p95_abs_z_qbeta,norm_overfit_gap_qbeta,score_weighted,rank_weighted
cand_0048,0.6,10.358143991264683,1.15,3.0,1.2,0.0,6943.49515820585,10.495534148211544,293946.5952102071,3822.0251860461426,3121.4699721597076,False,1269,35,1269,0.5167982638159728,2.785556422176046,False,0.43957258738645694,0.4191508548224239,0.433446067617247,85
cand_0049,0.6,10.358143991264683,1.15,3.0,1.2,0.05,6951.608260619652,9.966050018251773,295507.6339086688,3841.2684888455274,3110.339771774125,False,1269,36,1269,0.5074084110611414,2.9138985611348094,False,0.4450162643669528,0.4127377883179573,0.4353327215522541,90
cand_0050,0.6,10.358143991264683,1.15,3.0,1.6,0.0,6967.822534447991,10.496338392534348,293947.3511101717,3859.6715889977977,3108.150945450193,False,1269,35,1269,0.7763299952147285,2.8004978829722638,False,0.45589561294322895,0.4114766170635488,0.4425699141793249,104
cand_0051,0.6,10.358143991264683,1.15,3.0,1.6,0.05,6978.640146625626,9.966217092280532,295508.40520088427,3883.0873333382315,3095.552813287394,False,1269,36,1269,0.7692533438505631,2.8826145560549374,False,0.46315394439176866,0.40421774870599964,0.44547308568603794,109
cand_0052,0.6,10.358143991264683,1.15,3.0,2.0,0.0,6992.150223489373,10.497295023155853,293948.02158991224,3879.6893055580417,3112.4609179313316,False,1269,35,1269,1.178017301178768,3.1742330464780513,False,0.47221884838001327,0.4139599632025605,0.45474118282677745,115
cand_0053,0.6,10.358143991264683,1.15,3.0,2.0,0.05,7005.6722581429985,10.855544998124266,295509.07875527465,3920.54666301217,3085.1255951308285,False,1269,37,1269,1.1524711953312803,3.157906944227983,False,0.48129177572876475,0.398209730774781,0.4563671622425696,116
cand_0054,0.8,7.65601947180433,0.85,1.0,1.2,0.0,6846.045483859847,11.30236994131784,296569.42977799434,3853.33973268857,2992.705751171277,False,1269,52,1269,0.6576558409935676,3.9720262597103453,False,0.3741864352171359,0.34495870337973356,0.3654181156659152,75
cand_0055,0.8,7.65601947180433,0.85,1.0,1.2,0.05,6757.952816444662,9.78881253015569,298385.88956514874,3886.647082809722,2871.3057336349398,False,1269,53,1269,0.6608034928133619,4.076504800288697,False,0.3150785870353227,0.27500970343967684,0.30305792195662895,52
cand_0056,0.8,7.65601947180433,0.85,1.0,1.6,0.0,6837.683175391936,11.30370947480741,296570.2860416635,3853.2287045091857,2984.4544708827502,False,1269,52,1269,0.7245018919583845,4.076504800288697,False,0.368575547570367,0.34020443055407446,0.3600642124654792,71
cand_0057,0.8,7.65601947180433,0.85,1.0,1.6,0.05,6758.397240412064,9.789738140950917,298386.7508185474,3876.123177580938,2882.2740628311262,False,1269,53,1269,0.7261269054368478,4.127109654125848,False,0.31537678375434997,0.2813295020184285,0.3051625992335735,54
cand_0058,0.8,7.65601947180433,0.85,1.0,2.0,0.0,6829.321120447958,11.30533353369782,296570.98980040196,3853.1113792523274,2976.20974119563,False,1269,52,1269,0.7920894153622124,4.146129078748137,False,0.3629648300314467,0.33545393209374663,0.35471156065013665,69
cand_0059,0.8,7.65601947180433,0.85,1.0,2.0,0.05,6759.028659220401,9.790855831564361,298387.4386933961,3875.9228110128784,2883.1058482075227,False,1269,53,1269,0.8013324227360097,4.204235894366563,False,0.3158004490622288,0.28180876517196374,0.3056029438951493,55
cand_0060,0.8,7.65601947180433,0.85,2.0,1.2,0.0,6846.042905515649,11.302608370556593,296569.57498519553,3871.6627803397246,2974.3801251759246,False,1269,52,1269,0.6880984296181412,3.8974676804682558,False,0.3741847052164232,0.3343997328156089,0.36224921349617895,73
cand_0061,0.8,7.65601947180433,0.85,2.0,1.2,0.05,6758.032589097908,9.788974478433053,298386.03287559905,3890.1274334360946,2867.9051556618138,False,1269,53,1269,0.6808445868975577,4.027771109458967,False,0.315132112374213,0.273050337755342,0.3025075799885517,49
cand_0062,0.8,7.65601947180433,0.85,2.0,1.6,0.0,6837.675604424994,11.304566569121688,296570.64569734654,3869.7904562611657,2967.8851481638285,False,1269,52,1269,0.9182498010423312,3.92534182020901,False,0.3685704676519389,0.3306574174860926,0.357196552602185,70
cand_0063,0.8,7.65601947180433,0.85,2.0,1.6,0.05,6758.730418021505,9.790320423542404,298387.0937304048,3890.5164834446878,2868.2139345768173,False,1269,53,1269,0.9202817500784244,4.0481688150146145,False,0.3156003371116754,0.2732282518672622,0.3028887115383514,50
cand_0064,0.8,7.65601947180433,0.85,2.0,2.0,0.0,6829.308899401873,11.306998942569422,296571.4626135278,3859.648283562272,2969.6606158396007,False,1269,52,1269,1.2340779688535366,4.087470721297994,False,0.36295663003299267,0.33168041724232405,0.35357376619579206,67
cand_0065,0.8,7.65601947180433,0.85,2.0,2.0,0.05,6759.740349254825,16.844623600922926,298387.86518048454,3887.98943548801,2871.750913766815,False,1269,60,1269,1.2315517701139946,4.144935867982431,False,0.3162779742381774,0.27526621003374324,0.3039744449768471,53
cand_0066,0.8,7.65601947180433,0.85,3.0,1.2,0.0,6846.043032574688,11.302754362771953,296569.5037920301,3871.6624268912597,2974.3806056834287,False,1269,52,1269,0.6924802888050509,3.85417186300981,False,0.37418479046967545,0.334400009677343,0.36224935623197574,74
cand_0067,0.8,7.65601947180433,0.85,3.0,1.2,0.05,6758.1323653931995,9.78907894923278,298385.94652007153,3892.2789982032623,2865.853367189937,False,1269,53,1269,0.680738192353042,3.9792085909341637,False,0.3151990596274551,0.27186812580340924,0.3021997794802413,48
cand_0068,0.8,7.65601947180433,0.85,3.0,1.6,0.0,6837.676139723552,13.098106323783107,296570.41731460905,3900.521678260118,2937.1544614634345,False,1269,57,1269,0.9150217901455902,3.8386412745939054,False,0.368570826823103,0.3129508236503845,0.35188482587128744,66
cand_0069,0.8,7.65601947180433,0.85,3.0,1.6,0.05,6759.050702105649,11.39362617997991,298386.81520678673,3915.01517633326,2844.035525772389,False,1269,61,1269,0.9090288891635632,3.9114135316289738,False,0.31581523925479493,0.2592969893325974,0.29885976427813565,47
cand_0070,0.8,7.65601947180433,0.85,3.0,2.0,0.0,6829.310072493336,13.427209912587351,296571.05731167184,3917.9573182570725,2911.352754236263,False,1269,79,1269,1.2677085695438475,3.9928578393207155,False,0.36295741714631474,0.2980842391645416,0.3434954637517828,65
cand_0071,0.8,7.65601947180433,0.85,3.0,2.0,0.05,6760.309062588071,14.96530689517849,298387.36855714343,3928.3837852851484,2831.925277302923,False,1269,97,1269,1.2547650306562854,4.042951014731097,False,0.3166595658319713,0.2523192327666957,0.2973574659123886,44
cand_0072,0.8,9.007081731534507,1.0,1.0,1.2,0.0,6288.414005653795,11.205521435274415,298684.39330087596,3844.8281449125025,2443.585860741293,False,1269,52,1269,0.6518984344064036,3.6687789077782615,False,3.0472838798852762e-05,0.02856346751188038,0.00859037124072331,9
cand_0073,0.8,9.007081731534507,1.0,1.0,1.2,0.05,6561.769222356326,9.663320324280743,300730.27689068957,3878.9865849870957,2682.7826373692305,False,1269,53,1269,0.6553613804791977,3.786781627107788,False,0.18344458802739932,0.1663853200416901,0.17832680763168654,26
cand_0074,0.8,9.007081731534507,1.0,1.0,1.6,0.0,6288.407476585306,11.206715233642797,298685.29084741056,3850.0827185592193,2438.3247580260863,False,1269,52,1269,0.7113781442157672,3.7272892730021083,False,2.6092006654895212e-05,0.025532093373895066,0.007677892416826947,7
cand_0075,0.8,9.007081731534507,1.0,1.0,1.6,0.05,6561.666815166846,9.663535491745819,300731.1819291357,3868.336837013648,2693.329978153198,False,1269,53,1269,0.7144164438184875,3.881187430987461,False,0.18337587551379164,0.17246255095843757,0.18010187814718542,28
cand_0076,0.8,9.007081731534507,1.0,1.0,2.0,0.0,6288.396188521929,11.208166079163782,298686.0269688132,3844.8209447064405,2443.575243815488,False,1269,52,1269,0.7839841055050303,3.727098254637264,False,1.8518014903626277e-05,0.02855735018704347,0.008580167666545579,8
cand_0077,0.8,9.007081731534507,1.0,1.0,2.0,0.05,6561.521327908615,9.66381447468076,300731.90341067256,3868.4212348000824,2693.1000931085323,False,1269,53,1269,0.7898076800687164,3.864503026569267,False,0.1832782574143031,0.17233009439622377,0.1799938085088793,27
cand_0078,0.8,9.007081731534507,1.0,2.0,1.2,0.0,6288.4127960283,11.205732961138546,298684.5468362156,3853.279567419347,2435.1332286089532,False,1269,52,1269,0.6858608748260118,3.6421410227617357,False,2.9661212108313697e-05,0.023693178557091917,0.007128716415603394,6
cand_0079,0.8,9.007081731534507,1.0,2.0,1.2,0.05,6561.751080184955,9.663358053599525,300730.42904273025,3900.3837453350857,2661.367334849869,False,1269,53,1269,0.6801617717979016,3.736348497815322,False,0.1834324151105996,0.15404612087975642,0.17461652684134663,24
cand_0080,0.8,9.007081731534507,1.0,2.0,1.6,0.0,6288.401465319982,11.207478541041805,298685.6706491144,3863.633337497324,2424.768127822658,False,1269,52,1269,0.9109594314629392,3.629286764344229,False,2.205860673006034e-05,0.017720951789807902,0.005331726561653412,3
cand_0081,0.8,9.007081731534507,1.0,2.0,1.6,0.05,6561.5906583409815,9.663680870284983,300731.5458024692,3900.184069656203,2661.4065886847784,False,1269,53,1269,0.919926462867251,3.7406965329594684,False,0.18332477629936988,0.15406873839292845,0.17454796492743746,23
