T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
333.0,286.7463556253817,295.16581405976046,0.5,21.079631132421273,1.4002418363278865e-07,8.419458434378804,16.838916868757607
334.0,287.4330767548771,295.86276871078854,0.5,21.1001084784432,1.402186007778372e-07,8.42969195591143,16.85938391182286
335.0,288.1155211312562,296.5526044388209,0.5,21.120430806642656,1.4041030088531677e-07,8.43708330756472,16.87416661512944
336.0,288.7937231670446,297.2353663184601,0.5,21.140599593412563,1.4059930751021792e-07,8.44164315141549,16.88328630283098
337.0,289.4677169740572,297.911099746206,0.5,21.16061629885049,1.4078564420753163e-07,8.44338277214874,16.88676554429748
338.0,290.1375363653296,298.57985043411867,0.5,21.18048236695149,1.4096933453224905e-07,8.442314068789077,16.884628137578154
339.0,290.80321485707555,299.2416644036019,0.5,21.200199225798617,1.4115040203936074e-07,8.438449546526352,16.876899093052703
340.0,291.4647856706697,299.8965879793156,0.5,21.219768287751513,1.4132887028385796e-07,8.431802308645922,16.863604617291845
341.0,292.12228173465223,300.54466778319926,0.5,21.239190949632675,1.4150476282073123e-07,8.42238604854707,16.84477209709414
342.0,292.77573568675405,301.18595072862047,0.5,21.258468592911797,1.416781032049716e-07,8.410215041866438,16.820430083732877
343.0,293.4251798759402,301.8204840146309,0.5,21.277602583887756,1.4184891499157022e-07,8.395304138690705,16.79060827738141
344.0,294.0706463644711,302.44831512033767,0.5,21.29659427386878,1.420172217355176e-07,8.377668755866585,16.75533751173317
345.0,294.71216692997757,303.0694917993893,0.5,21.31544499935058,1.4218304699180478e-07,8.357324869411753,16.714649738823507
346.0,295.34977306755087,303.68406207456025,0.5,21.33415608219201,1.4234641431542286e-07,8.334289007009373,16.668578014018745
347.0,295.98349599184326,304.2920742324492,0.5,21.352728829789317,1.4250734726136245e-07,8.308578240605911,16.617156481211822
348.0,296.61336663918013,304.89357681827755,0.5,21.37116453524783,1.4266586938461465e-07,8.280210179097438,16.560420358194875
349.0,297.23941566968097,305.48861863078986,0.5,21.389464477551957,1.4282200424017036e-07,8.24920296110892,16.49840592221784
350.0,297.86167346938777,306.0772487172539,0.5,21.407629921733125,1.4297577538302028e-07,8.215575247866154,16.431150495732307
351.0,298.4801701524004,306.6595163685587,0.5,21.42566211903563,1.431272063681556e-07,8.179346216158297,16.358692432316595
352.0,299.0949355630165,307.235471114409,0.5,21.4435623070809,1.4327632075056695e-07,8.140535551392476,16.281071102784953
353.0,299.7059992778772,307.80516271861086,0.5,21.461331710029274,1.4342314208524528e-07,8.099163440733653,16.198326881467306
354.0,300.31339060811337,308.3686411744524,0.5,21.478971538740357,1.4356769392718178e-07,8.05525056633908,16.11050113267816
355.0,300.9171386014959,308.9259567001698,0.5,21.496482990931153,1.4370999983136694e-07,8.008818098673979,16.017636197347958
356.0,301.5172720445864,309.4771597345091,0.5,21.51386725133255,1.4385008335279207e-07,7.95988768992269,15.91977537984538
357.0,302.1138194648871,310.02230093236705,0.5,21.53112549184387,1.439879680464477e-07,7.908481467479937,15.816962934959873
358.0,302.7068091329911,310.56143116052004,0.5,21.54825887168535,1.4412367746732485e-07,7.854622027528965,15.70924405505793
359.0,303.2962690647301,311.0946014934372,0.5,21.565268537549155,1.4425723517041464e-07,7.798332428707132,15.596664857414265
360.0,303.8822270233196,311.6218632091704,0.5,21.58215562374828,1.4438866471070764e-07,7.739636185850741,15.479272371701482
361.0,304.46471052150133,312.14326778533234,0.5,21.598921252363994,1.4451798964319498e-07,7.678557263831007,15.357114527662015
362.0,305.04374682368086,312.6588668951421,0.5,21.615566533390997,1.4464523352286757e-07,7.61512007146127,15.23024014292254
363.0,305.6193629480609,313.1687124035562,0.5,21.63209256488137,1.4477041990471605e-07,7.549349455495298,15.098698910990596
364.0,306.19158566876916,313.6728563634722,0.5,21.64850043308649,1.448935723437316e-07,7.48127069470301,14.96254138940602
365.0,306.76044151798,314.1713510120024,0.5,21.664791212597144,1.4501471439490508e-07,7.410909494022437,14.821818988044875
366.0,307.3259567880295,314.66424876682333,0.5,21.68096596648213,1.4513386961322717e-07,7.3382919787938405,14.676583957587681
367.0,307.8881575335232,315.1516022225991,0.5,21.697025746425243,1.4525106155368912e-07,7.263444689075823,14.526889378151646
368.0,308.44706957343635,315.6334641474647,0.5,21.71297159286026,1.4536631377128152e-07,7.186394574028358,14.372789148056716
369.0,309.00271849320575,316.1098874795862,0.5,21.72880453510451,1.4547964982099545e-07,7.107168986380393,14.214337972760786
370.0,309.55512964681265,316.58092532378464,0.5,21.74452559149091,1.4559109325782184e-07,7.025795676971995,14.05159135394399
371.0,310.1043281588568,317.04663094822126,0.5,21.760135769498,1.4570066763675135e-07,6.942302789364466,13.884605578728932
372.0,310.6503389266209,317.5070577811552,0.5,21.775636065878846,1.4580839651277523e-07,6.856718854534273,13.713437709068547
373.0,311.1931866221248,317.9622594077548,0.5,21.791027466788034,1.4591430344088404e-07,6.769072785629962,13.538145571259925
374.0,311.7328956941695,318.4122895669778,0.5,21.80631094790723,1.4601841197606882e-07,6.679393872808302,13.358787745616604
375.0,312.26949037037036,318.8572021485082,0.5,21.821487474569224,1.4612074567332067e-07,6.587711778137855,13.17542355627571
376.0,312.8029946591796,319.2970511897486,0.5,21.83655800188017,1.4622132808763013e-07,6.494056530568962,12.988113061137923
377.0,313.3334323518966,319.7318908728809,0.5,21.85152347484084,1.4632018277398837e-07,6.398458520984312,12.796917041968625
378.0,313.86082702466757,320.1617755219742,0.5,21.866384828465925,1.4641733328738629e-07,6.300948497306654,12.601896994613307
379.0,314.38520204047256,320.5867596001503,0.5,21.881142987901963,1.4651280318281455e-07,6.201557559677734,12.403115119355467
380.0,314.9065805511007,321.0068977068095,0.5,21.89579886854405,1.4660661601526427e-07,6.100317155708773,12.200634311417547
381.0,315.424985499113,321.4222445749007,0.5,21.910353376150653,1.4669879533972634e-07,5.997259075787653,11.994518151575306
382.0,315.940439619792,321.83285506825075,0.5,21.924807406957434,1.467893647111915e-07,5.892415448458727,11.784830896917454
383.0,316.45296544307956,322.23878417894616,0.5,21.93916184778955,1.4687834768465092e-07,5.785818735866631,11.571637471733261
384.0,316.9625852955006,322.64008702475627,0.5,21.95341757617225,1.469657678150953e-07,5.677501729255664,11.355003458511328
385.0,317.4693213020746,323.03681884661705,0.5,21.967575460440607,1.4705164865751547e-07,5.5674975445424675,11.134995089084935
386.0,317.97319538821296,323.4290350061549,0.5,21.981636359847368,1.471360137669026e-07,5.455839617941908,10.911679235883817
387.0,318.47422928160364,323.81679098326464,0.5,21.995601124670074,1.472188866982474e-07,5.342561701661016,10.685123403322033
388.0,318.9724445140812,324.2001423737263,0.5,22.00947059631609,1.473002910065408e-07,5.227697859645099,10.455395719290198
389.0,319.4678624234843,324.57914488687345,0.5,22.023245607426897,1.4738025024677365e-07,5.111282463389168,10.222564926778336
390.0,319.96050415549826,324.9538543433077,0.5,22.03692698198107,1.4745878797393698e-07,4.993350187809451,9.986700375618902
391.0,320.45039066548446,325.32432667265,0.5,22.05051553539558,1.475359277430217e-07,4.873936007165529,9.747872014331058
392.0,320.93754272029514,325.6906179113387,0.5,22.064012074626103,1.476116931090185e-07,4.753075191043529,9.506150382087059
393.0,321.42198090007463,326.05278420047523,0.5,22.07741739826625,1.476861076269185e-07,4.630803300400573,9.261606600801146
394.0,321.90372560004596,326.4108817836994,0.5,22.090732296645037,1.4775919485171257e-07,4.507156183653425,9.01431236730685
395.0,322.3827970322835,326.76496700511694,0.5,22.103957551923774,1.4783097833839154e-07,4.382169972833435,8.76433994566687
396.0,322.85921522747117,327.11509630725703,0.5,22.117093938191104,1.4790148164194617e-07,4.255881079785898,8.511762159571797
397.0,323.3330000366466,327.46132622907993,0.5,22.130142221557534,1.4797072831736775e-07,4.128326192433326,8.256652384866651
398.0,323.80417113293043,327.8037134040071,0.5,22.143103160247986,1.48038741919647e-07,3.999542271076711,7.999084542153422
399.0,324.2727480132421,328.14231455800734,0.5,22.15597750469416,1.481055460037745e-07,3.869566544765267,7.739133089530534
400.0,324.73875000000004,328.4771865077033,0.5,22.16876599762465,1.481711641247416e-07,3.738436507703276,7.476873015406552
401.0,325.20219624280884,328.8083861585253,0.5,22.18146937415496,1.482356198375392e-07,3.6061899157164765,7.212379831432953
402.0,325.66310572013083,329.13597050289354,0.5,22.194088361875746,1.482989366971577e-07,3.4728647827627537,6.945729565525507
403.0,326.121497240944,329.45999661843973,0.5,22.20662368094007,1.483611382585886e-07,3.33849937749577,6.67699875499154
404.0,326.5773894463851,329.7805216662573,0.5,22.219076044149723,1.4842224807682245e-07,3.203132219872217,6.406264439744434
405.0,327.0308008113789,330.0976028891922,0.5,22.23144615704045,1.4848228970685022e-07,3.066802077813276,6.133604155626552
406.0,327.4817496462524,330.4112976101593,0.5,22.243734717965907,1.4854128670366287e-07,2.9295479639068667,5.859095927813733
407.0,327.9302540983353,330.72166323049487,0.5,22.25594241818078,1.4859926262225133e-07,2.7914091321595706,5.582818264319141
408.0,328.37633215354583,331.02875722833886,0.5,22.268069941922793,1.486562410176063e-07,2.6524250747930687,5.304850149586137
409.0,328.8200016379625,331.33263715704925,0.5,22.280117966493638,1.4871224544471888e-07,2.512635519086741,5.025271038173482
410.0,329.26128021938166,331.6333606436453,0.5,22.29208716233899,1.4876729945858006e-07,2.3720804242636353,4.744160848527271
411.0,329.70018540886053,331.9309853872803,0.5,22.30397819312748,1.4882142661418048e-07,2.230799978419802,4.461599956839604
