T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
457.0,347.5968725342621,343.2824606152731,0.5,22.77666302064918,1.5071674911467733e-07,-4.314411918988966,-8.628823837977931
458.0,347.94141647444263,343.50056579113726,0.5,22.785520131491833,1.5075388396176467e-07,-4.440850683305404,-8.881701366610807
459.0,348.284270111824,343.7184028092691,0.5,22.794324291904186,1.5079122259015456e-07,-4.56586730255488,-9.13173460510976
460.0,348.6254448919208,343.93603152055914,0.5,22.80307591249479,1.508287885548378e-07,-4.689413371361607,-9.378826742723215
461.0,348.96495216426797,344.15351179938267,0.5,22.811775400013932,1.5086660541080573e-07,-4.811440364885292,-9.622880729770584
462.0,349.30280318334866,344.3709035430215,0.5,22.820423157395528,1.509046967130491e-07,-4.931899640327194,-9.863799280654389
463.0,349.639009109512,344.5882666711003,0.5,22.829019583798573,1.5094308601655835e-07,-5.050742438411718,-10.101484876823436
464.0,349.9735810098815,344.80566112503755,0.5,22.837565074648108,1.5098179687632504e-07,-5.167919884843944,-10.335839769687889
465.0,350.3065298592541,345.023146867495,0.5,22.846060021675534,1.5102085284733963e-07,-5.283382991759158,-10.566765983518316
466.0,350.6378665409895,345.24078388185296,0.5,22.85450481295885,1.5106027748459298e-07,-5.397082659136503,-10.794165318273006
467.0,350.96760184789105,345.4586321716814,0.5,22.862899832961656,1.511000943430765e-07,-5.50896967620963,-11.01793935241926
468.0,351.2957464830768,345.67675176023016,0.5,22.871245462572553,1.5114032697778083e-07,-5.618994722846643,-11.237989445693286
469.0,351.62231106084147,345.8952026899231,0.5,22.87954207914336,1.5118099894369648e-07,-5.7271083709183515,-11.454216741836703
470.0,351.9473061075099,346.11404502187133,0.5,22.88779005652743,1.5122213379581494e-07,-5.833261085638574,-11.666522171277148
471.0,352.2707420622818,346.33333883538063,0.5,22.895989765116944,1.5126375508912693e-07,-5.937403226901136,-11.874806453802272
472.0,352.5926292780664,346.55314422748313,0.5,22.904141571880416,1.5130588637862288e-07,-6.039485050583287,-12.078970101166574
473.0,352.9129780223104,346.7735213124697,0.5,22.912245840399024,1.5134855121929442e-07,-6.1394567098407276,-12.278913419681455
474.0,353.2317984778156,346.9945302214315,0.5,22.92030293090309,1.5139177316613218e-07,-6.237268256384043,-12.474536512768086
475.0,353.54910074354865,347.21623110181355,0.5,22.928313200307866,1.514355757741269e-07,-6.332869641735114,-12.665739283470227
476.0,353.8648948354429,347.43868411697565,0.5,22.936277002248943,1.514799825982694e-07,-6.4262107184672494,-12.852421436934499
477.0,354.1791906871908,347.6619494457598,0.5,22.944194687117083,1.51525017193551e-07,-6.517241241431019,-13.034482482862037
478.0,354.4919981510292,347.8860872820685,0.5,22.952066602093005,1.5157070311496252e-07,-6.605910868960636,-13.211821737921271
479.0,354.80332699851544,348.11115783444654,0.5,22.959893091181264,1.516170639174943e-07,-6.692169164068869,-13.384338328137739
480.0,355.11318692129635,348.3372213256825,0.5,22.967674495244328,1.5166412315613797e-07,-6.775965595613871,-13.551931191227743
481.0,355.42158753186794,348.56433799239767,0.5,22.975411152035466,1.5171190438588396e-07,-6.857249539470288,-13.714499078940577
482.0,355.728538364329,348.79256808466687,0.5,22.98310339623221,1.5176043116172337e-07,-6.935970279662121,-13.871940559324242
483.0,356.0340488751248,349.0219718656246,0.5,22.990751559468382,1.5180972703864715e-07,-7.012077009500208,-14.024154019000417
484.0,356.33812844378497,349.2526096110929,0.5,22.998355970366564,1.5185981557164597e-07,-7.085518832692052,-14.171037665384103
485.0,356.6407863736519,349.4845416092144,0.5,23.00591695456993,1.519107203157109e-07,-7.156244764437494,-14.312489528874988
486.0,356.94203189260344,349.7178281600847,0.5,23.013434834773378,1.5196246482583291e-07,-7.224203732518721,-14.448407465037443
487.0,357.24187415376605,349.9525295753995,0.5,23.020909930754737,1.5201507265700267e-07,-7.289344578366515,-14.57868915673303
488.0,357.5403222362225,350.18870617810995,0.5,23.02834255940554,1.5206856736421146e-07,-7.3516160581125565,-14.703232116225113
489.0,357.83738514571036,350.42641830207185,0.5,23.035733034761005,1.5212297250244962e-07,-7.410966843638479,-14.821933687276958
490.0,358.1330718153151,350.66572629172134,0.5,23.04308166803034,1.5217831162670845e-07,-7.467345523593749,-14.934691047187497
491.0,358.4273911061541,350.90669050173807,0.5,23.05038876762603,1.52234608291979e-07,-7.520700604416042,-15.041401208832085
492.0,358.72035180805506,351.149371296725,0.5,23.057654639193274,1.522918860532516e-07,-7.570980511330068,-15.141961022660135
493.0,359.01196264022656,351.3938290508971,0.5,23.064879585638916,1.523501684655178e-07,-7.618133589329445,-15.23626717865889
494.0,359.3022322519217,351.6401241477621,0.5,23.07206390715973,1.5240947908376805e-07,-7.662108104159605,-15.32421620831921
495.0,359.5911692230952,351.88831697982596,0.5,23.07920790127103,1.5246984146299344e-07,-7.702852243269257,-15.405704486538514
496.0,359.87878206505326,352.1384679482885,0.5,23.086311862834247,1.5253127915818487e-07,-7.740314116764746,-15.480628233529492
497.0,360.16507922109696,352.39063746275406,0.5,23.09337608408468,1.5259381572433317e-07,-7.774441758342887,-15.548883516685773
498.0,360.4500690671592,352.6448859409433,0.5,23.100400854658673,1.5265747471642908e-07,-7.805183126215883,-15.610366252431765
499.0,360.73375991243375,352.9012738084147,0.5,23.10738646162056,1.5272227968946392e-07,-7.832486104019005,-15.66497220803801
500.0,361.01616000000007,353.1598614982866,0.5,23.11433318948932,1.5278825419842848e-07,-7.856298501713448,-15.712597003426897
501.0,361.29727750743905,353.4207094509652,0.5,23.12124132026472,1.5285542179831322e-07,-7.876568056473848,-15.753136112947695
502.0,361.5771205474447,353.6838781138875,0.5,23.128111133453604,1.5292380604410978e-07,-7.893242433557167,-15.786484867114334
503.0,361.8556971684276,353.94942794124995,0.5,23.134942906095233,1.5299343049080831e-07,-7.906269227177602,-15.812538454355204
504.0,362.1330153551133,354.2174193937663,0.5,23.141736912787064,1.5306431869340024e-07,-7.915595961346957,-15.831191922693915
505.0,362.40908302913425,354.4879129384062,0.5,23.14849342570941,1.5313649420687625e-07,-7.921170090728039,-15.842340181456079
506.0,362.68390804961535,354.76096904816154,0.5,23.155212714650816,1.5320998058622733e-07,-7.922939001453817,-15.845878002907634
507.0,362.9574982137536,355.03664820179625,0.5,23.16189504703197,1.5328480138644428e-07,-7.920850011957303,-15.841700023914607
508.0,363.2298612573918,355.3150108836176,0.5,23.168540687930378,1.5336098016251778e-07,-7.914850373774165,-15.82970074754833
509.0,363.5010048555864,355.59611758324667,0.5,23.175149900104234,1.5343854046943934e-07,-7.904887272339731,-15.809774544679462
510.0,363.77093662316906,355.88002879538533,0.5,23.181722944015924,1.5351750586219967e-07,-7.890907827783771,-15.781815655567542
511.0,364.0396641153031,356.1668050196002,0.5,23.18826007785569,1.5359789989578912e-07,-7.8728590957029,-15.7457181914058
512.0,364.30719482803346,356.4565067601049,0.5,23.194761557564544,1.5367974612519921e-07,-7.850688067928542,-15.701376135857084
513.0,364.5735361988317,356.74919452554724,0.5,23.201227636857386,1.5376306810542075e-07,-7.824341673284432,-15.648683346568864
514.0,364.83869560713475,357.04492882879657,0.5,23.207658567245357,1.538478893914442e-07,-7.793766778338189,-15.587533556676378
515.0,365.1026803748787,357.3437701867458,0.5,23.21405459805837,1.5393423353826096e-07,-7.7589101881328535,-15.517820376265707
516.0,365.3654977670264,357.64577912010685,0.5,23.220415976467198,1.5402212410086196e-07,-7.719718646919531,-15.439437293839061
517.0,365.6271549920904,357.95101615321283,0.5,23.22674294750522,1.5411158463423744e-07,-7.676138838877622,-15.352277677755245
518.0,365.8876592026501,358.25954181383065,0.5,23.23303575409006,1.5420263869337903e-07,-7.628117388819474,-15.256234777638948
519.0,366.14701749586345,358.5714166329687,0.5,23.239294637045024,1.5429530983327753e-07,-7.575600862894765,-15.15120172578953
520.0,366.4052369139736,358.8867011446916,0.5,23.245519835120085,1.543896216089235e-07,-7.518535769282029,-15.037071538564058
521.0,366.6623244448105,359.20545588594047,0.5,23.251711585012742,1.5448559757530797e-07,-7.45686855887005,-14.9137371177401
522.0,366.91828702228696,359.52774139635596,0.5,23.25787012138875,1.545832612874219e-07,-7.390545625930996,-14.781091251861993
523.0,367.1731315268902,359.85361821810477,0.5,23.263995676902518,1.5468263630025633e-07,-7.319513308785385,-14.63902661757077
524.0,367.42686478616747,360.18314689570417,0.5,23.270088482217062,1.547837461688017e-07,-7.243717890463321,-14.487435780926642
525.0,367.6794935752079,360.51638797586355,0.5,23.276148766024207,1.5488661444804954e-07,-7.163105599344384,-14.326211198688767
526.0,367.93102461711817,360.85340200731287,0.5,23.2821767550641,1.5499126469299044e-07,-7.077622609805272,-14.155245219610544
527.0,368.18146458349435,361.1942495406467,0.5,23.288172674144807,1.5509772045861497e-07,-6.987215042847621,-13.974430085695243
528.0,368.4308200948883,361.53899112816794,0.5,23.294136746161506,1.5520600529991466e-07,-6.891828966720367,-13.783657933440734
529.0,368.6790977212695,361.88768732372927,0.5,23.300069192115483,1.5531614277188008e-07,-6.791410397540231,-13.582820795080462
530.0,368.92630398248224,362.24039868258876,0.5,23.305970231133212,1.5542815642950192e-07,-6.68590529989346,-13.37181059978692
531.0,369.172445348698,362.5971857612589,0.5,23.31184008048467,1.555420698277715e-07,-6.57525958743908,-13.15051917487816
532.0,369.41752824086336,362.9581091173617,0.5,23.31767895560189,1.5565790652167968e-07,-6.459419123501689,-12.918838247003379
533.0,369.66155903114344,363.3232293094875,0.5,23.32348707009718,1.5577569006621687e-07,-6.3383297216559615,-12.676659443311923
534.0,369.9045440433604,363.6926068970592,0.5,23.32926463578102,1.558954440163748e-07,-6.211937146301179,-12.423874292602358
535.0,370.1464895534279,364.066302440192,0.5,23.335011862680027,1.560171919271435e-07,-6.080187113235909,-12.160374226471818
536.0,370.38740178978134,364.44437649956393,0.5,23.340728959054324,1.5614095735351439e-07,-5.9430252902173795,-11.886050580434759
537.0,370.62728693380285,364.826889636285,0.5,23.346416131415165,1.5626676385047827e-07,-5.800397297517858,-11.600794595035715
538.0,370.86615112024293,365.2139024117693,0.5,23.352073584542005,1.5639463497302615e-07,-5.652248708473649,-11.304497416947298
539.0,371.1040004376374,365.60547538761034,0.5,23.357701521499553,1.565245942761489e-07,-5.498525050027033,-10.997050100054066
540.0,371.34084092872024,366.0016691254581,0.5,23.363300143654605,1.566566653148369e-07,-5.33917180326218,-10.67834360652436
541.0,371.5766785908319,366.4025441869019,0.5,23.36886965069258,1.567908716440818e-07,-5.174134403930012,-10.348268807860023
542.0,371.81151937632393,366.80816113335146,0.5,23.374410240634184,1.5692723681887402e-07,-5.00335824297248,-10.00671648594496
543.0,372.04536919295964,367.21858052592313,0.5,23.379922109851474,1.570657843942047e-07,-4.8267886670365385,-9.653577334073077
544.0,372.27823390431007,367.63386292532715,0.5,23.385405453084054,1.5720653792506464e-07,-4.644370978982873,-9.288741957965746
545.0,372.5101193301463,368.05406889175947,0.5,23.390860463454967,1.5734952096644492e-07,-4.456050438386839,-8.912100876773678
546.0,372.7410312468284,368.4792589847898,0.5,23.396287332486313,1.5749475707333591e-07,-4.261772262038592,-8.523544524077185
547.0,372.9709753876894,368.909493763265,0.5,23.401686250115034,1.5764226980072926e-07,-4.061481624424369,-8.122963248848738
548.0,373.199957443416,369.3448337851993,0.5,23.4070574047082,1.5779208270361552e-07,-3.855123658216751,-7.710247316433502
549.0,373.42798306242577,369.7853396076731,0.5,23.412400983078076,1.5794421933698518e-07,-3.642643454752649,-7.285286909505298
550.0,373.65505785123975,370.2310717867412,0.5,23.417717170497365,1.5809870325582976e-07,-3.42398606449853,-6.84797212899706
551.0,373.8811873748518,370.6820908773321,0.5,23.423006150714123,1.5825555801514005e-07,-3.1990964975196774,-6.398192995039355
552.0,374.1063771570947,371.13845743315284,0.5,23.428268105966275,1.5841480716990694e-07,-2.967919723941866,-5.935839447883732
553.0,374.33063268100125,371.6002320065976,0.5,23.433503216996296,1.585764742751209e-07,-2.7304006744036347,-5.460801348807269
554.0,374.5539593891634,372.06747514866214,0.5,23.438711663065686,1.5874058288577337e-07,-2.4864842405012735,-4.972968481002547
555.0,374.7763626840866,372.5402474088494,0.5,23.443893621969057,1.5890715655685512e-07,-2.2361152752372457,-4.4722305504744915
556.0,374.9978479285409,373.01860933508624,0.5,23.449049270048345,1.5907621884335662e-07,-1.9792385934546712,-3.9584771869093425
557.0,375.218420445909,373.50262147364157,0.5,23.454178782206675,1.5924779330026951e-07,-1.7157989722674098,-3.4315979445348197
558.0,375.4380855205301,373.99234436903856,0.5,23.45928233192214,1.5942190348258427e-07,-1.4457411514915368,-2.8914823029830736
559.0,375.6568483980413,374.48783856397785,0.5,23.464360091261465,1.5959857294529145e-07,-1.1690098340634412,-2.3380196681268823
560.0,375.8747142857143,374.98916459926176,0.5,23.469412230893546,1.597778252433827e-07,-0.8855496864525403,-1.7710993729050806
561.0,376.0916883527901,375.49638301370936,0.5,23.47443892010258,1.599596839318486e-07,-0.59530533908069,-1.19061067816138
562.0,376.3077757308092,376.00955434408854,0.5,23.47944032680154,1.6014417256567973e-07,-0.2982213867206703,-0.5964427734413406
563.0,376.5229815139399,376.5287391250404,0.5,23.484416617544962,1.603313146998677e-07,0.005757611100500124,0.011515222201000248
564.0,376.7373107593016,377.0539978890052,0.5,23.489367957542058,1.6052113388940259e-07,0.3166871297035846,0.6333742594071692
565.0,376.9507684872863,377.5853911661563,0.5,23.494294510669306,1.607136536892759e-07,0.6346226788699504,1.2692453577399008
566.0,377.16335968187684,378.12297948432894,0.5,23.499196439483235,1.6090889765447832e-07,0.9596198024520604,1.9192396049041207
567.0,377.37508929096094,378.66682336895366,0.5,23.50407390523278,1.6110688934000075e-07,1.2917340779927315,2.583468155985463
568.0,377.58596222664295,379.21698334299293,0.5,23.508927067871788,1.613076523008341e-07,1.6310211163499848,3.2620422326999696
569.0,377.7959833655529,379.77351992687574,0.5,23.513756086071133,1.6151121009196932e-07,1.9775365613228246,3.9550731226456493
570.0,378.0051575491514,380.33649363843523,0.5,23.518561117230846,1.6171758626839724e-07,2.3313360892837975,4.662672178567595
571.0,378.21348958403274,380.9059649928486,0.5,23.523342317492023,1.6192680438510895e-07,2.6924754088158678,5.3849508176317356
572.0,378.42098424222365,381.48199450257704,0.5,23.528099841748784,1.6213888799709482e-07,3.061010260353361,6.122020520706722
573.0,378.6276462614807,382.06464267731013,0.5,23.532833843659848,1.6235386065934638e-07,3.436996415829387,6.873992831658774
574.0,378.8334803455835,382.6539700239064,0.5,23.53754447566019,1.625717459268544e-07,3.820489678322922,7.640979356645844
575.0,379.0384911646256,383.25003704634,0.5,23.542231888972587,1.6279256735460927e-07,4.2115458817144065,8.423091763428813
576.0,379.2426833553027,383.85290424564664,0.5,23.546896233618682,1.630163484976025e-07,4.6102208903439665,9.220441780687933
577.0,379.4460615211971,384.46263211987196,0.5,23.551537658430533,1.632431129108249e-07,5.016570598674803,10.033141197349606
578.0,379.64863023306117,385.0792811640167,0.5,23.55615631106143,1.634728841492669e-07,5.430650930955523,10.861301861911047
579.0,379.8503940290958,385.7029118699945,0.5,23.560752337997112,1.6370568576792017e-07,5.852517840898733,11.705035681797465
580.0,380.0513574152282,386.33358472657403,0.5,23.565325884566402,1.6394154132177517e-07,6.282227311345823,12.564454622691645
581.0,380.25152486538536,386.9713602193372,0.5,23.569877094952133,1.6418047436582236e-07,6.719835353951829,13.439670707903659
582.0,380.4509008217661,387.61629883063534,0.5,23.574406112201743,1.644225084550534e-07,7.165398008869242,14.330796017738484
583.0,380.6494896951097,388.2684610395366,0.5,23.578913078237644,1.6466766714445894e-07,7.6189713444268845,15.237942688853769
584.0,380.8472958649622,388.92790732178923,0.5,23.583398133867885,1.649159739890299e-07,8.080611456827068,16.161222913654136
585.0,381.04432367994013,389.59469814977433,0.5,23.587861418796255,1.6516745254375683e-07,8.550374469834171,17.100748939668343
586.0,381.2405774579917,390.2688939924675,0.5,23.59230307163251,1.6542212636363108e-07,9.028316534475769,18.056633068951538
587.0,381.43606148665503,390.9505553153981,0.5,23.596723229902594,1.6568001900364362e-07,9.514493828743037,19.028987657486073
588.0,381.63078002331486,391.63974258060534,0.5,23.60112203005841,1.6594115401878462e-07,10.008962557290435,20.01792511458087
589.0,381.8247372954556,392.3365162466073,0.5,23.605499607487786,1.662055549640458e-07,10.511778951151738,21.023557902303477
590.0,382.01793750091304,393.0409367683583,0.5,23.6098560965243,1.6647324539441787e-07,11.022999267445229,22.045998534890458
591.0,382.21038480812246,393.75306459721423,0.5,23.614191630456908,1.667442488648914e-07,11.542679789091803,23.085359578183606
592.0,382.40208335636584,394.47296018089764,0.5,23.618506341539412,1.6701858893045758e-07,12.07087682453177,24.14175364906354
593.0,382.5930372560151,395.20068396346414,0.5,23.622800361000102,1.6729628914610731e-07,12.607646707449042,25.215293414898085
594.0,382.78325058877425,395.93629638526664,0.5,23.627073819051,1.6757737306683108e-07,13.153045796492403,26.306091592984806
595.0,382.9727274079182,396.67985788292606,0.5,23.631326844897092,1.678618642476203e-07,13.707130475007817,27.414260950015635
596.0,383.16147173853045,397.431428889299,0.5,23.635559566745677,1.6814978624346585e-07,14.269957150768503,28.539914301537006
597.0,383.34948757773736,398.1910698334446,0.5,23.639772111815248,1.6844116260935833e-07,14.841582255707253,29.683164511414507
598.0,383.53677889494105,398.9588411405994,0.5,23.643964606344603,1.6873601690028884e-07,15.422062245658358,30.844124491316716
599.0,383.7233496320492,399.7348032321448,0.5,23.648137175601644,1.6903437267124826e-07,16.011453600095688,32.022907200191376
600.0,383.9092037037037,400.51901652558234,0.5,23.652289943892303,1.6933625347722738e-07,16.609812821878602,33.219625643757205
