T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_low_J_per_molK,Cv_high_J_per_molK,contrib_low_1e-8_per_K,contrib_high_1e-8_per_K
408.0,328.37633215354583,330.19044124898045,0.5,1.8141090954346157,3.6282181908692315,11.805256864699743,9.959516953204352,-111.26782147939846,441.4582627283789
409.0,328.8200016379625,330.6351891982053,0.5,1.8151875602427738,3.6303751204855477,11.808345455672216,9.970207441779525,-111.29693230628573,441.932121504491
410.0,329.26128021938166,331.07728127910804,0.5,1.8160010597263772,3.6320021194527543,11.811413007450456,9.980833538898892,-111.32584483292975,442.4031261120378
411.0,329.70018540886053,331.5167370291979,0.5,1.8165516203373824,3.6331032406747648,11.814459707116209,9.9913957251192,-111.35456082262786,442.8712978518258
412.0,330.1367345622466,331.9535758263581,0.5,1.8168412641114864,3.6336825282229728,11.817485739718274,10.001894476963658,-111.38308201951637,443.33665784587447
413.0,330.5709448816926,332.3878168900891,0.5,1.8168720083964813,3.6337440167929627,11.82049128829834,10.012330266955502,-111.41141014881394,443.799227038903
414.0,331.00283341715766,332.8194792827543,0.5,1.8166458655966216,3.633291731193243,11.823476533916516,10.022703563651516,-111.43954691706239,444.2590261998167
415.0,331.4324170678942,333.2485819108164,0.5,1.8161648429221975,3.632329685844395,11.826441655676394,10.033014831675255,-111.46749401236272,444.7160759231791
416.0,331.8597125839213,333.6751435260694,0.5,1.8154309421480894,3.630861884296179,11.829386830749934,10.043264531750124,-111.49525310460984,445.1703966306792
417.0,332.28473656748395,334.09918272686593,0.5,1.8144461593819765,3.628892318763953,11.832312234401728,10.053453120732247,-111.52282584572117,445.6220085725871
418.0,332.70750547449876,334.5207179593404,0.5,1.8132124848416091,3.6264249696832183,11.835218040013086,10.063581051643157,-111.55021386986364,446.070931829204
419.0,333.1280356159856,334.93976751861965,0.5,1.8117319026340735,3.623463805268147,11.838104419105864,10.073648773702201,-111.57741879367833,446.517186312298
420.0,333.54634315948607,335.35634955004167,0.5,1.8100063905555936,3.6200127811111873,11.840971541365636,10.083656732358943,-111.60444221649888,446.9607917665405
421.0,333.96244413046793,335.7704820503515,0.5,1.8080379198836285,3.616075839767257,11.843819574664952,10.0936053693251,-111.63128572057063,447.40176777092216
422.0,334.3763544137167,336.18218286890607,0.5,1.8058284551894228,3.6116569103788456,11.846648685085798,10.103495122606494,-111.6579508712624,447.84013374016854
423.0,334.788089754713,336.5914697088606,0.5,1.8033799541476372,3.6067599082952744,11.849459036942237,10.113326426534638,-111.6844392172798,448.2759089261404
424.0,335.1976657609973,336.99836012835976,0.5,1.8006943673624514,3.6013887347249027,11.852250792802293,10.12309971179826,-111.7107522908716,448.70911241923136
425.0,335.60509790352125,337.40287154171506,0.5,1.7977736381937954,3.595547276387591,11.855024113509769,10.132815405474496,-111.73689160803522,449.13976314975025
426.0,336.01040151798554,337.8050212205768,0.5,1.7946197025912478,3.5892394051824956,11.857779158205693,10.14247393105991,-111.76285866871906,449.56787988929585
427.0,336.41359180616485,338.2048262951039,0.5,1.7912344889390694,3.582468977878139,11.86051608434948,10.152075708501368,-111.78865495702176,449.99348125212566
428.0,336.8146838372204,338.60230375512117,0.5,1.7876199179007735,3.575239835801547,11.863235047739728,10.161621154226571,-111.81428194138833,450.41658569650946
429.0,337.21369254899867,338.99747045127464,0.5,1.7837779022759772,3.5675558045519544,11.865936202534812,10.171110681174515,-111.83974107480427,450.83721152607893
430.0,337.6106327493177,339.39034309617887,0.5,1.7797103468611912,3.5594206937223825,11.868619701273166,10.180544698825656,-111.86503379498659,451.25537689116544
431.0,338.0055191172411,339.78093826555585,0.5,1.7754191483147612,3.5508382966295224,11.871285694893155,10.189923613231867,-111.89016152457128,451.67109979012713
432.0,338.3983662043388,340.16927239936683,0.5,1.7709061950280334,3.5418123900560667,11.87393433275281,10.199247827046143,-111.91512567129925,452.08439807066605
433.0,338.78918843593556,340.5553618029427,0.5,1.766173367007109,3.532346734014218,11.876565762649367,10.208517739552263,-111.93992762820044,452.49528943114314
434.0,339.1780001123474,340.93922264809987,0.5,1.7612225357525229,3.5224450715050457,11.879180130838305,10.217733746694025,-111.96456877377331,452.9037914218732
435.0,339.5648154101045,341.32087097425216,0.5,1.7560555641476905,3.512111128295381,11.881777582052216,10.22689624110432,-111.98905047216269,453.3099214464148
436.0,339.9496483831636,341.70032268951996,0.5,1.7506743063563304,3.5013486127126607,11.884358259519434,10.236005612134145,-112.0133740733354,453.71369676285536
437.0,340.3325129641071,342.07759357182476,0.5,1.7450806077176453,3.4901612154352906,11.88692230498246,10.24506224588119,-112.03754091325384,454.11513448507856
438.0,340.7134229653298,342.45269926997923,0.5,1.739276304649421,3.478552609298842,11.889469858716021,10.254066525218285,-112.06155231404618,454.51425158402543
439.0,341.0923920802151,342.8256553047772,0.5,1.7332632245620525,3.466526449124105,11.892001059544844,10.26301882982176,-112.08540958417406,454.9110648889512
440.0,341.46943388429753,343.1964770700617,0.5,1.7270431857641422,3.4540863715282843,11.89451604486144,10.271919536199334,-112.10911401859997,455.30559108866163
441.0,341.8445618364156,343.56517983380155,0.5,1.7206179973859286,3.441235994771857,11.897014950643259,10.280769017718042,-112.13266689894911,455.69784673275063
442.0,342.2177892798508,343.9317787391487,0.5,1.713989459297843,3.427978918595686,11.899497911470009,10.289567644631767,-112.1560694936726,456.0878482328213
443.0,342.58912944345695,344.2962888054966,0.5,1.7071593620396566,3.414318724079313,11.901965060540345,10.298315784108684,-112.17932305820469,456.4756118637013
444.0,342.95859544277664,344.65872492952377,0.5,1.700129486747126,3.400258973494252,11.904416529688715,10.30701380025837,-112.20242883512165,456.8611537646454
445.0,343.3262002811471,345.0191018862373,0.5,1.6929016050902033,3.3858032101804065,11.906852449401631,10.31566205415881,-112.22538805429504,457.2444899405324
446.0,343.691956850795,345.3774343300045,0.5,1.6854774792094656,3.370954958418931,11.909272948833928,10.324260903883133,-112.24820193304504,457.6256362630495
447.0,344.05587793391913,345.7337367955781,0.5,1.6778588616589833,3.3557177233179667,11.91167815582478,10.332810704526137,-112.27087167629132,458.00460847186946
