T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K,alpha_contrib_E3_1e-8_per_K
402.0,325.66310572013083,326.90844541052047,0.5,2.4906793807793237,286.1815174784012,-164.6969600544795,-500.69494019482096,706.1188281814198
403.0,326.121497240944,327.36113725757593,0.5,2.4792800332638616,286.3431540625857,-164.71650163350662,-501.2402686593698,706.9747534878666
404.0,326.5773894463851,327.8111204222246,0.5,2.4674619516789513,286.5037209730813,-164.73590103115023,-501.7822532355566,707.8255537158501
405.0,327.0308008113789,328.2584147775095,0.5,2.455227932261108,286.6632273074134,-164.7551596166119,-502.3209193567888,708.6712664434967
406.0,327.4817496462524,328.7030400358046,0.5,2.4425807791043486,286.8216820704987,-164.77427874273408,-502.8562922385103,709.5119289465503
407.0,327.9302540983353,329.1450157500327,0.5,2.429523303394812,286.9790941757156,-164.79325974623302,-503.388396880066,710.3475782006161
408.0,328.37633215354583,329.58436131487827,0.5,2.4160583226648624,287.1354724459628,-164.81210394792777,-503.9172580665553,711.1782508833985
409.0,328.8200016379625,330.02109596799625,0.5,2.402188660067435,287.2908256147023,-164.83081265296514,-504.44290037067435,712.0039833769334
410.0,329.26128021938166,330.45523879121663,0.5,2.387917143669952,287.4451623269911,-164.84938715104155,-504.9653481545478,712.8248117698149
411.0,329.70018540886053,330.88680871174694,0.5,2.3732466057728803,287.5984911404998,-164.86782871662066,-505.4846255715469,713.6407718594148
412.0,330.1367345622466,331.3158245033668,0.5,2.3581798822403255,287.7508205265172,-164.8861386091474,-506.0007565680996,714.4518991540966
413.0,330.5709448816926,331.74230478762075,0.5,2.3427198118562846,287.9021588709449,-164.90431807325922,-506.5137648854857,715.2582288754209
414.0,331.00283341715766,332.1662680350043,0.5,2.3268692356932683,288.05251447527564,-164.9223683389933,-507.0236740616224,716.0597959603443
415.0,331.4324170678942,332.5877325661459,0.5,2.310630996503454,288.20189555756406,-164.94029062199053,-507.53050743283757,716.8566350634101
416.0,331.8597125839213,333.0067165529859,0.5,2.2940079381291496,288.3503102533814,-164.95808612369603,-508.0342881356304,717.6487805589309
417.0,332.28473656748395,333.4232380199455,0.5,2.2770029049230014,288.4977666167601,-164.9757560315571,-508.53503910842073,718.4362665431632
418.0,332.70750547449876,333.83731484509497,0.5,2.2596187411924236,288.64427262112775,-164.99330151921723,-509.032783093288,719.2191268364725
419.0,333.1280356159856,334.24896476131494,0.5,2.241858290658683,288.78983616022623,-165.01072374670696,-509.52754263769395,719.9973949854896
420.0,333.54634315948607,334.6582053574496,0.5,2.2237243959270816,288.9344650490218,-165.02802386063257,-510.01934009619856,720.7711042652589
421.0,333.96244413046793,335.0650540794595,0.5,2.205219897983225,289.07816702460394,-165.04520299436092,-510.50819763215895,721.5402876813755
422.0,334.3763544137167,335.4695282315619,0.5,2.186347635690561,289.2209497470711,-165.06226226820164,-510.9941372194197,722.3049779721123
423.0,334.788089754713,335.8716449773743,0.5,2.1671104453226513,289.36282080040866,-165.0792027895859,-511.47718064398896,723.0652076105405
424.0,335.1976657609973,336.2714213410401,0.5,2.147511160085527,289.5037876933519,-165.09602565324377,-511.9573495057032,723.8210088066351
425.0,335.60509790352125,336.66887420836025,0.5,2.127552609677993,289.6438578602414,-165.11273194137664,-512.4346652198788,724.5724135093743
426.0,336.01040151798554,337.0640203279087,0.5,2.1072376198462632,289.7830386618658,-165.12932272382923,-512.9091490189531,725.3194534088253
427.0,336.41359180616485,337.45687631215077,0.5,2.086569011971872,289.921337386297,-165.14579905825673,-513.3808219541113,726.0621599382218
428.0,336.8146838372204,337.84745863854624,0.5,2.065549602651721,290.05876124971076,-165.16216199029094,-513.8497048969015,726.8005642760279
429.0,337.21369254899867,338.235783650653,0.5,2.0441822033086092,290.19531739720077,-165.1784125537027,-514.3158185408388,727.5346973479938
430.0,337.6106327493177,338.6218675592206,0.5,2.0224696198059218,290.3310129035799,-165.1945517705629,-514.7791834029942,728.2645898291979
431.0,338.0055191172411,339.00572644327997,0.5,2.0004146520778114,290.46585477417466,-165.2105806513994,-515.2398198255756,728.9902721460804
432.0,338.3983662043388,339.3873762512232,0.5,1.9780200937688732,290.59984994560716,-165.2265001953531,-515.6977479774913,729.7117744784605
433.0,338.78918843593556,339.76683280187814,0.5,1.9552887318850813,290.7330052865664,-165.24231139033068,-516.1529878559056,730.429126761548
434.0,339.1780001123474,340.14411178558134,0.5,1.9322233464679353,290.86532759857624,-165.25801521315492,-516.6055592877791,731.1423586879391
435.0,339.5648154101045,340.51922876523327,0.5,1.9088267102575962,290.99682361674394,-165.2736126297131,-517.0554819313991,731.8514997096015
436.0,339.9496483831636,340.8921991773573,0.5,1.885101588387445,291.12750001050995,-165.28910459510308,-517.5027752778961,732.5565790398466
437.0,340.3325129641071,341.26303833314785,0.5,1.861050738081523,291.2573633843795,-165.3044920537766,-517.9474586527482,733.2576256552932
438.0,340.7134229653298,341.6317614195106,0.5,1.8366769083615444,291.38642027865245,-165.3197759396811,-518.3895512172745,733.9546682978137
439.0,341.0923920802151,341.9983835000979,0.5,1.8119828397654245,291.5146771701388,-165.33495717639872,-518.8290719701151,734.6477354764729
440.0,341.46943388429753,342.36291951633535,0.5,1.786971264075639,291.642140472867,-165.35003667728353,-519.2660397486995,735.3368554694513
441.0,341.8445618364156,342.725384288445,0.5,1.76164490405876,291.7688165387863,-165.36501534559653,-519.7004732307032,736.0220563259585
442.0,342.2177892798508,343.0857925164562,0.5,1.7360064732106681,291.8947116584552,-165.37989407463874,-520.1323909354915,736.7033658681311
443.0,342.58912944345695,343.4441587812163,0.5,1.7100586755187068,292.0198320617266,-165.39467374788182,-520.5618112255513,737.3808116929227
444.0,342.95859544277664,343.80049754538646,0.5,1.6838042052196844,292.14418391842094,-165.4093552390976,-520.9887523079127,738.0544211739758
445.0,343.3262002811471,344.15482315443904,0.5,1.6572457465838806,292.2677733389926,-165.42393941248426,-521.4132322355558,738.7242214634865
446.0,343.691956850795,344.5071498376408,0.5,1.6303859736915147,292.39060637518816,-165.43842712279198,-521.8352689088081,739.3902394940527
447.0,344.05587793391913,344.85749170903426,0.5,1.6032275502302196,292.5126890206971,-165.45281921544597,-522.2548800767283,740.0525019805115
448.0,344.4179762037628,345.20586276840714,0.5,1.5757731292887056,292.6340272117902,-165.46711652666764,-522.6720833384793,740.7110354217639
449.0,344.7782642256753,345.55227690226144,0.5,1.5480253531722756,292.75462682795893,-165.481319883594,-523.08689614469,741.3658661025864
450.0,345.1367544581618,345.896747884769,0.5,1.5199868532144454,292.87449369253835,-165.49543010439572,-523.499335798803,742.0170200954294
451.0,345.4934592539236,346.23928937872336,0.5,1.4916602495994897,292.9936335733257,-165.50944799839257,-523.909419458415,742.6645232622052
452.0,345.8483908608862,346.57991493648416,0.5,1.4630481511960018,293.11205218319304,-165.5233743661681,-524.3171641365993,743.3084012560586
453.0,346.2015614232179,346.91863800091494,0.5,1.4341531553940068,293.2297551806893,-165.53720999968147,-524.7225867032239,743.948679523131
