T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K
363.0,305.6193629480609,307.0113337744385,0.5,2.78394165275531,213.79107773224115,-148.79318935809806,242.0134454002954
364.0,306.19158566876916,307.5851469643156,0.5,2.7871225910928343,213.95323753330248,-148.8171326847598,242.4490421157729
365.0,306.76044151798,308.15534052870754,0.5,2.7897980214550966,214.11424014080498,-148.84088404969188,242.8819844375944
366.0,307.3259567880295,308.7219416705591,0.5,2.7919697650592417,214.27409606111195,-148.86444548699367,243.3122910964408
367.0,307.8881575335232,309.28497738219033,0.5,2.7936396973342155,214.43281568806822,-148.8878190040619,243.73998069818404
368.0,308.44706957343635,309.84447444643547,0.5,2.7948097459982577,214.59040930433397,-148.91100658200796,244.16507172410945
369.0,309.00271849320575,310.40045943779774,0.5,2.7954818891839075,214.74688708270503,-148.9340101760669,244.5875825311596
370.0,309.55512964681265,310.95295872361834,0.5,2.795658153611376,214.90225908741778,-148.95683171599944,245.00753135220003
371.0,310.1043281588568,311.5019984652532,0.5,2.7953406127928395,215.0565352754342,-148.9794731064864,245.42493629630542
372.0,310.6503389266209,312.0476046192643,0.5,2.7945313852867866,215.2097254977158,-149.00193622751678,245.83981534906528
373.0,311.1931866221248,312.58980293861913,0.5,2.7932326329886226,215.36183950047882,-149.02422293476812,246.25218637290843
374.0,311.7328956941695,313.128618973901,0.5,2.791446559462945,215.51288692643513,-149.04633505998024,246.6620671074461
375.0,312.26949037037036,313.66407807452754,0.5,2.789175408314362,215.662877316018,-149.06827441132313,247.06947516983266
376.0,312.8029946591796,314.1962053899752,0.5,2.786421461591172,215.81182010859052,-149.09004277375703,247.47442805514171
377.0,313.3334323518966,314.72502587101644,0.5,2.7831870382397006,215.95972464364357,-149.1116419093871,247.87694313675996
378.0,313.86082702466757,315.25056427095893,0.5,2.779474492582688,216.10660016197534,-149.13307355781154,248.27703766679514
379.0,314.38520204047256,315.77284514689217,0.5,2.7752862128392697,216.25245580685626,-149.15433943646357,248.67472877649948
380.0,314.9065805511007,316.2918928609422,0.5,2.770624619682903,216.39730062518296,-149.17544124094724,249.07003347670644
381.0,315.424985499113,316.8077315815266,0.5,2.7654921648271604,216.54114356861274,-149.1963806453678,249.46296865828168
382.0,315.940439619792,317.3203852846195,0.5,2.759891329654892,216.68399349468848,-149.2171593026557,249.85355109258663
383.0,316.45296544307956,317.82987775501687,0.5,2.7538246238746598,216.82585916794858,-149.2377788448854,250.2417974319537
384.0,316.9625852955006,318.3362325876057,0.5,2.7472945842101266,216.96674926102,-149.25824088358857,250.62772421017425
385.0,317.4693213020746,318.83947318863807,0.5,2.7403037731268793,217.10667235570264,-149.27854701006157,251.01134784299694
386.0,317.97319538821296,319.33962277700493,0.5,2.7328547775839023,217.2456369440355,-149.29869879566792,251.39268462863734
387.0,318.47422928160364,319.8367043855164,0.5,2.724950207825539,217.3836514293549,-149.3186977921353,251.77175074829682
388.0,318.9724445140812,320.3307408621772,0.5,2.7165926961920883,217.5207241273329,-149.3385455318479,252.14856226669224
389.0,319.4678624234843,320.8217548714689,0.5,2.7077848959692807,217.6568632670079,-149.35824352813262,252.52313513259364
390.0,319.96050415549826,321.30976889563163,0.5,2.6985294802667195,217.7920769918023,-149.37779327554222,252.89548517937152
391.0,320.45039066548446,321.79480523594407,0.5,2.688829140919282,217.92637336052377,-149.39719625013146,253.26562812555176
392.0,320.93754272029514,322.27688601400524,0.5,2.678686587420195,218.05976034835655,-149.41645390973036,253.6335795753791
393.0,321.42198090007463,322.756033173017,0.5,2.668104545884691,218.19224584784212,-149.43556769421167,253.99935501938654
