T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein_1e-8_per_K,residual_1e-8_per_K,z
377.0,313.3334323518966,315.89945483634216,0.5,21.85152347484084,20.30246690321142,-423.6250531162349,739.5245079525771,2.5660224844456008,5.1320449688912015
378.0,313.86082702466757,316.4003388073158,0.5,21.866384828465925,20.32412747449883,-423.9131630837644,740.3135018910801,2.539511782648199,5.079023565296398
379.0,314.38520204047256,316.89797892335287,0.5,21.881142987901963,20.345644068279043,-424.1992724748185,741.0972513981714,2.5127768828803014,5.025553765760603
380.0,314.9065805511007,317.39240104008206,0.5,21.89579886854405,20.36701788157428,-424.48339903572463,741.8758000758068,2.4858204889813584,4.971640977962717
381.0,315.424985499113,317.8836307849877,0.5,21.910353376150653,20.388250100014577,-424.7655603259902,742.6491911109779,2.4586452858746703,4.917290571749341
382.0,315.940439619792,318.37169355930956,0.5,21.924807406957434,20.40934189795049,-425.04577372050784,743.4174672798174,2.431253939517537,4.862507879035074
383.0,316.45296544307956,318.8566145399352,0.5,21.93916184778955,20.43029443856482,-425.32405641173347,744.1806709516686,2.4036490968556468,4.8072981937112935
384.0,316.9625852955006,319.3384186812918,0.5,21.95341757617225,20.451108873983433,-425.60042541183014,744.9388440931219,2.3758333857911427,4.751666771582285
385.0,317.4693213020746,319.81713071722044,0.5,21.967575460440607,20.471786345385095,-425.8748975547955,745.6920282720159,2.3478094151458615,4.695618830291723
386.0,317.97319538821296,320.2927751628532,0.5,21.981636359847368,20.492327983110414,-426.14748949855215,746.4402646614053,2.3195797746402413,4.639159549280483
387.0,318.47422928160364,320.76537631646937,0.5,21.995601124670074,20.512734906769815,-426.4182177270249,747.1835940434943,2.29114703486571,4.58229406973142
388.0,318.9724445140812,321.23495826135905,0.5,22.00947059631609,20.5330082253506,-426.6870985521766,747.9220568135357,2.2625137472779087,4.525027494555817
389.0,319.4678624234843,321.70154486766546,0.5,22.023245607426897,20.553149037323024,-426.95414811603024,748.6556929836956,2.23368244418119,4.46736488836238
390.0,319.96050415549826,322.1651597942214,0.5,22.03692698198107,20.57315843074553,-427.21938239266484,749.3845421868862,2.2046556387231133,4.409311277446227
391.0,320.45039066548446,322.6258264903801,0.5,22.05051553539558,20.593037483368928,-427.4828171901801,750.1086436805602,2.175435824895672,4.350871649791344
392.0,320.93754272029514,323.0835681978355,0.5,22.064012074626103,20.612787262739747,-427.7444681526404,750.8280363504759,2.1460254775403342,4.2920509550806685
393.0,321.42198090007463,323.53840795242644,0.5,22.07741739826625,20.63240882630258,-428.00435076199875,751.5427587144252,2.1164270523517703,4.232854104703541
394.0,321.90372560004596,323.99036858594275,0.5,22.090732296645037,20.65190322150156,-428.2624803399866,752.2528489259294,2.086642985896782,4.173285971793564
395.0,322.3827970322835,324.43947272791075,0.5,22.103957551923774,20.67127148588091,-428.51887204999167,752.9583447779024,2.056675695627221,4.113351391254442
396.0,322.85921522747117,324.88574280737464,0.5,22.117093938191104,20.690514647184475,-428.773540898901,753.6592837062757,2.0265275799034947,4.0530551598069895
397.0,323.3330000366466,325.32920105466286,0.5,22.130142221557534,20.709633723454488,-429.02650173893323,754.3557027935962,1.9962010180162915,3.992402036032583
398.0,323.80417113293043,325.76986950315217,0.5,22.143103160247986,20.728629723129274,-429.2777692694329,755.0476387725851,1.9656983702217332,3.9313967404434664
399.0,324.2727480132421,326.207769991007,0.5,22.15597750469416,20.74750364514017,-429.5273580386612,755.7351280296682,1.935021977764922,3.870043955529844
400.0,324.73875000000004,326.6429241629269,0.5,22.16876599762465,20.766256479007435,-429.77528244554253,756.4182066084694,1.9041741629268247,3.8083483258536495
401.0,325.20219624280884,327.0753534718629,0.5,22.18146937415496,20.784889204935304,-430.0215567414105,757.0969102132734,1.8731572290540448,3.7463144581080896
402.0,325.66310572013083,327.5050791807374,0.5,22.194088361875746,20.80340279390615,-430.26619503171764,757.7712742124551,1.841973460606596,3.683946921213192
403.0,326.121497240944,327.9321223641482,0.5,22.20662368094007,20.82179820777372,-430.5092112777275,758.4413336418758,1.8106251232042347,3.6212502464084695
404.0,326.5773894463851,328.3565039100608,0.5,22.219076044149723,20.840076399355528,-430.75061929818827,759.107123208249,1.7791144636757146,3.558228927351429
405.0,327.0308008113789,328.77824452148633,0.5,22.23144615704045,20.85823831252427,-430.99043277098434,759.7686772924707,1.7474437101074072,3.4948874202148144
406.0,327.4817496462524,329.1973647181549,0.5,22.243734717965907,20.876284882298485,-431.2286652347649,760.4260299529199,1.7156150719025078,3.4312301438050157
407.0,327.9302540983353,329.6138848381722,0.5,22.25594241818078,20.89421703493222,-431.46533009055435,761.0792149287265,1.6836307398369,3.3672614796738
408.0,328.37633215354583,330.0278250396658,0.5,22.268069941922793,20.912035688003904,-431.70044060334277,761.7282656430085,1.6514928861199696,3.302985772239939
409.0,328.8200016379625,330.43920530242036,0.5,22.280117966493638,20.929741750504324,-431.9340099036548,762.3732152060752,1.61920366445788,3.23840732891576
410.0,329.26128021938166,330.84804542950076,0.5,22.29208716233899,20.947336122923737,-432.16605098910054,763.0140964186013,1.5867652101190899,3.1735304202381798
411.0,329.70018540886053,331.25436504886164,0.5,22.30397819312748,20.964819697338125,-432.396576725907,763.6509417747686,1.554179640001141,3.108359280002282
