Z,N,A,symbol,A_group,B_obs_MeV,sigma_B_obs_MeV,Delta_B_P_minus_SEMF_MeV,Delta_B_P_minus_Yukawa_MeV,abs_Delta_B_P_minus_SEMF_MeV,abs_Delta_B_P_minus_Yukawa_MeV,required_sigma_3sigma_SEMF_MeV,required_sigma_3sigma_Yukawa_MeV,required_relative_precision_SEMF,required_relative_precision_Yukawa,resolvable_now_SEMF_sigma_le_req,resolvable_now_Yukawa_sigma_le_req,precision_ratio_obs_over_req_SEMF,precision_ratio_obs_over_req_Yukawa
12,13,25,Mg,light_A_le_40,205.587570,4.75e-05,-16.003157,121.262594,16.003157,121.262594,5.3343857,40.420865,0.025947024,0.19661142,1,1,8.904493e-06,1.1751357e-06
13,12,25,Al,light_A_le_40,200.528415,6.5e-05,15.614231,128.800046,15.614231,128.800046,5.2047437,42.933349,0.025955143,0.21410107,1,1,1.2488607e-05,1.5139746e-06
14,11,25,Si,light_A_le_40,187.002772,0.01,29.520350,128.800042,29.520350,128.800042,9.8401167,42.933347,0.052620165,0.22958669,1,1,0.0010162481,0.00023291918
15,10,25,P,light_A_le_40,169.850000,0.4,51.496797,128.800049,51.496797,128.800049,17.165599,42.93335,0.10106329,0.25277215,1,1,0.02330242,0.0093167666
8,18,26,O,light_A_le_40,168.934454,0.1649492,76.148367,136.864258,76.148367,136.864258,25.382789,45.621419,0.15025229,0.27005397,1,1,0.0064984663,0.0036156087
9,17,26,F,light_A_le_40,184.138492,0.1070264,51.557973,136.864086,51.557973,136.864086,17.185991,45.621362,0.093331876,0.24775571,1,1,0.0062275373,0.0023459712
10,16,26,Ne,light_A_le_40,201.549686,0.0184288,13.916556,133.412120,13.916556,133.412120,4.638852,44.470707,0.023015923,0.22064389,1,1,0.003972707,0.00041440313
11,15,26,Na,light_A_le_40,208.109234,0.0035022,-2.240114,131.190427,2.240114,131.190427,0.74670467,43.730142,0.003588042,0.21013072,1,1,0.0046902077,8.0086636e-05
12,14,26,Mg,light_A_le_40,216.680649,2.86e-05,-16.465223,129.819602,16.465223,129.819602,5.4884077,43.273201,0.025329478,0.19970958,1,1,5.2109832e-06,6.6091714e-07
13,13,26,Al,light_A_le_40,211.893898,6.76e-05,13.379605,136.864153,13.379605,136.864153,4.4598683,45.621384,0.021047649,0.21530296,1,1,1.5157398e-05,1.4817613e-06
14,12,26,Si,light_A_le_40,206.042416,0.0001066,18.880674,136.864217,18.880674,136.864217,6.293558,45.621406,0.030544963,0.22141754,1,1,1.6937955e-05,2.3366224e-06
15,11,26,P,light_A_le_40,187.148000,0.208,40.924245,136.864161,40.924245,136.864161,13.641415,45.621387,0.072891054,0.2437717,1,1,0.015247685,0.0045592652
16,10,26,S,light_A_le_40,169.650000,0.598,61.969995,136.864289,61.969995,136.864289,20.656665,45.62143,0.12176048,0.268915,1,1,0.028949494,0.013107875
8,19,27,O,light_A_le_40,166.995000,0.513,90.192477,144.992182,90.192477,144.992182,30.064159,48.330727,0.18003029,0.28941422,1,1,0.017063507,0.010614365
9,18,27,F,light_A_le_40,185.750987,0.1201986,58.873240,144.992056,58.873240,144.992056,19.624413,48.330685,0.10564904,0.26019073,1,1,0.0061249525,0.0024870038
10,17,27,Ne,light_A_le_40,203.051208,0.0907713,35.050417,144.992121,35.050417,144.992121,11.683472,48.330707,0.057539536,0.23802226,1,1,0.0077692057,0.001878129
11,16,27,Na,light_A_le_40,214.837561,0.003726,0.639580,139.435822,0.639580,139.435822,0.21319333,46.478607,0.00099234665,0.21634302,1,1,0.017477094,8.0165913e-05
12,15,27,Mg,light_A_le_40,223.124018,4.86e-05,9.893307,144.992123,9.893307,144.992123,3.297769,48.330708,0.014779982,0.21660917,1,1,1.4737236e-05,1.0055719e-06
13,14,27,Al,light_A_le_40,224.951939,4.86e-05,-14.529084,137.745957,14.529084,137.745957,4.843028,45.915319,0.021529168,0.20411168,1,1,1.0035044e-05,1.0584703e-06
14,13,27,Si,light_A_le_40,219.357234,0.000108,14.721010,144.992048,14.721010,144.992048,4.9070033,48.330683,0.022369918,0.22032865,1,1,2.2009359e-05,2.2346053e-06
15,12,27,P,light_A_le_40,206.849414,0.0090018,28.379308,144.992124,28.379308,144.992124,9.4597693,48.330708,0.045732638,0.23365166,1,1,0.00095158768,0.00018625425
16,11,27,S,light_A_le_40,187.920000,0.405,49.533615,144.991986,49.533615,144.991986,16.511205,48.330662,0.087862947,0.25718743,1,1,0.024528797,0.0083797735
8,20,28,O,light_A_le_40,167.664000,0.7,100.507671,153.178659,100.507671,153.178659,33.502557,51.059553,0.19981962,0.30453498,1,1,0.020893928,0.013709482
9,19,28,F,light_A_le_40,185.551988,0.1203468,71.236692,153.178585,71.236692,153.178585,23.745564,51.059528,0.12797257,0.2751764,1,1,0.0050681803,0.00235699
10,18,28,Ne,light_A_le_40,206.873696,0.1260672,31.627261,150.366702,31.627261,150.366702,10.54242,50.122234,0.050960661,0.24228423,1,1,0.011958089,0.0025151952
11,17,28,Na,light_A_le_40,218.379403,0.0102452,8.344707,147.559736,8.344707,147.559736,2.781569,49.186579,0.012737323,0.22523451,1,1,0.003683245,0.00020829259
12,16,28,Mg,light_A_le_40,231.628687,0.0002604,9.959643,153.178521,9.959643,153.178521,3.319881,51.059507,0.014332771,0.22043689,1,1,7.8436546e-05,5.0999317e-06
13,15,28,Al,light_A_le_40,232.677113,5.04e-05,9.647639,153.178554,9.647639,153.178554,3.2158797,51.059518,0.013821212,0.21944366,1,1,1.5672228e-05,9.8708335e-07
