q_B,exponent_mismatch_abs_2_minus_4q,closure_flag
0.4810000000000001,0.07599999999999962,mismatch
0.4820000000000001,0.07199999999999962,mismatch
0.4830000000000001,0.06799999999999962,mismatch
0.4840000000000001,0.06399999999999961,mismatch
0.4850000000000001,0.05999999999999961,mismatch
0.4860000000000001,0.055999999999999606,mismatch
0.4870000000000001,0.0519999999999996,mismatch
0.4880000000000001,0.0479999999999996,mismatch
0.4890000000000001,0.043999999999999595,mismatch
0.4900000000000001,0.03999999999999959,mismatch
0.4910000000000001,0.03599999999999959,mismatch
0.4920000000000001,0.031999999999999584,mismatch
0.4930000000000001,0.02799999999999958,mismatch
0.4940000000000001,0.023999999999999577,mismatch
0.4950000000000001,0.019999999999999574,mismatch
0.4960000000000001,0.01599999999999957,mismatch
0.4970000000000001,0.011999999999999567,mismatch
0.4980000000000001,0.007999999999999563,mismatch
0.49900000000000005,0.0039999999999997815,mismatch
0.5,0.0,pass
0.5010000000000001,0.004000000000000448,mismatch
0.502,0.008000000000000007,mismatch
