run_label,fit_mode,weight_scheme,min_orth_std,decontaminated_kappa_est,decontaminated_kappa_sigma,decontaminated_abs_z,kappa_minus_1_status,decontamination_shift_status,kappa_shift_decont_minus_base,abs_z_shift,max_abs_corr_before,max_abs_corr_after,nuisance_orth_kept_count,nuisance_orth_dropped_count,projection_rows
station_target|station_cap_p95|1.0e-06,station_target,station_cap_p95,1e-06,1.0010193872715767,0.0007560023996373946,1.3483915819126011,pass,reject,-0.6454898127145283,33.87708596038059,0.9992042833091441,1.2243222642665238e-15,17,0,17
station_target|station_cap_p95|1.0e-04,station_target,station_cap_p95,0.0001,1.0010193872715767,0.0007560023996373946,1.3483915819126011,pass,reject,-0.6454898127145283,33.87708596038059,0.9992042833091441,1.2243222642665238e-15,17,0,17
station_target|uniform|1.0e-08,station_target,uniform,1e-08,1.0010274679514541,0.0007472706289156922,1.374960973569995,pass,reject,-0.6476898725236375,34.46685224237249,0.9992014779796445,6.6716431993150485e-15,17,0,17
station_target|uniform|1.0e-06,station_target,uniform,1e-06,1.0010274679514541,0.0007472706289156922,1.374960973569995,pass,reject,-0.6476898725236375,34.46685224237249,0.9992014779796445,6.6716431993150485e-15,17,0,17
station_target|uniform|1.0e-04,station_target,uniform,0.0001,1.0010274679514541,0.0007472706289156922,1.374960973569995,pass,reject,-0.6476898725236375,34.46685224237249,0.9992014779796445,6.6716431993150485e-15,17,0,17
station_target_year|inv_station|1.0e-08,station_target_year,inv_station,1e-08,1.0007855881470924,0.0007770200089724345,1.0110269208271079,pass,reject,-0.619170456357822,29.38950951083341,0.9992841923469673,3.77667717798046e-15,21,0,21
station_target_year|inv_station|1.0e-06,station_target_year,inv_station,1e-06,1.0007855881470924,0.0007770200089724345,1.0110269208271079,pass,reject,-0.619170456357822,29.38950951083341,0.9992841923469673,3.77667717798046e-15,21,0,21
station_target_year|inv_station|1.0e-04,station_target_year,inv_station,0.0001,1.0007855881470924,0.0007770200089724345,1.0110269208271079,pass,reject,-0.619170456357822,29.38950951083341,0.9992841923469673,3.77667717798046e-15,21,0,21
station_target_year|inv_station_target|1.0e-08,station_target_year,inv_station_target,1e-08,1.0006742979447485,0.0009605616286801067,0.7019830114129517,pass,reject,-0.5280524110089577,20.400780524245242,0.9992751816245602,2.6667583831371214e-15,21,0,21
station_target_year|inv_station_target|1.0e-06,station_target_year,inv_station_target,1e-06,1.0006742979447485,0.0009605616286801067,0.7019830114129517,pass,reject,-0.5280524110089577,20.400780524245242,0.9992751816245602,2.6667583831371214e-15,21,0,21
station_target_year|inv_station_target|1.0e-04,station_target_year,inv_station_target,0.0001,1.0006742979447485,0.0009605616286801067,0.7019830114129517,pass,reject,-0.5280524110089577,20.400780524245242,0.9992751816245602,2.6667583831371214e-15,21,0,21
station_target_year|inv_target|1.0e-08,station_target_year,inv_target,1e-08,1.0007860854678488,0.0009491055021773198,0.8282382369984185,pass,reject,-0.5203619998876226,21.653944577225705,0.9992028049794435,1.8303394863066635e-15,21,0,21
station_target_year|inv_target|1.0e-06,station_target_year,inv_target,1e-06,1.0007860854678488,0.0009491055021773198,0.8282382369984185,pass,reject,-0.5203619998876226,21.653944577225705,0.9992028049794435,1.8303394863066635e-15,21,0,21
station_target_year|inv_target|1.0e-04,station_target_year,inv_target,0.0001,1.0007860854678488,0.0009491055021773198,0.8282382369984185,pass,reject,-0.5203619998876226,21.653944577225705,0.9992028049794435,1.8303394863066635e-15,21,0,21
station_target_year|station_cap_p95|1.0e-08,station_target_year,station_cap_p95,1e-08,1.0010193872715767,0.0007471339150821469,1.3643969989833857,pass,reject,-0.6689091255059856,35.43411329623078,0.9992042833091441,1.2243222642665238e-15,21,0,21
station_target_year|station_cap_p95|1.0e-06,station_target_year,station_cap_p95,1e-06,1.0010193872715767,0.0007471339150821469,1.3643969989833857,pass,reject,-0.6689091255059856,35.43411329623078,0.9992042833091441,1.2243222642665238e-15,21,0,21
station_target_year|station_cap_p95|1.0e-04,station_target_year,station_cap_p95,0.0001,1.0010193872715767,0.0007471339150821469,1.3643969989833857,pass,reject,-0.6689091255059856,35.43411329623078,0.9992042833091441,1.2243222642665238e-15,21,0,21
station_target_year|uniform|1.0e-08,station_target_year,uniform,1e-08,1.0010274679514541,0.0007383297216324808,1.3916112562587943,pass,reject,-0.6708855160941778,36.0444916944566,0.9992014779796445,6.6716431993150485e-15,21,0,21
station_target_year|uniform|1.0e-06,station_target_year,uniform,1e-06,1.0010274679514541,0.0007383297216324808,1.3916112562587943,pass,reject,-0.6708855160941778,36.0444916944566,0.9992014779796445,6.6716431993150485e-15,21,0,21
station_target_year|uniform|1.0e-04,station_target_year,uniform,0.0001,1.0010274679514541,0.0007383297216324808,1.3916112562587943,pass,reject,-0.6708855160941778,36.0444916944566,0.9992014779796445,6.6716431993150485e-15,21,0,21
