station,target,metric,value_auto,value_tx,delta_rms_ns,abs_delta_rms_ns
MATM,apollo15,rms_sr_no_shapiro_ns,8.789070205150313,8.789070205150313,0.0,0.0
MATM,apollo15,rms_sr_ns,8.19271994593603,8.19271994593603,0.0,0.0
MATM,apollo15,rms_sr_tropo_earth_shapiro_ns,3.9025235520846966,3.9025235520846966,0.0,0.0
MATM,apollo15,rms_sr_tropo_moon_tide_ns,3.845073760009089,3.845073760009089,0.0,0.0
MATM,apollo15,rms_sr_tropo_no_shapiro_ns,4.959698156452521,4.959698156452521,0.0,0.0
MATM,apollo15,rms_sr_tropo_ns,3.9038613882194615,3.9038613882194615,0.0,0.0
MATM,apollo15,rms_sr_tropo_station_tide_ns,3.856393780238528,3.856393780238528,0.0,0.0
MATM,apollo15,rms_sr_tropo_tide_no_ocean_ns,3.800552347632568,3.800552347632568,0.0,0.0
MATM,apollo15,rms_sr_tropo_tide_ns,3.79841732774353,3.79841732774353,0.0,0.0
MATM,luna17,n,11.0,11.0,0.0,0.0
MATM,luna17,n_inlier,11.0,11.0,0.0,0.0
MATM,luna17,n_outlier,0.0,0.0,0.0,0.0
MATM,luna17,rms_gc_ns,7778313.813058758,7778313.813058758,0.0,0.0
MATM,luna17,rms_sm_ns,373417.722852647,373417.722852647,0.0,0.0
MATM,luna17,rms_sr_iau_no_shapiro_ns,270.81415656916903,270.81415656916903,0.0,0.0
MATM,luna17,rms_sr_iau_ns,269.6535839527237,269.6535839527237,0.0,0.0
MATM,luna17,rms_sr_no_shapiro_ns,180.50276316109588,180.50276316109588,0.0,0.0
MATM,luna17,rms_sr_ns,180.73750978712985,180.73750978712985,0.0,0.0
MATM,luna17,rms_sr_tropo_earth_shapiro_ns,186.22000407534625,186.22000407534625,0.0,0.0
MATM,luna17,rms_sr_tropo_moon_tide_ns,186.17576926313996,186.17576926313996,0.0,0.0
MATM,luna17,rms_sr_tropo_no_shapiro_ns,186.0305039436977,186.0305039436977,0.0,0.0
MATM,luna17,rms_sr_tropo_ns,186.2148115615097,186.2148115615097,0.0,0.0
MATM,luna17,rms_sr_tropo_station_tide_ns,186.47514264549295,186.47514264549295,0.0,0.0
MATM,luna17,rms_sr_tropo_tide_no_ocean_ns,186.4361002340092,186.4361002340092,0.0,0.0
MATM,luna17,rms_sr_tropo_tide_ns,186.42955607468065,186.42955607468065,0.0,0.0
MATM,luna21,n,21.0,21.0,0.0,0.0
MATM,luna21,n_inlier,21.0,21.0,0.0,0.0
MATM,luna21,n_outlier,0.0,0.0,0.0,0.0
MATM,luna21,rms_gc_ns,6569079.783158903,6569079.783158903,0.0,0.0
MATM,luna21,rms_sm_ns,324616.63218200026,324616.63218200026,0.0,0.0
MATM,luna21,rms_sr_iau_no_shapiro_ns,691.1345130771498,691.1345130771498,0.0,0.0
MATM,luna21,rms_sr_iau_ns,691.4952103508175,691.4952103508175,0.0,0.0
MATM,luna21,rms_sr_no_shapiro_ns,7.442459186888814,7.442459186888814,0.0,0.0
MATM,luna21,rms_sr_ns,6.639249759887572,6.639249759887572,0.0,0.0
MATM,luna21,rms_sr_tropo_earth_shapiro_ns,1.3835638689591463,1.3835638689591463,0.0,0.0
MATM,luna21,rms_sr_tropo_moon_tide_ns,1.3978322313717109,1.3978322313717109,0.0,0.0
